Tipo de inmueble,Dirección,Precio,Habitaciones,m2
Piso,Calle de Ramon J. Sender,155000,4,145
Piso,ANTONI ISERN,169500,3,97
Chalet,Margarides,590000,5,190
Chalet,Calle del Moncayo,160000,3,255
Piso,Calle Mas de l'Abelló,99000,4,130
Chalet,Calle Ramon Berenguer IV,350000,4,269
Piso,Calle de Tarragona,215700,4,118
Ático,Calle de Frederic Mompou,585000,4,60
Piso,LEPANTO,174900,3,118
Piso,Girona,179900,4,139
Piso,Avenida de Pere el Cerimoniós,119900,4,103
Piso,Calle de les Voltes 23,200000,2,69
Piso,Calle de Cambrils,199000,3,109
Piso,Calle de Tortosa,133000,2,82
Ático,Calle de les Voltes 12,220000,3,107
Piso,Calle Ernest Vilches 1,248900,3,113
Piso,Calle de Mir i Geribert,155000,3,100
Piso,Carretera del Far,103000,2,61
Chalet,Calle de la Guineu,365000,3,120
Chalet,Calle Santiago Rusiñol,375000,4,141
Chalet,Nou Eixample Nord,585000,4,129
Chalet,Urbanitzacions de Llevant,1900000,5,162
Duplex,Urbanitzacions de Llevant,1250000,5,166
Ático,Calle Gegants Pere i Carme,315000,3,13
Piso,urbanización codonyol la paz,125000,2,60
Chalet,Calle Gabarres 19,340000,5,188
Duplex,Av.Codonyol,146000,3,88
Piso,Avenida Montsia Mar 2,96000,2,60
Piso,Plaza Cosme Maine 6,98500,3,107
Chalet,Calle Pablo Picasso,310000,4,133
Chalet,Avenida Diagonal de la Bonanova,435000,3,105
Piso,Avenida Mossèn Jaume Soler,149000,2,70
Piso,Calle Robert d'Aguiló 43,325000,3,94
Piso,Benidorm,160000,4,139
Chalet,Calle Picos de Europa,330000,4,135
Chalet,Calle la Garrotxa,338000,4,157
Piso,Calle Major,160000,3,86
Chalet,Calle Beethoven,1280000,5,23.000
Piso,Calle del Riu Glorieta,292500,3,98
Chalet,Calle Oslo,319000,4,251
Chalet,Calle de Cosse,299000,3,87
Chalet,Calle de l'Oreneta,490000,5,390
Chalet,Albània,285000,4,22
Chalet,Jacint 7,289000,3,40
Piso,Calle de Rafael Casanova,177500,2,66
Piso,Calle Canigó 11,268000,3,120
Chalet,Calle de la Caravel·la,315000,3,12
Chalet,Travesía de l'Ermita,235000,3,115
Chalet,Urbanització Alorda Park s/n,395000,4,136
Chalet,Calle Emilio Jiménez,895000,5,613
Estudio,Calle del Peix,80000,0,37
Piso,Calle de Maria Castillo,245000,3,77
Piso,Calle Tortosa,315000,4,160
Chalet,Urbanitzacions de Llevant,1145000,5,160
Piso,Calle Daurada 4,147000,3,91
Piso,Calle de Pere el Cerimoniós 68,139900,5,115
Piso,Nucli Antic,117000,3,5
Piso,Calle Daurada 4,147000,3,102
Piso,Centre,190000,2,67
Piso,Calle de Lluís Companys 92,125000,2,76
Piso,Calle Holanda,146500,3,87
Piso,Calle de Santiago Rusiñol 1,325000,3,116
Chalet,Urbanització Alorda Park s/n,375000,4,152
Chalet,barrio Jardins de Vilafortuny - Más d'en Bosch,770000,4,123
Piso,Avenida Catalunya,185000,3,137
Piso,ferran de querol,90000,1,45
Piso,Avenida Catalunya,179000,3,87
Chalet,Calle Miramar,199000,3,115
Chalet,Urbanitzacions de Llevant,1700000,6,561
Piso,Residencial,119000,2,55
Piso,Calle de Tramuntana 6,149500,2,74
Piso,Calle del Rin,160000,3,96
Chalet,Calle de la Martineta,299000,4,141
Chalet,Calle Amadeus Mozart s/n,238500,4,323
Ático,barrio Segur Platja,225000,5,163
Piso,Avenida França,104000,1,59
Chalet,Calle de la Vía Láctea 66,160000,3,112
Chalet,Calle de la Vía Láctea 66,160000,3,95
Chalet,Calderon de la Barca 4,358000,4,138
Piso,Carrerada ďen Ralet 14,179000,2,49
Estudio,Calle del Vendrell,79500,0,30
Piso,Calle de Francesc Bastos 3,205000,3,73
Piso,Calle Holanda 19,125000,2,56
Piso,Avenida del Doctor Eduard Punset 3,174500,2,75
Piso,Calle del Xúquer 4,169000,3,104
Chalet,Calle de l'Olivera 4,330000,4,133
Piso,Camino del raco 6,155000,2,78
Chalet,Calle Vall de Sant Marc,275000,4,148
Chalet,Calle Menorca,649000,5,904
Piso,barrio Segur Platja,130000,2,61
Ático,Calle de la Punta del Cavall 82,198000,2,80
Piso,girona,130000,1,45
Chalet,Eixample Residencial,645000,4,550
Piso,Calle de la Baixada Platja Cristall,210000,2,80
Piso,Calle del Doctor Cuchi,200000,3,105
Chalet,Migjorn,1985000,6,227
Chalet,Calafell Residencial,289000,4,65
Piso,Calle de Vilamar,175000,3,108
Piso,Plaza Pessebre 1,325000,3,26
Chalet,Barqueres 14,287500,3,95
Piso,Plaza Pessebre 1,325000,3,26
Piso,Calle MILENARI 5,221900,4,98
Chalet,Calle Doctor Pagès,435000,3,96
Chalet,Calle de Vallbona 7,368800,5,210
Chalet,Calle Murillo 28,249900,3,20
Piso,Avenida dels Països Catalans 11 A,180000,2,74
Piso,Calle Tenerife 1,118000,3,106
Piso,CASTELL DE TONA 20,224900,2,20
Chalet,Avenida Blauet 12,410000,4,137
Chalet,Calle Doctor Pagès,435000,3,111
Chalet,Avenida Espanya 313,276000,3,91
Piso,Calle de Lleida 1,184000,3,88
Piso,Calle de les Barqueres 16,239900,3,108
Piso,Calle del Peix,119000,2,80
Piso,Avenida Europa,165500,2,77
Chalet,Calle Estats Units,269000,4,127
Piso,Avenida Sant Joan de Déu,495000,3,120
Chalet,Gira-sol,600000,5,178
Piso,Rambla Nova,230000,3,114
Chalet,Avenida OLIVERES,600000,3,296
Piso,Calle Olot,179000,2,73
Piso,Paseo de Miramar,185000,2,62
Chalet,Avenida de les Comarques Catalanes,259000,3,116
Piso,Llevant,220000,2,69
Chalet,Calle del Vallespir,298000,4,185
Piso,Nord,210000,3,104
Chalet,Residencial,302000,3,82
Ático,Prat de Cunit,260000,3,80
Chalet,Calle del garrofers,995000,5,1600
Duplex,Calle dels Indians,165000,2,68
Piso,angel guimera,250000,4,140
Chalet,ACACIES,770000,4,570
Piso,Calle d'Alcover 1,69900,2,70
Piso,El Tancat - Mas d'en Gual,124900,3,109
Chalet,Calle Montpaó,499900,6,564
Piso,Calle Alt de Sant Salvador 7,152500,3,40.000
Chalet,Calle Narcís Oller,459000,3,98
Piso,Avenida Oliveres,215000,3,30
Ático,GIRONA,198000,2,62
Piso,Calle d'Entença 15,125000,3,80
Chalet,Residencial,315000,4,144
Chalet,Residencial,266099,5,187
Ático,Nucli Antic,145000,2,25
Piso,barrio Segur Platja,140000,3,88
Piso,Calle Llevant 9,259000,3,110
Piso,Coma-Ruga,190000,4,145
Chalet,barrio Nucli Urbà,270000,4,143
Chalet,Calle del Bosc Gran,1390000,6,231
Piso,Plaza Cosme Maine 6,98500,3,94
Piso,Bonavista,225000,3,94
Ático,barrio Nucli Urbà,135000,1,46
Chalet,Mas Mel - Bellamar,531000,4,234
Piso,barrio Nucli Urbà,175000,3,87
Piso,El Tancat - Mas d'en Gual,168421,3,86
Chalet,barrio Nucli Urbà,270000,4,153
Piso,El Tancat - Mas d'en Gual,124900,3,108
Chalet,Costa Daurada - Sant Gaietà,260000,3,110
Chalet,barrio Nucli Urbà,159900,2,25
Piso,Platja Calafell,325000,4,133
Duplex,Urbanitzacions de Llevant,1250000,5,173
Piso,Residencial,216000,3,120
Piso,barrio Nucli Urbà,168000,2,64
Piso,Coma-Ruga,249000,3,110
Chalet,victor balaguer,195000,3,584
Chalet,Can Nicolau - Les Sorres - Valparaiso,255000,4,146
Chalet,CASTANYER,235000,3,110
Ático,El Tancat - Mas d'en Gual,165000,4,146
Piso,Sant Salvador,124900,3,87
Chalet,La Franquesa,243000,3,109
Piso,Cap Salou,238000,4,15
Piso,Centre,156900,3,100
Chalet,barrio Nucli Urbà,299000,5,175
Chalet,Residencial,639000,5,179
Ático,Centre,125000,3,106
Chalet,Bonanova,596000,5,185
Chalet,Nou Eixample Sud,600000,10,402
Chalet,Residencial,680000,7,295
Piso,conca de barberà,145000,3,75
