C. Autónoma,Provincia,Tipo de inmueble,Direccion,m2,Habitaciones,Precio
Región de Murcia,Murcia,Piso,barrio Zona Juan Carlos I,58,1,158000
Región de Murcia,Murcia,Duplex,barrio La Flota,178,5,440000
Región de Murcia,Murcia,Chalet,barrio Garres y Lages,300,4,395000
Región de Murcia,Murcia,Duplex,barrio La Flota,43,4,278000
Región de Murcia,Murcia,Piso,PZ PROFESOR TIERNO GALVAN,117,3,126000
Región de Murcia,Murcia,Piso,barrio Zona Juan Carlos I,124,3,270000
Región de Murcia,Murcia,Chalet,barrio La Arboleja,630,5,610000
Región de Murcia,Murcia,Piso,barrio San Pio X,107,2,113000
Región de Murcia,Murcia,Piso,Calle Nueva de San Anton,74,2,167000
Región de Murcia,Murcia,Piso,barrio Los Dolores,105,3,151000
Región de Murcia,Murcia,Piso,barrio El Palmar,120,4,115000
Región de Murcia,Murcia,Piso,barrio Santa Catalina-San Bartolome,175,5,495000
Región de Murcia,Murcia,Duplex,barrio Zona Juan Carlos I,9986,3,259000
Región de Murcia,Murcia,Piso,barrio San Nicolas,60,1,120000
Región de Murcia,Murcia,Chalet,Vereda lucas s/n,138,4,364900
Región de Murcia,Murcia,Piso,Avenida Juan Carlos I,110,3,270000
Región de Murcia,Murcia,Chalet,barrio Cabezo de Torres,156,4,280000
Región de Murcia,Murcia,Duplex,Vereda Jurisdiccion,87,3,102000
Región de Murcia,Murcia,Atico,Calle Alfonso Garre Rubio,100,3,108300
Región de Murcia,Murcia,Piso,Calle Fernandez Ardavin,15,4,450000
Región de Murcia,Murcia,Piso,Calle Gonzalez Adalid,185,4,680000
Región de Murcia,Murcia,Piso,Calle Olivo,152,4,105900
Región de Murcia,Murcia,Piso,Calle las Norias,170,3,270000
Región de Murcia,Murcia,Piso,barrio Catedral,84,3,660000
Región de Murcia,Murcia,Piso,barrio Catedral,57,3,484300
Región de Murcia,Murcia,Piso,barrio Santa Eulalia,65,2,155000
