Tipo de inmueble,Dirección,Precio,Habitaciones,m2
Chalet,AMER 36,550000,4,199
Chalet,Calle Crota,1850000,6,2100
Chalet,Calle Catalonia,1150000,3,800
Duplex,Calle Sant Antoni,251000,3,115
Chalet,Sureda,575000,4,121
Chalet,geranis,950000,4,136
Chalet,vicenç bou,600000,4,132
Ático,Calle de París,1400000,4,153
Piso,Urbanitzacio de Rosamar,225000,3,90
Piso,Semicentre,95000,1,43
Chalet,Urbanitzacions,259000,3,106
Chalet,Fornells - Aiguablava,996000,3,34
Chalet,Calle Joan Timoneda,650000,4,140
Chalet,pallars 14,900000,6,237
Chalet,Calle madrid,1180000,5,166
Chalet,Calle Santa Llogaia 44,225000,4,650
Piso,Paseo de Josep Mundet,450000,2,16
Piso,Paseo Marítim,230000,2,80
Chalet,TER,550000,4,18
Chalet,Calle Puig dels Daus,375000,3,640
Chalet,Urb Vall Repos,580000,4,2400
Chalet,Calle de l'Aneto,750000,3,188
Ático,Travesía Pinell 4,450000,3,92
Piso,Tramuntana 53,350000,2,73
Chalet,Calle de Goya,420000,4,173
Piso,Paseo de Josep Mundet,450000,2,16
Estudio,Muga - Gran Reserva - Badia,88500,0,30
Piso,Carretera de Sant Pol 436,355000,2,58
Chalet,illa del port,970000,4,152
Chalet,Calle del Perú,795000,3,873
Chalet,Calle Milan,700000,6,2400
Chalet,bateries,2400000,6,70
Chalet,Calle de Ramon Berenguer,649000,3,117
Chalet,Calle Molla,450000,4,150
Chalet,sureda,575000,4,152
Chalet,Avenida del carrilet,630000,4,700
Piso,Calle del Cap Norfeu,220000,3,117
Piso,Paseo dels Guíxols,240000,2,75
Piso,Calle Ángel 2,225000,3,96
Chalet,Requesens,445000,4,375
Chalet,Calle de Mas Terrats 14,790000,9,1200
Chalet,Serra Brava,590000,6,321
Chalet,Calle Maresme,286000,5,163
Piso,Calle Port Joan,122500,1,12
Chalet,Calle Bellpuig,699500,5,167
Duplex,Calle de Joan Maragall,740000,5,176
Piso,Lisboa,109000,1,46
Piso,Calle Extremadura,159000,2,5
Chalet,Calle de Francesc Folguera,850000,6,246
Piso,Calle d'Amadeu Vives,130000,2,9
Chalet,Calle de Francesc Macià i Llussà,425000,5,199
Chalet,Calle ROSER,159000,7,95
Piso,Calle N sra Montserrat 5,735000,3,20
Piso,Illes Balears,169900,3,122
Chalet,Calle Berna,1800000,3,96
Duplex,Calle Joan Maragall,265000,4,120
Chalet,Calle Frankfurt,789000,4,120
Chalet,Plaza del President Irla,365000,4,128
