Tipo de inmueble,Dirección,Precio,Habitaciones,m2,Provincia,C. Autónoma
Piso,Calle de Valle de Oza 10,157000,3,86,Huesca,Aragón
Piso,Correos 10,330000,6,96,Huesca,Aragón
Chalet,Única s/n,299000,5,440,Huesca,Aragón
Casa Rural,Calle San Esteban,300000,5,185,Huesca,Aragón
Piso,Calle San Mateo,89900,1,45,Huesca,Aragón
Casa Rural,Calle la Fuente 10,135000,3,165,Huesca,Aragón
Piso,Calle de Valle de Oza s/n,157000,3,117,Huesca,Aragón
Duplex,Calle San Cristobal Ag Badaguas 15,98000,1,47,Huesca,Aragón
Chalet,asunción 15,225000,2,264,Huesca,Aragón
Piso,Calle Albareda,151000,2,61,Huesca,Aragón
Piso,Avenida de Francia 49,239000,3,92,Huesca,Aragón
Chalet,Baja 5,210000,5,382,Huesca,Aragón
Piso,Santa Ana 1,75000,3,85,Huesca,Aragón
Ático,Calle BATAN s/n,90000,1,37,Huesca,Aragón
Piso,Avenida Ordesa s/n,230000,5,143,Huesca,Aragón
Casa Rural,AFUERAS,89900,1,220,Huesca,Aragón
Chalet,Calle mayor s/n,260000,4,187,Huesca,Aragón
Chalet,san grimen s/n,260000,4,208,Huesca,Aragón
Casa Rural,Calle Rufas,56000,3,113,Huesca,Aragón
Casa Rural,Diseminado Afueras Ag Nocito,280000,6,229,Huesca,Aragón
Chalet,Avenida del Campo de Fútbol,370000,5,176,Huesca,Aragón
Piso,Avenida DE LOS DEPORTES,129000,4,156,Huesca,Aragón
Chalet,Sariñena,65000,4,123,Huesca,Aragón
Duplex,Calle  de San Jorge 66,360000,3,116,Huesca,Aragón
Piso,Calle  de San Jorge 66,238000,3,85,Huesca,Aragón
Piso,Avenida DE LOS DEPORTES,129000,4,154,Huesca,Aragón
Piso,Avenida Regimiento de Galicia,160000,2,57,Huesca,Aragón
Chalet,herreria 1,80000,6,243,Huesca,Aragón
Piso,Santiago 11,130000,3,89,Huesca,Aragón
Ático,nacional 240 6,95000,2,52,Huesca,Aragón
Chalet,Calle de la Iglesia 4,110000,3,115,Huesca,Aragón
Chalet,Del Medio 3,88000,6,316,Huesca,Aragón
Chalet,Partida Gesera 14,180000,6,544,Huesca,Aragón
Chalet,Calle Mondarruego 12,309000,3,172,Huesca,Aragón
Duplex,la paul s/n,325000,4,200,Huesca,Aragón
Chalet,San Esteban 19,195000,2,67,Huesca,Aragón
Chalet,Arco del 4,150000,4,176,Huesca,Aragón
Duplex,Urbanización Espata R5 12,115000,2,64,Huesca,Aragón
Chalet,Galan Garcia 1,1200000,5,450,Huesca,Aragón
Duplex,Travesía de Jaca 13,109000,2,53,Huesca,Aragón
Chalet,Torre 10,125000,4,228,Huesca,Aragón
Chalet,Calle Carretera 18,125000,4,85,Huesca,Aragón
Duplex,Calle Única 4 B,295000,4,82,Huesca,Aragón
Chalet,Calle Tortuosa 20,173000,3,145,Huesca,Aragón
Ático,Camino Pista de la Estación 7,120000,2,72,Huesca,Aragón
Piso,Calle Varellas 12,155000,3,15,Huesca,Aragón
Piso,Calle de Valle de Oza 3,140000,3,101,Huesca,Aragón
Casa Rural,Travesía Francia 4,80000,1,50,Huesca,Aragón
Casa Rural,Calle San Miguel 33,105000,3,96,Huesca,Aragón
Casa Rural,centro s/n,248000,5,228,Huesca,Aragón
Duplex,Calle Única 14,248000,3,126,Huesca,Aragón
Piso,Plaza Europa 2,99000,1,48,Huesca,Aragón
Chalet,Calle Única 20,110000,2,734,Huesca,Aragón
Casa Rural,Travesía Francia 4,80000,1,50,Huesca,Aragón
Piso,Huesca 2,179000,2,71,Huesca,Aragón
Chalet,Calle unica s/n,4500000,5,955,Huesca,Aragón
Ático,Avenida de Huesca 3,350000,3,92,Huesca,Aragón
Casa Rural,Plaza la iglesia s/n,155000,4,363,Huesca,Aragón
Chalet,Calle unica s/n,180000,4,1392,Huesca,Aragón
Casa Rural,Calle limón 1,130000,4,180,Huesca,Aragón
Piso,pirineos,240000,2,77,Huesca,Aragón
Casa Rural,Calle san roque s/n,186000,3,156,Huesca,Aragón
Duplex,Plano de Churro 11,150000,2,79,Huesca,Aragón
Piso,Calle Población 11,115000,1,51,Huesca,Aragón
Chalet,Calle unica s/n,4500000,5,955,Huesca,Aragón
Chalet,Calle Única 19,209000,3,186,Huesca,Aragón
Casa Rural,Calle san roque s/n,186000,3,156,Huesca,Aragón
Chalet,Calle unica s/n,180000,4,1392,Huesca,Aragón
Chalet,Calle ulima s/n,120000,2,60,Huesca,Aragón
Casa Rural,Calle Joaquín Costa 8,93000,11,788,Huesca,Aragón
Casa Rural,torrijos 36,280000,3,3069,Huesca,Aragón
Piso,Avenida EJERCITO s/n,95000,1,47,Huesca,Aragón
Casa Rural,barrio bajo s/n,75000,3,116,Huesca,Aragón
Piso,Urbanizacion Burgo Rapitan 2,39900,1,57,Huesca,Aragón
Chalet,Calle Única 16,110000,0,50,Huesca,Aragón
Piso,Urbanizacion Burgo Rapitan s/n,38000,1,36,Huesca,Aragón
Casa Rural,Calle mayor s/n,87000,4,126,Huesca,Aragón
Piso,Calle Coli Escalona Leonardo s/n,49000,3,84,Huesca,Aragón
Chalet,Calle carretera s/n,130000,3,82,Huesca,Aragón
Chalet,Calle barrio los chalets 26,490000,6,510,Huesca,Aragón
Chalet,CALLLE BARRIO BAJO CASA PABLO s/n,195000,3,24,Huesca,Aragón
Chalet,Calle Medio Cartirana s/n,189000,5,180,Huesca,Aragón
Casa Rural,Carretera jaca s/n,134000,3,94,Huesca,Aragón
Ático,N-330a 36,35000,0,41,Huesca,Aragón
Casa Rural,Calle mayor 17,45000,3,94,Huesca,Aragón
Casa Rural,Calle unica s/n,250000,0,28,Huesca,Aragón
Casa Rural,Calle Única 37,200000,4,145,Huesca,Aragón
Piso,Calle Valle de Axpe 3,195000,3,99,Huesca,Aragón
Ático,Calle A 5,115000,1,46,Huesca,Aragón
Casa Rural,Calle los baños s/n,550000,0,200,Huesca,Aragón
Casa Rural,Carretera 1,125000,0,42,Huesca,Aragón
Casa Rural,Diseminado Partidas 50,795000,5,416,Huesca,Aragón
Casa Rural,Calle unica s/n,330000,3,160,Huesca,Aragón
Estudio,N-330a 36,47000,0,27,Huesca,Aragón
Casa Rural,Calle unica s/n,330000,5,200,Huesca,Aragón
Casa Rural,Calle San Ciprián s/n,150000,5,160,Huesca,Aragón
Piso,Calle Valle de Ansó s/n,166000,2,75,Huesca,Aragón
Piso,Edificio Nevado,139000,1,41,Huesca,Aragón
Piso,ramon y cajal s/n,107000,4,60,Huesca,Aragón
Chalet,Barrio Nuevo,35000,3,23,Huesca,Aragón
Casa Rural,LA LUERA DE ACUMUER s/n,127000,3,120,Huesca,Aragón
Piso,Calle Membrilleras,187000,2,14,Huesca,Aragón
Chalet,Calle unica s/n,319000,7,500,Huesca,Aragón
Casa Rural,LA LUERA DE ACUMUER s/n,127000,3,92,Huesca,Aragón
Piso,ramon y cajal s/n,107000,4,60,Huesca,Aragón
