Tipo de inmueble,Dirección,Precio,Habitaciones,m2,Provincia,C. Autónoma
Chalet,Avenida de Chinchapapa 2,545000,4,141,Cantabria,Cantabria
Piso,arciseri,235000,3,112,Cantabria,Cantabria
Piso,Calle de la Ronda 52,448000,6,206,Cantabria,Cantabria
Piso,Calle Leonardo Rucabado 5,185000,2,75,Cantabria,Cantabria
Piso,Calle Joaquín Costa 17,970000,3,90,Cantabria,Cantabria
Chalet,Calle Aureliano Linares Rivas,497900,4,131,Cantabria,Cantabria
Piso,leonardo rucabado,170000,2,79,Cantabria,Cantabria
Chalet,AURELIANO RIVAS,497900,4,138,Cantabria,Cantabria
Chalet,ANDRES DE LA LLOSA,384900,3,200,Cantabria,Cantabria
Duplex,concha espina,258000,4,180,Cantabria,Cantabria
Piso,Calle María Aburto,550000,4,158,Cantabria,Cantabria
Piso,MARIA ABURTO,450000,3,110,Cantabria,Cantabria
Piso,Zona Playa,350000,3,108,Cantabria,Cantabria
Chalet,Barrio Sámano 86,325000,4,121,Cantabria,Cantabria
Piso,Paseo Menéndez Pelayo 58,300000,3,23,Cantabria,Cantabria
Chalet,Calle Nicolás Torre 33,649000,5,162,Cantabria,Cantabria
Piso,Calle Leonardo Rucabado 58,395000,3,80,Cantabria,Cantabria
Chalet,Barrio Prado 18,375000,4,121,Cantabria,Cantabria
Piso,Paseo Menéndez Pelayo 42,219000,3,109,Cantabria,Cantabria
Piso,Clara Campoamor 13,350000,3,22,Cantabria,Cantabria
Piso,Avenida de Pontejos 29,890000,4,175,Cantabria,Cantabria
Chalet,Barrio Prado,425000,4,137,Cantabria,Cantabria
Chalet,NICOLAS TORRE,649000,5,196,Cantabria,Cantabria
Chalet,LA LOMA EL CANTABRICO,315000,3,350,Cantabria,Cantabria
Piso,SILVESTRE OCHOA,399000,3,84,Cantabria,Cantabria
Piso,eleazar ortiz,362400,2,72,Cantabria,Cantabria
Duplex,menendez pelayo,186000,2,74,Cantabria,Cantabria
Chalet,BRAZOMAR LA LOMA,335000,3,350,Cantabria,Cantabria
Chalet,Avenida DE ESPAÑA,324900,3,94,Cantabria,Cantabria
Chalet,barrio el prado,420000,4,144,Cantabria,Cantabria
Chalet,Barrio Prado,410000,4,76,Cantabria,Cantabria
Piso,Calle la Costa,239900,2,69,Cantabria,Cantabria
Piso,Calle Escultor José Grajera,229000,3,118,Cantabria,Cantabria
Chalet,Avenida de Francia,310000,4,151,Cantabria,Cantabria
Ático,Centro,125000,1,57,Cantabria,Cantabria
Piso,Centro,150000,3,80,Cantabria,Cantabria
Piso,Calle Hernán Cortés 45,650000,4,186,Cantabria,Cantabria
Piso,Zona Playa,195000,2,77,Cantabria,Cantabria
Piso,Palacio,315000,3,110,Cantabria,Cantabria
Piso,Avenida Derechos Humanos,149900,2,60,Cantabria,Cantabria
Piso,Avenida de la Libertad,195000,3,90,Cantabria,Cantabria
Piso,Calle Leonardo Rucabado 24,235000,4,143,Cantabria,Cantabria
Piso,Castelar 15,2500000,3,105,Cantabria,Cantabria
