Tipo de inmueble,Dirección,Precio,Habitaciones,m2,Provincia,C. Autónoma
Chalet,Calle Celestino fernandez de la vega,110000,4,136,Lugo,Galicia
Duplex,Calle Angelo Colocci,110000,2,80,Lugo,Galicia
Piso,Calle Nicomedes Pastor Díaz s/n,255000,4,129,Lugo,Galicia
Piso,Ronda da Muralla s/n,247000,3,106,Lugo,Galicia
Casa Rural,Seteiglesias-Seteigles,250000,4,1889,Lugo,Galicia
Chalet,aceña de olga s/n,420000,5,350,Lugo,Galicia
Piso,Calle Ourense 1,155000,4,124,Lugo,Galicia
Piso,Calle Cidade de Lugo 3,55000,2,70,Lugo,Galicia
Piso,Calle Cidade de Lugo 3,70000,3,113,Lugo,Galicia
Piso,Calle San Roque 34,59000,2,74,Lugo,Galicia
Piso,Calle LU-P-0101 2,150000,6,220,Lugo,Galicia
Piso,Camino General San Cosme 105 X,110000,2,123,Lugo,Galicia
Piso,O Carme - Recatelo,159000,4,128,Lugo,Galicia
Piso,calzada de as gandaras,105000,2,61,Lugo,Galicia
Casa Rural,Lugar Casas 1,260000,6,213,Lugo,Galicia
Chalet,muxa de arriba,330000,4,32,Lugo,Galicia
Casa Rural,Vilaseca s/n,180000,7,269,Lugo,Galicia
Chalet,monterroso,180000,5,5000,Lugo,Galicia
Chalet,calde,420000,4,137,Lugo,Galicia
Piso,Calle Santo Graal,115000,2,66,Lugo,Galicia
Chalet,Lugar Fontao 17,55000,4,159,Lugo,Galicia
Chalet,630694015,Camino sen nome,699000,700,Lugo,Galicia
Chalet,Plaza España,349000,9,558,Lugo,Galicia
Chalet,Calle da Iglesia,295000,3,10000,Lugo,Galicia
Chalet,630694015,Camino sen nome,699000,537,Lugo,Galicia
Chalet,Santa Eufemia - Calde,420000,4,3000,Lugo,Galicia
Piso,Avenida da Coruña,75000,3,102,Lugo,Galicia
Piso,San Isidro Labrador 12,69990,4,132,Lugo,Galicia
Chalet,Calle nova,235000,8,337,Lugo,Galicia
Chalet,Plaza Campo da Compañía,350000,4,310,Lugo,Galicia
Chalet,Viveiro,85000,4,400,Lugo,Galicia
Piso,Calle Lopo Lías,189000,4,163,Lugo,Galicia
Chalet,Camino Lapido-Pereira,250000,4,1000,Lugo,Galicia
Chalet,Monforte de Lemos,180000,4,159,Lugo,Galicia
Piso,Calle dos Merlos 4,80000,2,62,Lugo,Galicia
Piso,Monforte de Lemos,64000,3,15,Lugo,Galicia
Piso,Barrio do Sagrado Corazón,69500,3,101,Lugo,Galicia
Piso,San Roque - As Fontiñas,168000,1,58,Lugo,Galicia
Chalet,Mondoñedo,130000,4,7057,Lugo,Galicia
Chalet,Monforte de Lemos,350000,3,5727,Lugo,Galicia
Casa Rural,"000 euros""",698125372,1,49,Lugo,Galicia
Chalet,Calle Rosalía de Castro,155000,5,462,Lugo,Galicia
Piso,Calle do Camiño Real,43890,4,156,Lugo,Galicia
Chalet,Calle da Illa Pancha 12,100000,3,108,Lugo,Galicia
Casa Rural,Sta Maria de Xerdiz s/n,79000,3,450,Lugo,Galicia
Casa Rural,Calle Souto Novo 2,120000,5,185,Lugo,Galicia
Duplex,Parroquias Oeste,265000,5,183,Lugo,Galicia
Piso,Calle Congostra 20,128000,2,64,Lugo,Galicia
Piso,Pastoriza,110000,2,68,Lugo,Galicia
Chalet,Camino General Reinante,120000,2,75,Lugo,Galicia
Piso,Ronda das Fontiñas,145000,3,111,Lugo,Galicia
Piso,Foz,142000,2,67,Lugo,Galicia
Casa Rural,Lugar Carreira 1,89000,4,141,Lugo,Galicia
Piso,Monforte de Lemos,135000,3,91,Lugo,Galicia
Ático,Sarria,295000,4,132,Lugo,Galicia
Chalet,San Roque - As Fontiñas,199900,3,112,Lugo,Galicia
Casa Rural,Lanzós 5,189000,5,185,Lugo,Galicia
Piso,Foz,109000,3,99,Lugo,Galicia
Piso,Sagrado Corazón,138000,3,118,Lugo,Galicia
Chalet,Avenida de Alfonso XIII 17 T,1200000,7,70,Lugo,Galicia
Casa Rural,Usariz s/n,525000,7,860,Lugo,Galicia
Piso,coruña,159000,3,117,Lugo,Galicia
Piso,Plaza Alacante,69900,4,157,Lugo,Galicia
Piso,Calle Bolaño Rivadeneira,195000,2,63,Lugo,Galicia
Piso,Calle Dona Urraca,169000,3,88,Lugo,Galicia
Piso,Calle Ramón Montenegro,180000,5,25,Lugo,Galicia
Duplex,Avenida de Magoi,178000,5,175,Lugo,Galicia
Piso,Camino Verde,135000,3,113,Lugo,Galicia
Duplex,Alfonso X O Sabio,175000,4,118,Lugo,Galicia
Piso,Calle Montirón,197000,4,128,Lugo,Galicia
Piso,Calle Pacios Pintor,127500,3,88,Lugo,Galicia
Ático,Calle Bolaño Rivadeneira,195000,2,64,Lugo,Galicia
Piso,Calle Pintor Corredoira,190000,4,152,Lugo,Galicia
Chalet,Camino do Tronzo,495000,4,9810,Lugo,Galicia
Piso,Calle de la Serra Gañidoira,126000,2,65,Lugo,Galicia
Chalet,LU-P-2902,390000,6,8892,Lugo,Galicia
Piso,Avenida Adolfo Suárez,129000,4,80,Lugo,Galicia
Duplex,Calle Monte Pena Maior,145000,2,64,Lugo,Galicia
Piso,Ronda muralla,240000,4,190,Lugo,Galicia
Duplex,Calle Concepción Arenal,178000,3,105,Lugo,Galicia
Duplex,Avenida de A Coruña,265000,5,161,Lugo,Galicia
