Tipo de inmueble,Dirección,Precio,Habitaciones,m2
Piso ,Avenida Portugal ,225000 ,4,128
Piso ,Pizarrales ,109999 ,3,92
Piso ,Calle Arroyo de la Lastra 10 ,265800 ,3,104
Piso ,Calle Pintores 5 ,162000 ,3,81
Piso ,barrio San Vicente-Las Úrsulas ,310000 ,3,119
Piso ,barrio Salesas ,180000 ,3,91
Piso ,Calle Pintores 5 ,162000 ,3,81
Piso ,Calle Arroyo de la Lastra 10 ,265800 ,3,116
Piso ,Calle Bolivia 5 ,150000 ,3,78
Piso ,Calle de Torres Quevedo ,145000 ,2,77
Piso ,barrio Centro ,235000 ,3,113
Piso ,Avenida Portugal ,194990 ,4,143
Chalet ,Calle Pico de Maladeta ,165000 ,3,95
Piso ,Calle Don Quijote ,138900 ,3,98
Piso ,Calle CATALUÑA 7 ,65000 ,2,63
Piso ,Calle del Maestro Valverde ,68000 ,3,75
Piso ,Paseo del Rollo ,145000 ,3,106
Piso ,barrio Chinchibarra ,95000 ,3,55
Piso ,barrio Garrido norte ,97000 ,3,70
Piso ,barrio Garrido sur ,120000 ,1,40
Piso ,barrio Carmelitas ,164900 ,2,79
Chalet ,barrio Capuchinos-Glorieta-C. Jardín ,275000 ,5,350
Piso ,barrio Chinchibarra ,115000 ,2,50
Piso ,La Salle - Vistahermosa ,104500 ,2,65
Piso ,Prosperidad - Delicias ,219000 ,4,115
Piso ,Calle Toro ,495000 ,2,61
Piso ,Calle Diego de Almagro ,107000 ,3,90
Piso ,barrio La Platina-Hospital-Campus ,283000 ,3,101
Piso ,barrio Sancti Spiritus-San Juan ,219000 ,4,108
Chalet ,San José - Parador - Zurguen ,110000 ,3,95
Piso ,barrio Garrido norte ,130000 ,3,75
Piso ,barrio San Esteban-San Cristobal ,299000 ,3,97
Chalet ,San José - Parador - Zurguen ,110000 ,2,127
Piso ,barrio Sancti Spiritus-San Juan ,298000 ,4,135
Piso ,barrio Salesas ,142000 ,3,75
Piso ,barrio Garrido norte ,97000 ,3,115
Piso ,Pizarrales ,69000 ,3,68
Piso ,barrio Garrido norte ,165000 ,4,133
Piso ,barrio San Vicente-Las Úrsulas ,140000 ,1,51
Piso ,barrio Capuchinos-Glorieta-C. Jardín ,95000 ,1,44
Piso ,Calle Amatos ,110000 ,3,80
Piso ,barrio Garrido norte ,119999 ,3,111
Ático ,Calle Arco ,520000 ,3,110
Piso ,Avenida de Portugal ,280000 ,4,127
Piso ,Rollo - Puente Ladrillo ,156000 ,3,98
Piso ,Calle zamora ,229000 ,3,99
Piso ,Vidal ,100000 ,3,60
Piso ,Vidal ,138900 ,3,70
Piso ,barrio Centro ,224900 ,2,65
Piso ,barrio San Esteban-San Cristobal ,240000 ,4,137
Piso ,Prosperidad - Delicias ,220000 ,3,100
Piso ,Calle Astorga ,164000 ,3,94
Piso ,Calle San Mateo 5 ,365000 ,4,120
Chalet ,Calle de los Pajares 2 ,150000 ,6,206
Chalet ,Calle Teresa de Jesús ,300000 ,4,637
Duplex ,Calle Eras ,75000 ,1,72
Ático ,Calle Arco ,475000 ,2,75
Chalet ,Calle Saavedra y Fajardo ,199900 ,4,122
Chalet ,Calle Doctor Hernández Juan 9 ,550000 ,5,187
Piso ,barrio Centro ,224900 ,2,77
Piso ,Calle Lilas 7 ,149000 ,3,80
Piso ,Calle Pedro Cojos ,170000 ,3,87
Piso ,GALILEO 23 ,124000 ,4,80
Piso ,Paseo del Gran Capitán ,165000 ,4,120
Piso ,Plaza San Justo ,200000 ,3,137
Piso ,Calle Felipe Espino 11 ,329990 ,5,171
Piso ,Calle San Blas 11 ,89250 ,2,75
Piso ,Calle Alcalde García Peñuela 10 ,80300 ,2,79
Piso ,Calle Ecuador 4 ,192000 ,4,145
Ático ,Ronda de Sancti-Spiritus 5 ,288000 ,3,110
Piso ,Calle Alcalde García Peñuela 10 ,76700 ,2,63
Piso ,Sin Salida 3 ,94000 ,2,76
Piso ,Carretera de Madrid 105 ,106200 ,2,83
Piso ,Calle Alcalde García Peñuela 10 ,83300 ,3,102
Piso ,Calle La Iglesia 18 ,65000 ,3,90
