C. Autonoma,Provincia,Tipo de inmueble,Direccion,m2,Habitaciones,Precio
Castilla y Leon,Leon,Chalet,Plaza las Eras,223,6,80000
Castilla y Leon,Leon,Piso,Calle Pena Labra,83,3,125000
Castilla y Leon,Leon,Piso,Avenida Padre Isla,199,3,203519
Castilla y Leon,Leon,Chalet,Villasabariego,95,3,129000
Castilla y Leon,Leon,Piso,Centro,500,4,89900
Castilla y Leon,Leon,Piso,Calle La Iglesia s/n,87,3,89000
Castilla y Leon,Leon,Chalet,Blas Sierra 30,132,4,68500
Castilla y Leon,Leon,Chalet,Sariegos,148,4,328000
Castilla y Leon,Leon,Piso,Calle Cofradia del Ciento,52,1,80000
Castilla y Leon,Leon,Piso,Alcon 5,66,2,107000
Castilla y Leon,Leon,Piso,Calle las Huertas 1,101,3,37000
Castilla y Leon,Leon,Duplex,Calle el Cano 5,88,3,99995
Castilla y Leon,Leon,Piso,Calle Alfonso de la Cerda,133,4,229990
Castilla y Leon,Leon,Piso,Gran Via de San Marcos,105,3,265000
Castilla y Leon,Leon,Chalet,Camino Montejos,96,3,188000
Castilla y Leon,Leon,Chalet,Calle Polideportivo 10,228,6,450000
Castilla y Leon,Leon,Piso,Calle Palomera,70,2,149500
Castilla y Leon,Leon,Piso,Avenida del Padre Isla,124,4,179000
Castilla y Leon,Leon,Chalet,Calle Rey Fernando I,120,4,295000
Castilla y Leon,Leon,Piso,Calle El Oro,108,3,37500
Castilla y Leon,Leon,Chalet,URBANIZACION LA ATALAYA 11,460,6,450000
Castilla y Leon,Leon,Atico,Calle Luis Salvador Carmona,239,6,429995
Castilla y Leon,Leon,Piso,Avenida del Padre Isla,63,2,80000
Castilla y Leon,Leon,Piso,Avenida del Parroco Pablo Diez,116,3,110000
Castilla y Leon,Leon,Chalet,Calle El Rio (Peneledo),196,5,82000
Castilla y Leon,Leon,Piso,Calle Perez Galdos,67,2,49995
Castilla y Leon,Leon,Chalet,Calle Espinazo de Cal,82,3,87500
Castilla y Leon,Leon,Chalet,Calle Escipion,135,4,234995
Castilla y Leon,Leon,Piso,Calle San Isidro,61,2,109000
Castilla y Leon,Leon,Piso,Calle Ildefonso Fierro Ordonez,67,2,135000
Castilla y Leon,Leon,Duplex,Calle Maestro Nicolas,249,6,217500
Castilla y Leon,Leon,Atico,Calle Presa Cerrajera,104,3,127500
Castilla y Leon,Leon,Piso,Avenida del Padre Isla,144,4,179000
Castilla y Leon,Leon,Duplex,Calle Maestro Nicolas,230,6,217500
Castilla y Leon,Leon,Chalet,Carretera Vilecha-Tr,162,5,138000
Castilla y Leon,Leon,Casa Rural,los Bayos (Penalba de los Cilleros),183,5,70000
Castilla y Leon,Leon,Piso,Calle Jose Muniz Rodriguez,74,2,64500
Castilla y Leon,Leon,Piso,Calle Pena Labra,80,2,120000
Castilla y Leon,Leon,Piso,Avenida de Portugal,103,3,135000
Castilla y Leon,Leon,Piso,Calle Juan Ferreras,66,2,43000
Castilla y Leon,Leon,Chalet,Calle Iglesia,90,3,105000
Castilla y Leon,Leon,Chalet,Calle Ocho de Marzo,124,4,193995
Castilla y Leon,Leon,Piso,Calle Relojero Losada,75,2,50000
Castilla y Leon,Leon,Piso,Calle Santisteban y Osorio,74,2,175000
Castilla y Leon,Leon,Piso,Avenida Fernandez Ladreda,110,3,50000
Castilla y Leon,Leon,Piso,Calle Orbigo,87,3,45000
Castilla y Leon,Leon,Piso,Calle Arquitecto Torbado,109,3,210000
Castilla y Leon,Leon,Piso,Via,60,2,80000
Castilla y Leon,Leon,Chalet,Calle las Carrizas,110,3,159995
Castilla y Leon,Leon,Chalet,Calle Carretera,91,3,34000
Castilla y Leon,Leon,Chalet,Via,134,4,39995
Castilla y Leon,Leon,Piso,Avenida Fernandez Ladreda,87,3,52500
Castilla y Leon,Leon,Piso,Calle de Astorga,44,1,85000
Castilla y Leon,Leon,Piso,Calle Pena Trevinca,110,3,149900
Castilla y Leon,Leon,Piso,Avenida Facultad de Veterinaria,204,6,210000
Castilla y Leon,Leon,Piso,Calle San Agustin,158,4,325000
Castilla y Leon,Leon,Piso,Calle Cipriano de la Huerga,149,4,127495
Castilla y Leon,Leon,Chalet,Calle de Fafilas,201,6,159995
Castilla y Leon,Leon,Piso,Avenida de Antibioticos,66,2,90000
Castilla y Leon,Leon,Piso,Avenida Fernandez Ladreda,70,2,125000
Castilla y Leon,Leon,Chalet,Avenida Constitucion,137,4,55000
Castilla y Leon,Leon,Duplex,Calle Marques de Fontiyuelo,12,4,220000
Castilla y Leon,Leon,Piso,Avenida Republica Argentina,162,5,159900
Castilla y Leon,Leon,Chalet,Valdealcon,232,6,242000
Castilla y Leon,Leon,Chalet,Calle Casa de Asturias,190,5,424500
Castilla y Leon,Leon,Chalet,Calle de Gregorio Hernandez,198,5,390000
Castilla y Leon,Leon,Chalet,Carretera Leon-Collanzo,90,3,175000
Castilla y Leon,Leon,Chalet,Avenida el Romeral,155,4,95000
Castilla y Leon,Leon,Piso,Calle Marcelino Elosua,138,4,240000
Castilla y Leon,Leon,Piso,Calle Dama de Arintero,98,3,134995
Castilla y Leon,Leon,Chalet,Calle del Ferrocarril,58,1,30000
Castilla y Leon,Leon,Piso,Calle de Agustin Alfageme,61,2,69900
Castilla y Leon,Leon,Piso,Avenida Fernandez Ladreda,109,3,50000
Castilla y Leon,Leon,Piso,Avenida de la Cemba 5,134,4,75900
Castilla y Leon,Leon,Piso,Avenida Padre Isla s/n,117,3,83000
Castilla y Leon,Leon,Piso,Calle Nicaragua 6,73,2,94000
Castilla y Leon,Leon,Piso,Avenida de la Puebla 6,15,4,99000
Castilla y Leon,Leon,Piso,Calle Gomez Salazar 1,2,3,119500
Castilla y Leon,Leon,Chalet,Travesia Gomez Nunez 16,86,2,86000
Castilla y Leon,Leon,Piso,Calle Lago de Carucedo 18,102,3,68500
Castilla y Leon,Leon,Piso,Calle Blanca Balboa 14,106,3,47000
Castilla y Leon,Leon,Piso,Calle Anselmo Carretero s/n,81,3,190000
Castilla y Leon,Leon,Piso,Avenida Jose Valgoma Suarez 40,85,3,19000
Castilla y Leon,Leon,Chalet,La Antigua,121,4,195000
Castilla y Leon,Leon,Piso,Avenida Espana 38,120,4,60000
Castilla y Leon,Leon,Piso,huertas 24,129,3,79000
Castilla y Leon,Leon,Chalet,SAN JOSE,118,3,130900
Castilla y Leon,Leon,Chalet,Calle Barrio Nuevo 123,105,3,52000
Castilla y Leon,Leon,Chalet,Calle Herreria 53,104,3,179900
Castilla y Leon,Leon,Piso,Calle Colada 4,61,2,95000
Castilla y Leon,Leon,Piso,Calle San Jose 2,52,4,66000
Castilla y Leon,Leon,Piso,Calle Revolvedero 7,62,2,95000
Castilla y Leon,Leon,Piso,Ronda Norte 26,122,3,149000
Castilla y Leon,Leon,Chalet,Calleja Presa del Molino Vn 5,79,2,279000
Castilla y Leon,Leon,Chalet,Pasaje Jaen 11,350,7,49900
Castilla y Leon,Leon,Piso,Calle Lago de Carucedo 4,107,3,88000
Castilla y Leon,Leon,Piso,Calle Cipriano de la Huerga 24,145,4,106000
Castilla y Leon,Leon,Piso,Calle Juan Ramon Jimenez 1,71,2,78000
Castilla y Leon,Leon,Piso,Calle Lucerna 23,3,3,65000
Castilla y Leon,Leon,Piso,Calle Juan de Lama 3,140,4,84978
Castilla y Leon,Leon,Casa Rural,Calle Pozaco 17,101,3,125000
Castilla y Leon,Leon,Chalet,Calle el Gatinal 30,305,6,181000
Castilla y Leon,Leon,Piso,Calle San Valerio 35,88,3,105000
Castilla y Leon,Leon,Piso,Rio Sil 2,107,3,68900
Castilla y Leon,Leon,Chalet,Camino Campas 25,290,4,188900
Castilla y Leon,Leon,Piso,Calle Tras la Boveda 16,10,4,59900
Castilla y Leon,Leon,Chalet,Avenida de Cacabelos 102 -18,410,4,330000
Castilla y Leon,Leon,Casa Rural,Cimanes de la Vega,166,5,99900
Castilla y Leon,Leon,Piso,Centro Ciudad,137,4,203500
Castilla y Leon,Leon,Chalet,Congosto,240,6,325000
Castilla y Leon,Leon,Piso,Avenida del Padre Isla 112,6,2,108000
Castilla y Leon,Leon,Piso,La Vecilla,80,2,33000
Castilla y Leon,Leon,Piso,Cistierna,80,3,39900
Castilla y Leon,Leon,Chalet,San Andres del Rabanedo,152,4,234900
Castilla y Leon,Leon,Chalet,Palacios del Sil,125,4,49995
Castilla y Leon,Leon,Chalet,Trobajo del Camino,135,4,265000
Castilla y Leon,Leon,Chalet,Astorga,175,5,290000
Castilla y Leon,Leon,Chalet,Congosto,238,6,325000
Castilla y Leon,Leon,Chalet,Carrocera,211,6,159995
Castilla y Leon,Leon,Chalet,Villamontan de la Valduerna,193,5,25000
Castilla y Leon,Leon,Piso,Centro Ciudad,131,4,203500
Castilla y Leon,Leon,Chalet,Santas Martas,268,7,11000
