Tipo de inmueble,Dirección,Precio,Habitaciones,m2
Piso,Calle de Desiderio Escosura,130000,4,128
Piso,Calle de los Estébanes,415000,7,177
Piso,Calle de Pedro Lapuyade,128900,2,66
Chalet,Avenida de la Ilustración 24,545000,4,200
Chalet,Calle Comercio,99900,1,210
Chalet,Calle Cervantes,79900,4,160
Piso,Calle de Viriato,89000,2,57
Piso,Calle de Casta Álvarez,99000,3,80
Piso,Calle de Santa Cruz de Tenerife,83000,3,70
Piso,Calle de Fray Luis Urbano,82900,2,56
Piso,Calle del Aaiun,240000,4,144
Piso,Calle J. Octavio de Toledo,110000,3,61
Chalet,Calle de Jesús y María,280000,4,145
Piso,Calle José Sancho Arroyo,128000,2,68
Piso,Paseo de Cuéllar,290000,4,146
Piso,barrio Paseo Independencia,358000,4,140
Piso,Calle Comercio,129000,3,90
Chalet,Camino Enmedio Miraflores,249900,6,225
Piso,Calle de Fray Lamberto de Zaragoza,92000,2,70
Piso,Calle de José Luis Albareda 6,290000,3,120
Piso,Calle del Porvenir,128300,1,64
Chalet,barrio Montecanal-Valdespartera-Rosales del Canal,535000,5,395
Piso,Calle de Verónica,350000,3,86
Chalet,Avenida de Montañana,575000,3,150
Piso,Avenida de César Augusto,350626,4,157
Piso,Paseo de Echegaray y Caballero,225055,3,90
Piso,barrio Universidad San Francisco,340000,3,148
Chalet,Avenida de Movera,160000,4,133
Piso,Via VÍA UNIVÉRSITAS,190000,3,105
Piso,barrio Doctor Cerrada,240000,2,90
Piso,barrio Las Fuentes,96000,3,81
Piso,barrio La Magdalena,85500,3,103
Piso,barrio Las Fuentes,129900,3,107
Piso,Calle del Río Gállego,126500,1,47
Piso,Calle del Río Gállego,115000,1,43
Piso,barrio San José,180000,2,76
Piso,Calle de María Moliner,139900,3,120
Piso,Calle de Franco y López,110000,3,94
Piso,barrio La Jota,83000,2,75
Piso,barrio Bombarda - Monsalud,89000,2,75
Piso,barrio Parque Delicias - La Bozada,82900,3,92
Piso,Calle Río Jiloca,175000,3,136
Chalet,Calle Ángel Hernández,299000,4,129
Chalet,Calle San Juan,289900,3,300
Chalet,Calle Aragón,179900,3,186
Piso,Calle Luces de la Ciudad,174000,3,85
Duplex,Avenida de Pastriz,167000,4,131
Piso,Paseo Sixto Celorrio,58000,6,245
Piso,Avenida de la Constitución 2,198000,3,40
Chalet,Calle de Jesús Gonzalez Cruz,230000,5,90
Chalet,Calle Alcubierre,275000,5,300
Piso,Via Univérsitas,241000,4,163
Piso,Avenida Galo Ponte,74900,4,144
Chalet,Camino Puebla,173000,4,183
Piso,Calle de Valero Julián Ripol Urbano,114900,3,73
Piso,Calle de los Condes de Aragón,270000,3,136
Chalet,Calle la Herrería,279900,4,24
Piso,Calle de los Lagos de Coronas,223200,2,109
Chalet,Calle Octubre,350000,5,1.700
Piso,Calle Poeta Jorge Manrique,160000,3,120
Piso,Calle de Maurice Ravel,169000,3,90
Chalet,Avenida cortes de aragon,255000,5,1300
Piso,Calle de Luis Legaz Lacambra,260000,3,101
Piso,Calle de Salvador Dalí,184900,4,129
Piso,Paseo Constitución,695000,4,186
Piso,Calle de San Vicente Mártir,249000,3,95
Piso,Avenida de César Augusto 1,350600,4,154
Piso,Calle lago de coronas,220000,2,78
Piso,Calle del Conde de Aranda,185000,6,226
Piso,Calle de Virginia Woolf,212000,3,100
Piso,Juan José Rivas,220000,3,80
Piso,Residencial Paraíso,585000,6,241
Piso,Calle del Doctor Cerrada,160000,3,80
Ático,Calle de Cantín y Gamboa,485000,3,130
Piso,Santander,130000,3,70
Piso,Camino de las Torres,163000,3,82
Chalet,Selva de oza,236000,5,1850
Piso,Calle de Francisco de Vitoria,297000,4,130
Piso,Calle del Cuatro de Agosto,140000,2,60
Piso,Calle de Santiago Ramón y Cajal 12,286000,3,101
Piso,Calle de Santiago Ramón y Cajal 12,223000,2,71
Piso,Calle de Santiago Ramón y Cajal 12,153000,1,48
Chalet,justicia 2,310000,4,132
Piso,Calle del Sepulcro,225055,3,90
Piso,Avenida Navarra 14,165000,4,130
Piso,Calle de los Lagos de Coronas 43,198000,3,80
Ático,Sagasta,240000,1,49
Chalet,Barrio de las Cruces s/n,249000,2,73
Piso,Calle Sanclemente 23,550000,4,45
Piso,Calle del Coso 77,397000,4,60
Piso,Calle de Bonifacio García Menéndez,150000,2,80
Duplex,Plaza de Nuestra Señora del Carmen,298000,4,100
Piso,Calle de Miguel de Cervantes,250000,2,67
Piso,La Coruña,96500,3,30
Piso,Calle Santa Barbara 5,173000,2,66
Piso,Calle del Doctor Ricardo Lozano Monzón,175000,2,60
Duplex,Calle Toledo,203000,4,132
Piso,Avenida de Cesáreo Alierta,680000,4,45
Piso,Calle Tomas Breton,225000,3,18
Ático,Calle de Edmundo D'Amicis 3,315000,3,109
Piso,Calle de Simón Sainz de Varanda,239900,3,91
Piso,Calle de Biarritz,169000,3,88
Piso,Paseo de Sagasta,320000,2,80
Piso,barrio Ruiseñores,210000,4,129
Chalet,Calle Ruiseñores,660000,4,250
Piso,Isabel La Católica,399000,5,213
Piso,Calle de Fray Luis Amigó 8,295000,2,80
Chalet,Pastriz,170000,3,99
Duplex,Via de la Hispanidad,560000,5,15
Duplex,Avenida de Juan Pablo II,369000,5,175
Piso,Calle Caminos del Norte,279900,3,115
Piso,Paseo de Cuéllar,176000,3,82
Piso,Calle Tomas Breton,170000,3,93
Piso,Paseo de las Damas 31,380000,5,172
Chalet,Calle Zafiro,105000,2,126
Chalet,Calle Los Fresnos,279000,5,6000
Piso,Calle del Coso,420000,5,176
Chalet,Barranco de Luzbel,115000,4,108
Piso,Calle de la Marina Española 12,270000,4,134
Piso,Avenida Tenor Fleta 53,290000,4,32
Piso,Avenida del Tenor Fleta 57,180000,1,31
Piso,Calle del Santuario de Rodanas 1,228000,4,147
Piso,Joaquin Sanz Gadea,198000,3,99
Duplex,Avenida Barón de Warsage,170000,3,86
Piso,Glorieta de Diego Velázquez,99000,3,82
Chalet,Calle Mayor 69,85000,5,181
Duplex,Avenida Barón de Warsage,199000,4,100
Duplex,Avenida Barón de Warsage,156000,2,79
Piso,Calle del Coso,168000,4,152
Piso,Calle Dolmen de Tella,175000,3,100
