C. Autónoma,Provincia,Tipo de inmueble,Direccion,m2,Habitaciones,Precio
Castilla y León,Valladolid,Piso,Calle de las Eras 10,83,3,189000
Castilla y León,Valladolid,Piso,Calle de Francisco Javier Martin Abril 3,110,3,370000
Castilla y León,Valladolid,Piso,Calle Manuel Azana 28,108,3,225000
Castilla y León,Valladolid,Piso,Paseo de Zorrilla,108,3,269000
Castilla y León,Valladolid,Piso,Puente del Poniente,90,7,720000
Castilla y León,Valladolid,Piso,Calle Gavilla,185,5,230000
Castilla y León,Valladolid,Piso,Plaza del Poniente,107,3,269870
Castilla y León,Valladolid,Piso,TORRECILLA 24,110,3,168000
Castilla y León,Valladolid,Piso,Calle Embajadores,118,3,79500
Castilla y León,Valladolid,Piso,Calle de Acibelas 3,76,2,105000
Castilla y León,Valladolid,Piso,Calle Lopez Gomez,60,2,189000
Castilla y León,Valladolid,Piso,Paseo de Zorrilla,140,4,179000
Castilla y León,Valladolid,Piso,Calle del Monasterio Santa Isabel,60,1,148500
Castilla y León,Valladolid,Piso,Calle General Almirante,152,4,239000
Castilla y León,Valladolid,Atico,Calle Luis Gonzalez Lefort 22,60,1,175000
Castilla y León,Valladolid,Piso,Calle Padre Francisco Suarez 5,89,3,119000
Castilla y León,Valladolid,Piso,Calle del Pelicano,104,3,96000
Castilla y León,Valladolid,Chalet,Calle del Haya,160,4,350000
Castilla y León,Valladolid,Piso,Calle Sierra de Gredos,110,3,215000
Castilla y León,Valladolid,Chalet,Calle Fidelio,1600,7,650000
Castilla y León,Valladolid,Piso,Calle Claudio Moyano,150,4,240000
Castilla y León,Valladolid,Piso,Calle Clivia,90,3,129990
Castilla y León,Valladolid,Piso,Calle Toreros,82,3,125000
Castilla y León,Valladolid,Piso,Calle Manuel Azana,72,2,177000
Castilla y León,Valladolid,Piso,Calle Navarra,75,4,185000
Castilla y León,Valladolid,Piso,Calle del Puente Colgante,100,3,209000
Castilla y León,Valladolid,Atico,Independencia 10,59,1,192000
Castilla y León,Valladolid,Atico,Callejon de la Alcoholera 16,66,2,169000
Castilla y León,Valladolid,Piso,Calle de Gabilondo 33,131,4,245000
Castilla y León,Valladolid,Piso,MANUEL AZANA 24,91,3,209500
Castilla y León,Valladolid,Piso,Calle de la Pena Santa 11,92,3,199000
Castilla y León,Valladolid,Piso,Calle Nicolas Salmeron 28,107,3,215000
Castilla y León,Valladolid,Piso,Calle de Concha Velasco,90,3,118000
Castilla y León,Valladolid,Piso,Callejon de la Alcoholera,62,2,270000
Castilla y León,Valladolid,Piso,Circular - Vadillos,85,3,190000
Castilla y León,Valladolid,Piso,Calle Acera de Recoletos,100,4,1275000
Castilla y León,Valladolid,Piso,Calle Pio del Rio Hortega,133,4,184973
Castilla y León,Valladolid,Piso,vega,120,3,155000
Castilla y León,Valladolid,Piso,Calle Juan de Juni,86,3,220000
Castilla y León,Valladolid,Piso,Calle Guarderia,73,2,110000
Castilla y León,Valladolid,Piso,Calle Claudio Moyano 20,90,3,439000
Castilla y León,Valladolid,Piso,Calle Acera de Recoletos 14,140,4,195000
Castilla y León,Valladolid,Chalet,Calle de Miriam Blasco 81,50,5,350000
Castilla y León,Valladolid,Piso,Calle del Arzobispo Marcelo Gonzalez s/n,66,3,67000
Castilla y León,Valladolid,Piso,Calle Hierbabuena,78,2,157000
Castilla y León,Valladolid,Piso,Calle Estacion,115,3,135900
Castilla y León,Valladolid,Piso,Calle de Higinio Mangas,104,3,115000
Castilla y León,Valladolid,Piso,Calle Aneto s/n,152,4,260000
Castilla y León,Valladolid,Piso,Calle Aneto s/n,65,2,186500
Castilla y León,Valladolid,Atico,Calle de Teresa Gil,200,5,545000
Castilla y León,Valladolid,Piso,Calle de Hernando de Acuna,138,4,224990
Castilla y León,Valladolid,Piso,Calle Aneto s/n,120,3,216200
Castilla y León,Valladolid,Piso,Paseo de San Vicente,84,3,250000
Castilla y León,Valladolid,Piso,NUMANCIA 6,74,2,95000
Castilla y León,Valladolid,Piso,Po Zorrilla - Cuatro de Marzo,150,4,390000
Castilla y León,Valladolid,Piso,Calle Huelgas,107,3,237000
Castilla y León,Valladolid,Chalet,Calle Lagar de Maria Pinto,25,4,478000
Castilla y León,Valladolid,Piso,Calle de Leopoldo Cano 11,63,2,280000
Castilla y León,Valladolid,Piso,Calle de Leopoldo Cano 11,123,4,449000
Castilla y León,Valladolid,Piso,Giron - Villa del Prado,71,2,218000
Castilla y León,Valladolid,Piso,Calle Pedro Ponce de Leon,99,3,340000
Castilla y León,Valladolid,Piso,Calle de Higinio Mangas,88,3,115000
Castilla y León,Valladolid,Piso,Avenida de Gijon,94,3,118000
Castilla y León,Valladolid,Piso,Paseo de Zorrilla,136,5,189000
Castilla y León,Valladolid,Piso,Calle San Blas,148,4,255000
Castilla y León,Valladolid,Piso,Paseo de San Vicente,72,2,165999
Castilla y León,Valladolid,Piso,Calle Vizcaya,144,4,142999
Castilla y León,Valladolid,Piso,KILIMANJARO,69,2,156500
Castilla y León,Valladolid,Piso,Calle de Miriam Blasco,143,4,300000
Castilla y León,Valladolid,Piso,Calle del Puente Colgante 28,93,3,129900
Castilla y León,Valladolid,Piso,Calle Gamazo,153,1,350000
Castilla y León,Valladolid,Atico,La Rubia,275,5,580000
Castilla y León,Valladolid,Piso,Puente Colgante,61,2,179990
Castilla y León,Valladolid,Piso,Centro,69,2,230000
Castilla y León,Valladolid,Piso,Pajarillos,82,3,140000
Castilla y León,Valladolid,Piso,La Victoria - El Cabildo,97,3,199900
Castilla y León,Valladolid,Piso,Po Zorrilla - Cuatro de Marzo,114,3,250000
Castilla y León,Valladolid,Duplex,Ronda Especeria 3,27,3,109900
Castilla y León,Valladolid,Piso,Calle Pio del Rio Hortega 1,98,3,166000
Castilla y León,Valladolid,Chalet,Calle de Santa Victoria,200,4,219527
Castilla y León,Valladolid,Chalet,Calle Fuenteluisa,400,6,450000
Castilla y León,Valladolid,Chalet,Avenida de Jose Luis Lasa 9,130,4,350000
Castilla y León,Valladolid,Chalet,Calle San Isidro 2 A,414,4,244000
Castilla y León,Valladolid,Piso,San Benito 5,155,4,470000
Castilla y León,Valladolid,Chalet,Camino Viejo de Simancas s/n,244,6,499000
Castilla y León,Valladolid,Chalet,El Pichon s/n,203,6,400000
Castilla y León,Valladolid,Chalet,Urbanizacion Sotoverde s/n,245,6,419900
Castilla y León,Valladolid,Piso,Teresa Gil s/n,163,5,400000
Castilla y León,Valladolid,Piso,Bajada de la Libertad s/n,205,6,580000
Castilla y León,Valladolid,Chalet,Acenas s/n,148,4,325000
Castilla y León,Valladolid,Chalet,Calle Retama,131,4,139999
Castilla y León,Valladolid,Piso,Paseo de Zorrilla,203,6,390000
Castilla y León,Valladolid,Piso,Calle Purificacion Bezos 29,12,3,109900
Castilla y León,Valladolid,Chalet,Lugar Urbanizacion la Tapia 46,1566,5,138500
Castilla y León,Valladolid,Piso,Calle Marques del Duero 6,89,3,165000
Castilla y León,Valladolid,Piso,Calle Federico Landrove Moino 12,160,4,200000
Castilla y León,Valladolid,Piso,Calle del Amor de Dios 43,69,2,109000
Castilla y León,Valladolid,Chalet,Calle las Fuentes,131,4,210000
Castilla y León,Valladolid,Piso,Calle Manantial 2,77,2,57000
Castilla y León,Valladolid,Piso,Arco de Ladrillo 69,98,3,54500
Castilla y León,Valladolid,Piso,Calle Colmenares 1,55,3,395000
Castilla y León,Valladolid,Chalet,Antonio Machado 177,129,4,355000
Castilla y León,Valladolid,Chalet,Calle Madrono 1,158,4,742000
Castilla y León,Valladolid,Piso,Acera de Recoletos 4,121,4,980000
Castilla y León,Valladolid,Chalet,Calle Ciruelo 107,121,4,495000
Castilla y León,Valladolid,Piso,Joaquin Velasco martin 3,159,4,309000
Castilla y León,Valladolid,Atico,Colmenares 1,105,3,380000
Castilla y León,Valladolid,Piso,Acera de Recoletos s/n,162,5,1300000
Castilla y León,Valladolid,Piso,Juan de Juni s/n,86,3,199000
Castilla y León,Valladolid,Piso,Calle Esquila,84,3,114815
Castilla y León,Valladolid,Atico,Regalado s/n,86,3,520000
Castilla y León,Valladolid,Atico,Paseo de Zorrilla 48,152,4,549000
Castilla y León,Valladolid,Chalet,Calle Pedro Gil Zaratan,137,4,186597
Castilla y León,Valladolid,Chalet,Calle Fuente de Cibeles,98,3,149379
Castilla y León,Valladolid,Piso,Calle Mantilla,130,3,420000
Castilla y León,Valladolid,Atico,883870358,32,249900,Calle Antonio de Ulloa
Castilla y León,Valladolid,Piso,Calle Canada,68,2,69900
Castilla y León,Valladolid,Piso,Carretera de la Mota,120,3,120000
Castilla y León,Valladolid,Piso,Mino 3,94,3,198000
Castilla y León,Valladolid,Piso,IRUN 5,168,5,265000
Castilla y León,Valladolid,Piso,Calle ARCA 2,63,2,146900
Castilla y León,Valladolid,Piso,Carretera Valladolid,101,2,129000
Castilla y León,Valladolid,Piso,Calle Pedro de la Gasca 16,91,3,150000
Castilla y León,Valladolid,Piso,Calle Luna 3,97,3,118000
Castilla y León,Valladolid,Piso,Calle de Acibelas 2,107,3,160000
Castilla y León,Valladolid,Piso,Calle del Puente Colgante,116,4,219900
Castilla y León,Valladolid,Piso,Plaza Cruz Verde,99,3,224000
Castilla y León,Valladolid,Piso,SANTUARIO 17,167,5,199000
Castilla y León,Valladolid,Atico,Calle Padre Manjon,4,2,152000
Castilla y León,Valladolid,Atico,Plaza monasterio de san benito,99,3,305000
Castilla y León,Valladolid,Piso,Avenida de aranzana,115,3,183000
Castilla y León,Valladolid,Chalet,Calle Bureba,123,4,320000
Castilla y León,Valladolid,Chalet,Calle Vicente Aleixandre,204,3,225000
Castilla y León,Valladolid,Chalet,883870358,813,419800,Ladera del Sol
Castilla y León,Valladolid,Piso,Calle Profesor Adolfo Miaja de la Muela,6,3,165000
Castilla y León,Valladolid,Piso,Calle de Portugal,106,3,147000
Castilla y León,Valladolid,Chalet,Laguna de Duero,140,3,390000
Castilla y León,Valladolid,Chalet,La Mudarra,260,7,155000
Castilla y León,Valladolid,Chalet,Alcazaren,157,4,165000
Castilla y León,Valladolid,Piso,Calle Eusebio Gonzalez Suarez,143,4,189900
Castilla y León,Valladolid,Piso,REJA,24,3,148000
Castilla y León,Valladolid,Chalet,Via de Pinares 14,1500,4,93000
Castilla y León,Valladolid,Piso,Calle Santa Marina,82,3,99000
Castilla y León,Valladolid,Chalet,Calle de Don Olegario Ortiz 13,265,3,210000
Castilla y León,Valladolid,Piso,Calle del Arzobispo Jose Delicado,149,4,249000
Castilla y León,Valladolid,Piso,RUEDA,84,3,165000
Castilla y León,Valladolid,Piso,Calle Pedro Garcia Lobato,148,3,182900
Castilla y León,Valladolid,Piso,Calle Peru 5,141,4,210000
Castilla y León,Valladolid,Piso,Arco de Ladrillo 63,144,4,147000
Castilla y León,Valladolid,Piso,Jacinto Benavente,94,3,85000
Castilla y León,Valladolid,Piso,Calle del Cardenal Torquemada,152,4,135000
Castilla y León,Valladolid,Duplex,Calle de Leopoldo Cano 24,82,3,370000
Castilla y León,Valladolid,Duplex,Calle VISTA ALEGRE,69,2,142000
Castilla y León,Valladolid,Piso,Calle Nicolas Salmeron,80,3,185000
Castilla y León,Valladolid,Piso,Calle de Labradores,94,3,210000
Castilla y León,Valladolid,Piso,Calle de los Donantes de Sangre,99,3,210000
Castilla y León,Valladolid,Piso,San Blas,89,3,214900
Castilla y León,Valladolid,Chalet,Canada Real,160,4,339900
Castilla y León,Valladolid,Piso,Calle Tortola,91,3,89000
Castilla y León,Valladolid,Piso,La Vega,94,3,186000
Castilla y León,Valladolid,Chalet,Arroyo,104,3,250000
Castilla y León,Valladolid,Piso,Arroyo,75,2,148000
Castilla y León,Valladolid,Piso,La Flecha - Monasterio del Prado,66,2,127900
Castilla y León,Valladolid,Piso,Laguna de Duero,90,4,108000
Castilla y León,Valladolid,Piso,Calle del Arzobispo Marcelo Gonzalez,140,4,185000
Castilla y León,Valladolid,Chalet,Calle Carmen Conde,157,4,257000
Castilla y León,Valladolid,Chalet,Calle Huertas,20,4,199000
Castilla y León,Valladolid,Atico,Calle ZARAGOZA,30,3,159000
Castilla y León,Valladolid,Piso,Calle Turina,130,4,105000
Castilla y León,Valladolid,Piso,Calle Arzobispo Garcia Goldaraz 15,85,3,112000
Castilla y León,Valladolid,Chalet,Calle Sierra Cebollera,122,4,255000
Castilla y León,Valladolid,Piso,Calle del Arzobispo Marcelo Gonzalez,85,3,109990
Castilla y León,Valladolid,Piso,Calle Luna 1,133,3,293000
Castilla y León,Valladolid,Chalet,Calle Cerviguera,154,4,120000
Castilla y León,Valladolid,Piso,Calle de Joaquin Velasco Martin,87,3,99900
Castilla y León,Valladolid,Piso,Avenida Prado Boyal,99,3,147000
Castilla y León,Valladolid,Piso,Calle Catalina Adulce,75,2,240000
Castilla y León,Valladolid,Piso,Abejaruco 2,110,4,155000
Castilla y León,Valladolid,Piso,Calle de Santa Lucia,103,3,185000
Castilla y León,Valladolid,Piso,Calle Olmedo 13,78,2,72000
Castilla y León,Valladolid,Piso,Calle de la Alcaparra,124,3,325000
Castilla y León,Valladolid,Piso,Paseo de Renacimiento,108,3,425000
Castilla y León,Valladolid,Piso,Centro,232,5,400000
Castilla y León,Valladolid,Chalet,Avenida Tratado de Maasticht 35,925,4,498000
Castilla y León,Valladolid,Chalet,Calle Alondra,156,4,189000
Castilla y León,Valladolid,Piso,Huerta del Rey,80,2,186000
Castilla y León,Valladolid,Piso,Calle Domingo Martinez 13,152,4,185000
Castilla y León,Valladolid,Piso,Pajarillos,70,2,95900
Castilla y León,Valladolid,Piso,Carretera Mota,112,3,152000
Castilla y León,Valladolid,Chalet,Villanubla,141,4,199000
Castilla y León,Valladolid,Piso,Paseo de Zorrilla,60,6,390000
Castilla y León,Valladolid,Chalet,AV DEL V CENTENARIO DE ISABEL LA CATOLICA,95,3,260000
Castilla y León,Valladolid,Piso,Plaza Madrid 3,177,5,390000
Castilla y León,Valladolid,Piso,Vencejo 1,97,3,99000
Castilla y León,Valladolid,Piso,Aranzana,78,2,153000
Castilla y León,Valladolid,Piso,Plaza Mde San Benito,90,2,259990
Castilla y León,Valladolid,Piso,HOZ,72,2,138000
Castilla y León,Valladolid,Piso,Calle Relatores,121,4,239500
Castilla y León,Valladolid,Piso,Plaza Madrid 3,144,5,360000
Castilla y León,Valladolid,Piso,Paseo Jardin Botanico s/n,85,3,224000
Castilla y León,Valladolid,Atico,Calle Marques del Duero 6,30,3,249000
Castilla y León,Valladolid,Casa Rural,Calle Arriba 13,900,3,150000
Castilla y León,Valladolid,Piso,Paseo Jardin Botanico s/n,108,3,224000
