Tipo de inmueble,Dirección,Precio,Habitaciones,m2
Chalet,Calle Fonte Alen,24000,3,87
Chalet,Calle Porriñeira,340000,3,500
Chalet,OU-0525,170000,6,430
Chalet,Celanova,160000,3,771
Chalet,Lugar Pedrafita,120000,5,176
Chalet,Calle Fonte Alen,24000,3,87
Piso,Calle do Bierzo,187000,2,73
Piso,Calle dos Pilos,130000,4,142
Chalet,rairo,90000,4,75
Casa Rural,Pousada de abaixo,20000,3,103
Piso,Calle Claudio Movilla,65000,4,155
Piso,Avenida Alfonso Rodríguez Castelao,325000,5,199
Chalet,Calle Grande,98000,3,222
Duplex,Mariñamansa,228000,4,176
Piso,Avenida Portugal,160000,4,159
Chalet,Lugar a Laxe,68000,4,108
Piso,Calle Ervedelo,225000,4,144
Piso,Avenida de Santiago,250000,3,101
Piso,Calle quintian,57000,3,78
Chalet,Calle Bispo Muñoz de la Cueva,260000,3,300
Piso,Avenida de Santiago,139000,3,99
Chalet,Calle Isaac Piñeiro Varela,202000,3,200
Piso,Calle Doctor Pena Rey,85000,4,139
Piso,Avenida de Zamora,75000,3,91
Piso,Calle Seixalbo,95000,2,85
Chalet,Plaza José Luis Núñez 12,69000,4,213
Chalet,O Vinteun,105000,4,156
Piso,Calle Vasco da Ponte,131000,2,64
Piso,Calle Jesús Soria,168000,3,106
Chalet,Calle do Cobo,425000,3,2165
Piso,Dous de Maio 5,93000,1,38
Chalet,Pereiro de Aguiar,410000,4,154
Chalet,Pereiro de Aguiar,60000,3,173
Casa Rural,Freixoso de Penela 1,33000,3,85
Chalet,Coles,240000,4,131
Duplex,Calle Bernardo Cachamuiña,235000,4,135
Piso,Calle Marcelo Macías 48,125000,3,80
Chalet,Lugar Aguil,28000,3,89
Chalet,Camino do Balneario,95000,3,95
Chalet,Lugar a Eirexa,90000,2,74
Piso,Calle Ervedelo,265000,3,120
Chalet,Bobadela,90000,3,120
Piso,Calle do Progreso,320000,4,137
Piso,Avenida Otero Pedrayo,270000,4,156
Piso,Carretera Cr vigo,155000,2,10
Chalet,Bobadela,90000,3,103
Piso,Barbadas,59000,3,27
Duplex,bonhome 30,180000,4,125
Piso,Couto,135000,4,155
Piso,Calle Río Casaio 8,135000,3,103
Chalet,Xinzo de Limia,33000,3,110
Chalet,Capilla 2,69000,2,63
Piso,Polvorín,85000,12,657
Piso,Couto,155000,3,119
Chalet,Calle do Sol,49900,3,87
Casa Rural,Barbadas,35000,4,128
Piso,Centro,450000,4,137
Piso,O Carballiño,97000,3,97
Duplex,Calle Xavier Prado Lameiro 10,220000,3,94
Chalet,Avenida Padre Feijóo,30000,1,59
Piso,progreso,320000,4,153
Piso,viso,125000,2,79
Chalet,Aldea Santa Ana 10,70000,6,249
Piso,habana,315000,3,150
Chalet,Entrimo,54000,3,99
Estudio,aviles de taramancos,155000,0,30
Piso,SERRA DO BURGO,99900,3,45
Piso,progreso,320000,5,260
Chalet,Sandias,199000,3,91
Piso,Avenida de Celanova,160000,3,96
Chalet,Residencia,132000,3,97
Duplex,Couto,249000,6,216
Chalet,Camino sen nome,79000,3,100
Piso,Doctor Fleming,145000,3,77
Piso,O Vinteun,100000,4,125
Piso,fonte boa,150000,3,114
Piso,Calle Santo Domingo 9,156000,2,85
Chalet,Barrocanes,85000,4,120
Piso,Avenida de Buenos Aires,149000,1,49
Piso,Centro,550000,4,233
Piso,Vista Hermosa,225000,4,130
Piso,Centro,220000,3,80
Chalet,Nogueira de Ramuin,1250000,4,123
Piso,Vilar de Santos,195000,4,106
Chalet,Nogueira de Ramuin,1250000,4,156
Piso,Centro,220000,3,80
Piso,vistahermosa,123000,3,105
Piso,O Vinteun,139000,3,103
Piso,antonio puga,38000,3,82
Chalet,Allariz,550000,10,483
Piso,Calle do Polvorín,74900,3,110
Piso,Plaza Andrés de Prada 4,130000,2,73
Duplex,A Ponte,225000,3,101
Piso,A Carballeira,134500,3,82
Chalet,San Cibrao das Viñas,295000,5,510
Chalet,Xunqueira de Ambia,90000,4,133
Chalet,Camino sen nome,115000,1,150
Chalet,Pereiro de Aguiar,400000,5,315
Piso,Centro,250000,3,170
Piso,Casco Viejo,70000,3,78
Chalet,Universidad,600000,6,231
Chalet,Calle Ramirás 48,350000,5,182
Piso,Calle Pena Trevinca,170000,4,135
Piso,Calle Ponte Codesal,155000,3,81
Piso,Avenida de Santiago,176000,3,89
Piso,Calle Prego de Oliver,150000,3,104
Piso,Calle Galicia,145000,3,100
Piso,Centro,310000,5,169
Piso,Avenida Portugal,85000,3,89
Piso,Calle do Vinteún,149900,3,118
Duplex,Calle da Mestra Paz Sueiro,225000,3,120
Piso,Calle Parque de San Lázaro,700000,5,250
Piso,Calle a Granxa,125000,2,69
Piso,Calle Dous de Maio,75000,1,40
Piso,Calle Xoan Manuel Pintos,165000,2,61
Chalet,Camino Aldea Abaixo,800000,8,341
Piso,Parque San Lazaro,215000,1,60
Piso,Avenida de Buenos Aires,153000,2,66
Piso,Calle Pablo Iglesias,155000,3,109
Piso,Calle Emilia Pardo Bazán,155000,2,59
Piso,Centro,330000,4,140
Piso,Avenida Portugal 61,230000,4,135
Chalet,Calle Seixalbo 65,89000,3,80
Piso,A Ponte,105000,2,72
Piso,Avenida Portugal 61,230000,4,128
Casa Rural,O Burgo 1,50000,3,200
Chalet,O Vinteun,350000,4,1000
Chalet,Calle Arrabaldo,350000,6,4800
Chalet,Pereiro de Aguiar,285000,5,160
Piso,rio camba,89900,3,118
Piso,Rúa Cardenal Quevedo,139700,1,58
Chalet,Calle da Esmorga,160000,4,150
Piso,Calle dos Remedios,99000,3,82
Piso,Calle do Paseo,480000,3,114
Piso,Avenida de Buenos Aires,158000,2,74
Piso,Calle Pino,70000,3,118
Piso,Calle a Granxa,120000,4,158
Piso,Centro,325000,5,160
Piso,Calle Río Camba,130000,2,76
Duplex,Calle Cotelma,159000,3,89
Piso,Calle Celso Emilio Ferreiro,90000,3,102
Piso,Barbadas,125000,3,80
Piso,O Vinteun,130000,3,89
Chalet,vilariño da canda,115000,4,250
Piso,Xinzo de Limia,62700,3,112
Casa Rural,Xunqueira de Ambia,20000,0,500
Casa Rural,CARRIL 1,80000,2,2176
Piso,Calle próximo a la Avenida de Zamora,49500,3,65
Estudio,Calle Ramón Puga 51,105000,0,46
Piso,Universidad,210000,4,144
Piso,Centro,236000,3,115
Chalet,Lobios,59000,4,132
Casa Rural,Xunqueira de Ambia,59900,3,94
Piso,vasco diaz tanco,40000,3,86
Piso,ervedelo,120000,3,97
Piso,valle inclan,220000,3,115
Piso,outeiro,80000,4,124
Piso,Calle do ventiun,84000,4,136
Estudio,gregorio fernandez,102000,0,38
Piso,Avenida santiago,120000,3,103
Piso,jesus soria,69000,5,198
Piso,Casco Viejo,150000,1,53
