C. Autonoma,Provincia,Tipo de inmueble,Direccion,m2,Habitaciones,Precio
Comunidad Valenciana,Castellon,Chalet,Calle de Dalt,128.0,4,100000
Comunidad Valenciana,Castellon,Chalet,Zona Playa de la Concha,178.0,5,649000
Comunidad Valenciana,Castellon,Piso,barrio Acapulco,70.0,2,145000
Comunidad Valenciana,Castellon,Piso,Calle Regne Unit 10,15.0,3,99000
Comunidad Valenciana,Castellon,Piso,CATALUNA,78.0,2,140000
Comunidad Valenciana,Castellon,Piso,CATALUNA,65.0,2,140000
Comunidad Valenciana,Castellon,Chalet,Montornes - Las Palmas - El Refugio,65.0,3,1400000
Comunidad Valenciana,Castellon,Duplex,Las Atalayas - Urmi - Cerro Mar,267.0,4,380000
Comunidad Valenciana,Castellon,Chalet,barrio Casco Historico,127.0,4,55000
Comunidad Valenciana,Castellon,Chalet,Els Terrers,127.0,4,550000
Comunidad Valenciana,Castellon,Piso,barrio Zona Ensanche-Parque oeste,150.0,4,87000
Comunidad Valenciana,Castellon,Chalet,Zona Piscinas,126.0,4,680000
Comunidad Valenciana,Castellon,Chalet,Casco Antiguo,139.0,4,243500
Comunidad Valenciana,Castellon,Piso,Parque Sensal,69.0,2,179000
Comunidad Valenciana,Castellon,Chalet,Casco Urbano,141.0,4,345000
Comunidad Valenciana,Castellon,Duplex,barrio Costa Marfil,153.0,4,288000
Comunidad Valenciana,Castellon,Atico,Calle Rey Lobo 1,20.0,5,260000
Comunidad Valenciana,Castellon,Piso,Calle Castelldefels,85.0,3,95000
Comunidad Valenciana,Castellon,Piso,Avenida del Papa Luna 147 B,63.0,2,145000
Comunidad Valenciana,Castellon,Piso,Avenida Papa Luna,79.0,2,395000
Comunidad Valenciana,Castellon,Chalet,Avenida de Noruega 1,112.0,3,425000
Comunidad Valenciana,Castellon,Piso,Avenida Hermanos Bou 4,107.0,3,150000
Comunidad Valenciana,Castellon,Chalet,Calle general aranda,60.0,2,175000
Comunidad Valenciana,Castellon,Duplex,Avenida papa luna,73.0,2,175000
Comunidad Valenciana,Castellon,Piso,Calle Doctor Jorge Comin,30.0,4,350000
Comunidad Valenciana,Castellon,Atico,Urbanizacion Monte Pichells,72.0,2,125000
Comunidad Valenciana,Castellon,Piso,realenc,78.0,2,105000
Comunidad Valenciana,Castellon,Chalet,Calle Haiti,90.0,3,165000
Comunidad Valenciana,Castellon,Piso,Avenida Ermita San Antonio,62.0,2,153000
Comunidad Valenciana,Castellon,Duplex,irlanda,74.0,2,189000
Comunidad Valenciana,Castellon,Atico,Avenida central,11.15,4,288000
Comunidad Valenciana,Castellon,Chalet,Calle Raim,102.0,3,260000
Comunidad Valenciana,Castellon,Chalet,Barranc de Moles,124.0,4,267000
Comunidad Valenciana,Castellon,Piso,PAPA LUNA,67.0,2,255000
Comunidad Valenciana,Castellon,Piso,Avenida Papa Luna,71.0,2,360000
Comunidad Valenciana,Castellon,Duplex,Calle de Vilanova d'Avinyo,75.0,2,183000
Comunidad Valenciana,Castellon,Piso,Calle Cerc,61.0,2,115000
Comunidad Valenciana,Castellon,Piso,Calle Remolins,104.0,3,317000
Comunidad Valenciana,Castellon,Piso,Avenida Ferrandis Salvador,145.0,4,365000
Comunidad Valenciana,Castellon,Chalet,Las Atalayas - Urmi - Cerro Mar,259.0,7,650000
Comunidad Valenciana,Castellon,Chalet,Carrera DE LA GAMBA,142.0,4,260000
Comunidad Valenciana,Castellon,Piso,Avenida Ferrandis Salvador,83.0,3,535000
Comunidad Valenciana,Castellon,Piso,Calle del Maestrat,129.0,4,106490
Comunidad Valenciana,Castellon,Piso,barrio Zona Plaza Illes Columbretes,86.0,3,89000
Comunidad Valenciana,Castellon,Chalet,Calle del Moncaio,190.0,5,299000
Comunidad Valenciana,Castellon,Chalet,Calle del Moncaio,166.0,5,299000
Comunidad Valenciana,Castellon,Chalet,Heliopolis - Eurosol,372.0,5,595000
Comunidad Valenciana,Castellon,Chalet,Calle del Moncaio,182.0,5,294000
Comunidad Valenciana,Castellon,Piso,Pelayo 6,94.0,3,155000
Comunidad Valenciana,Castellon,Chalet,Urbanizacion Mediterraneo 205 43,67.0,2,220000
Comunidad Valenciana,Castellon,Atico,Avenida Italia,159.0,4,190000
Comunidad Valenciana,Castellon,Piso,Camino de la Plana,84.0,2,95000
Comunidad Valenciana,Castellon,Duplex,Avenida Camp de Morvedre,16.0,4,430000
Comunidad Valenciana,Castellon,Chalet,Calle Boverals S,1.517,5,299500
Comunidad Valenciana,Castellon,Piso,Avenida de Mohino,91.0,3,215000
Comunidad Valenciana,Castellon,Duplex,Paseo de Ribalta,80.0,4,450000
Comunidad Valenciana,Castellon,Chalet,Calle Mas del Puro,420.0,5,480000
Comunidad Valenciana,Castellon,Piso,Avenida FERRANDIS SALVADOR 140,200.0,5,635000
Comunidad Valenciana,Castellon,Chalet,CASTANYER s/n,199.0,5,630000
Comunidad Valenciana,Castellon,Duplex,Calle Triador W,88.0,3,155000
Comunidad Valenciana,Castellon,Duplex,barrio Zona Ensanche-Parque oeste,40.0,3,155000
Comunidad Valenciana,Castellon,Piso,Avenida de Borriana 20,97.0,3,129000
Comunidad Valenciana,Castellon,Piso,barrio Avenida de Valencia - Avenida de Casalduch,98.0,3,165000
Comunidad Valenciana,Castellon,Piso,Paseo de J. Ribera,90.0,3,62000
Comunidad Valenciana,Castellon,Piso,Calle Llandells 7,80.0,2,153000
Comunidad Valenciana,Castellon,Piso,Piscinas,330.0,5,193337
Comunidad Valenciana,Castellon,Piso,Piscinas,170.0,4,135000
Comunidad Valenciana,Castellon,Chalet,Camino san Antonio Peniscola s/n,71.0,2,165000
Comunidad Valenciana,Castellon,Piso,Honori Garcia i Garcia 27,110.0,3,165000
Comunidad Valenciana,Castellon,Piso,Honori Garcia i Garcia 26,78.0,2,127000
Comunidad Valenciana,Castellon,Piso,barrio Zona Estacion-Universidad,106.0,3,185000
Comunidad Valenciana,Castellon,Piso,Parque Sensal,90.0,2,180000
Comunidad Valenciana,Castellon,Duplex,barrio Zona Av. del Mar,140.0,3,287000
Comunidad Valenciana,Castellon,Chalet,Las Atalayas - Urmi - Cerro Mar,320.0,3,259000
Comunidad Valenciana,Castellon,Chalet,Calle Cales F,82.0,3,270000
