Tipo de inmueble,Dirección,Precio,Habitaciones,m2,Provincia,C. Autónoma
Chalet,barrio Las Arenas Centro,3990000,8,70,Vizcaya,País Vasco
Chalet,barrio Las Arenas Centro,3990000,8,344,Vizcaya,País Vasco
Chalet,Calle Ondategi,3990000,8,1100,Vizcaya,País Vasco
Chalet,barrio Las Arenas Centro,3990000,8,700,Vizcaya,País Vasco
Chalet,Sta María de Getxo,3900000,11,1051,Vizcaya,País Vasco
Duplex,Joaquín Arizaga,3400000,6,210,Vizcaya,País Vasco
Chalet,Calle Juan Vallejo Real de Asua,3250000,12,3050,Vizcaya,País Vasco
Chalet,Juan Vallejo,3250000,12,3050,Vizcaya,País Vasco
Chalet,Calle Juan Vallejo Real de Asua,3250000,10,1230,Vizcaya,País Vasco
Chalet,Galea Errepidea,3100000,7,1000,Vizcaya,País Vasco
Chalet,Neguri,3000000,7,400,Vizcaya,País Vasco
Chalet,Neguri,3000000,7,291,Vizcaya,País Vasco
Chalet,Neguri,3000000,6,239,Vizcaya,País Vasco
Chalet,Barrio Sandamendi,3000000,16,27000,Vizcaya,País Vasco
Chalet,Bajada de Ereaga,3000000,7,600,Vizcaya,País Vasco
Chalet,Calle Bajada de Ereaga,3000000,6,234,Vizcaya,País Vasco
Chalet,Neguri,3000000,7,250,Vizcaya,País Vasco
Chalet,Calle Bajada de Ereaga,3000000,8,330,Vizcaya,País Vasco
Chalet,Mungia,2900000,6,2000,Vizcaya,País Vasco
Duplex,zugazarte 27,2890000,4,354,Vizcaya,País Vasco
Chalet,Sta María de Getxo,2850000,5,800,Vizcaya,País Vasco
Chalet,Galea Errepidea,2700000,4,152,Vizcaya,País Vasco
Chalet,Neguri,2500000,7,282,Vizcaya,País Vasco
Chalet,Particular Basterra,2500000,7,689,Vizcaya,País Vasco
Chalet,Sta María de Getxo,2450000,8,2000,Vizcaya,País Vasco
Chalet,Sta María de Getxo,2450000,7,298,Vizcaya,País Vasco
Chalet,Camino de La Galea,2450000,7,252,Vizcaya,País Vasco
Piso,churruca 8,2350000,7,430,Vizcaya,País Vasco
Chalet,Sta María de Getxo,2350000,5,2040,Vizcaya,País Vasco
Chalet,Calle Juan Vallejo Real de Asua,2350000,5,2040,Vizcaya,País Vasco
Piso,Evaristo Churruca Kaia,2350000,7,430,Vizcaya,País Vasco
Chalet,Sta María de Getxo,2350000,5,550,Vizcaya,País Vasco
Duplex,zugazarte,2250000,4,70,Vizcaya,País Vasco
Chalet,Calle Marqués de Zuya,2185000,4,550,Vizcaya,País Vasco
Chalet,Mundaka,2175000,7,281,Vizcaya,País Vasco
Chalet,Juan Vallejo,2150000,6,1900,Vizcaya,País Vasco
Chalet,Calle Juan Vallejo Real de Asua,2150000,6,45,Vizcaya,País Vasco
Duplex,barrio Centro,2100000,5,198,Vizcaya,País Vasco
Duplex,barrio Centro,2100000,5,168,Vizcaya,País Vasco
Chalet,Calle Ermitazpi 8,2100000,7,3940,Vizcaya,País Vasco
Chalet,Neguri,2000000,7,292,Vizcaya,País Vasco
Chalet,Neguri,1990000,6,430,Vizcaya,País Vasco
Piso,Carretera Asua la avanzada 1,1980000,4,30,Vizcaya,País Vasco
Casa Rural,unmaed road s/n,1980000,18,440,Vizcaya,País Vasco
Piso,Algortako Etorbidea,1980000,4,300,Vizcaya,País Vasco
Chalet,Loiu,1950000,6,10000,Vizcaya,País Vasco
Chalet,Neguri,1950000,6,162,Vizcaya,País Vasco
