Tipo de inmueble,Dirección,Precio,Habitaciones,m2,Provincia,C. Autónoma
Piso,Jacinto Benavente,203000,3,79,Álava,País Vasco
Chalet,Calle Felix Alfaro Fournier,435000,4,134,Álava,País Vasco
Ático,Errege Atea,260000,2,10,Álava,País Vasco
Piso,Calle Reyes de Navarra,174000,3,69,Álava,País Vasco
Piso,Calle Cauce de los Molinos,190000,3,72,Álava,País Vasco
Piso,Calle Damaso Alonso,279000,3,72,Álava,País Vasco
Piso,Calle Brasil,149500,3,69,Álava,País Vasco
Piso,Calle Foru,415000,5,133,Álava,País Vasco
Piso,Avenida Santiago,295000,3,111,Álava,País Vasco
Piso,Calle Arana,200000,2,68,Álava,País Vasco
Piso,Calle Valladolid,195000,3,78,Álava,País Vasco
Piso,Calle Manuel Iradier,195000,3,68,Álava,País Vasco
Piso,Plaza Cataluña,275000,3,90,Álava,País Vasco
Piso,Calle de los Herrán,259000,3,84,Álava,País Vasco
Piso,Calle Adriano VI,498000,5,143,Álava,País Vasco
Piso,Calle Paula Montal,240000,5,107,Álava,País Vasco
Piso,Calle Jacinto Benavente,235000,3,78,Álava,País Vasco
Piso,Calle Cola y Goiti,235000,3,102,Álava,País Vasco
Piso,Calle Pamplona-Iruñea,260000,2,66,Álava,País Vasco
Piso,Calle Urbina,265000,4,112,Álava,País Vasco
Piso,Calle Independentzia,370000,4,130,Álava,País Vasco
Chalet,Zumakadi Ibilbidea,640000,5,181,Álava,País Vasco
Chalet,Caserio la chopera aldea 2B s/n,495000,4,2400,Álava,País Vasco
Chalet,Retana entitatea 27,570000,2,45,Álava,País Vasco
Chalet,Caicedo-Sopeña Entitatea 26 A,360000,4,150,Álava,País Vasco
Chalet,Caicedo-Sopeña Entitatea 26 A,360000,4,150,Álava,País Vasco
Piso,Calle Sansomendi,187000,3,96,Álava,País Vasco
Piso,Calle Gorbea,269000,3,95,Álava,País Vasco
Piso,Calle Florida,649000,5,3,Álava,País Vasco
Chalet,Junguitu,599000,5,231,Álava,País Vasco
Duplex,Postas,415000,4,140,Álava,País Vasco
Piso,San Antonio,280000,2,71,Álava,País Vasco
Chalet,Barrio Txoisa,850000,5,17,Álava,País Vasco
Piso,Avenida gasteiz,485000,3,10,Álava,País Vasco
Piso,Calle Gabriel Aresti,250000,3,8308,Álava,País Vasco
Chalet,Calle Rio Iturrizabaleta,430000,3,92,Álava,País Vasco
Piso,Calle Las Neveras,189000,2,55,Álava,País Vasco
Piso,Calle Labastida,199800,3,2,Álava,País Vasco
Chalet,Calle Mendizabala,825000,4,242,Álava,País Vasco
Piso,Plaza General Loma,260000,2,62,Álava,País Vasco
Piso,Calle San Viator,225000,4,85,Álava,País Vasco
Piso,Calle Herri-Gain,110000,3,109,Álava,País Vasco
Piso,Calle Gabriela Mistral,189000,2,87,Álava,País Vasco
Piso,Avenida Gasteiz,468000,3,95,Álava,País Vasco
Piso,Calle Urbina,315000,3,118,Álava,País Vasco
Chalet,Calle Saigoba,320000,3,82,Álava,País Vasco
Piso,Calle Florida,485000,4,155,Álava,País Vasco
Piso,Nazio Batuen Hiribidea,179000,3,90,Álava,País Vasco
Piso,Calle Baroa,240000,3,89,Álava,País Vasco
Piso,Calle Zerkabarren,330000,4,151,Álava,País Vasco
Piso,Calle Reyes Católicos,170000,3,44,Álava,País Vasco
Piso,Calle Olagibel,450000,3,106,Álava,País Vasco
Piso,Calle Voluntaria Entrega,220000,3,90,Álava,País Vasco
Piso,Zabalgana - Ariznabarra,172000,2,62,Álava,País Vasco
Piso,Calle Lapuebla de Labarca,339000,3,119,Álava,País Vasco
Piso,Lakua,195000,2,78,Álava,País Vasco
Chalet,Alegria-Dulantzi,430000,4,265,Álava,País Vasco
Piso,Calle Cuadrilla de Salvatierra-Agurain,135900,3,62,Álava,País Vasco
Piso,Jose Pablo Ulibarri Xenda,185000,3,79,Álava,País Vasco
Casa Rural,FORONDA s/n,320000,3,1070,Álava,País Vasco
