C. Autonoma,Provincia,Tipo de inmueble,Direccion,m2,Habitaciones,Precio
Castilla y Leon,Zamora,Piso,Calle Astorga 6,99.0,3,49000
Castilla y Leon,Zamora,Chalet,Calle de San Anton Viejo 33,60.0,3,95000
Castilla y Leon,Zamora,Chalet,Calle Fuente 12,1400.0,4,70000
Castilla y Leon,Zamora,Piso,Calle Santa Clara 79,97.0,3,120000
Castilla y Leon,Zamora,Piso,Calle Consejo de Europa 2,106.0,3,105000
Castilla y Leon,Zamora,Atico,Avenida el Ferial 15,99.0,3,90000
Castilla y Leon,Zamora,Duplex,Calle de los Herreros Benavente 2,114.0,3,110000
Castilla y Leon,Zamora,Chalet,Calle Viudas 21,466.0,5,25000
Castilla y Leon,Zamora,Piso,Calle de Francos 22,90.0,3,99000
Castilla y Leon,Zamora,Duplex,Calle de Cabanales 55,63.0,2,99000
Castilla y Leon,Zamora,Chalet,Calle Lisboa 30,156.0,4,28000
Castilla y Leon,Zamora,Duplex,DON RAMIRO 5,0.0,3,115000
Castilla y Leon,Zamora,Casa Rural,Calle de Emilio Fernandez 1,227.0,6,21000
Castilla y Leon,Zamora,Chalet,Calle Agustin Vazquez 2,129.0,4,135000
Castilla y Leon,Zamora,Chalet,Calle el Cristo 8,916.0,3,30000
Castilla y Leon,Zamora,Chalet,Carretera Barrio 43 B,90.0,3,135000
Castilla y Leon,Zamora,Piso,Ciudad de Toro 7,97.0,3,119000
Castilla y Leon,Zamora,Chalet,Calle tras la Iglesia 7,167.0,5,39000
Castilla y Leon,Zamora,Chalet,Calle Erguida 15,200.0,3,20000
Castilla y Leon,Zamora,Duplex,Avenida el Ferial 13,167.0,5,129500
Castilla y Leon,Zamora,Chalet,Calle Santa Catalina 19,35.0,2,75000
Castilla y Leon,Zamora,Chalet,Calle Jose Antonio 19,197.0,5,25000
Castilla y Leon,Zamora,Chalet,Calle Merida 43,133.0,4,149000
Castilla y Leon,Zamora,Chalet,Cuesta del Hospital 38,50.0,4,185000
Castilla y Leon,Zamora,Chalet,Calle la Rua 3,10.0,7,130000
Castilla y Leon,Zamora,Chalet,Calle de la Fortaleza 44,122.0,4,39500
Castilla y Leon,Zamora,Piso,Cuesta del Portillo de San Andres 2,97.0,3,55000
Castilla y Leon,Zamora,Chalet,Calle el Castillo 10,131.0,4,60000
Castilla y Leon,Zamora,Chalet,santa catalina 41,133.0,3,80000
Castilla y Leon,Zamora,Atico,Plaza DE TOROS 15,85.0,3,62842
Castilla y Leon,Zamora,Chalet,Camino Segadal,90.0,3,170000
Castilla y Leon,Zamora,Chalet,Calle Luna 2 -10,146.0,4,180000
Castilla y Leon,Zamora,Atico,Plaza DE TOROS 15,85.0,3,58000
Castilla y Leon,Zamora,Piso,Calle San Carlos Borromeo 2,88.0,3,90000
Castilla y Leon,Zamora,Atico,Plaza de Toros 17,84.0,3,58500
Castilla y Leon,Zamora,Atico,Avenida el Ferial 54,93.0,3,73500
Castilla y Leon,Zamora,Piso,ASTORGA 4,30.0,3,73250
Castilla y Leon,Zamora,Chalet,Cuesta de Santo Domingo 3,22.0,4,89000
Castilla y Leon,Zamora,Chalet,Calle Taller,75.0,2,20500
Castilla y Leon,Zamora,Piso,Avenida Luis Moran 48,79.0,2,76000
Castilla y Leon,Zamora,Piso,Plaza SAN MARTIN 23,120.0,4,69000
Castilla y Leon,Zamora,Atico,Plaza DE TOROS 15,85.0,3,62842
Castilla y Leon,Zamora,Atico,Plaza DE TOROS 15,85.0,3,58000
Castilla y Leon,Zamora,Atico,Plaza Santa Clara 3,110.0,3,69000
Castilla y Leon,Zamora,Atico,LA VINA 2,34.0,3,165000
Castilla y Leon,Zamora,Chalet,Plaza Generalisino 10,755.0,3,129000
Castilla y Leon,Zamora,Atico,Avenida el Ferial 54,115.0,3,73500
Castilla y Leon,Zamora,Atico,Plaza de Toros 17,84.0,3,58500
Castilla y Leon,Zamora,Chalet,Camino Segadal,111.0,3,170000
Castilla y Leon,Zamora,Chalet,APEADERO 7,359.0,4,400000
Castilla y Leon,Zamora,Piso,Avenida LEON 15,149.0,4,82000
Castilla y Leon,Zamora,Piso,Calle Pena Trevinca 20,143.0,4,90000
Castilla y Leon,Zamora,Piso,Avenida de las Tres Cruces 5,140.0,4,199900
Castilla y Leon,Zamora,Piso,Calle de Fermoselle 126,71.0,2,74000
Castilla y Leon,Zamora,Piso,Avenida MARAGATOS 19 -21,136.0,5,108000
Castilla y Leon,Zamora,Piso,Calle de San Anton Viejo 23,102.0,3,87500
Castilla y Leon,Zamora,Chalet,Calle Real 32,72.0,2,40000
Castilla y Leon,Zamora,Piso,Avenida EL FERIAL 24,45.0,3,105000
Castilla y Leon,Zamora,Casa Rural,Morales s/n,140.0,4,109000
Castilla y Leon,Zamora,Piso,Villalpando 34,22.0,3,160000
Castilla y Leon,Zamora,Chalet,Oriente,88.0,3,39000
Castilla y Leon,Zamora,Chalet,carrizos 5,40.0,8,140000
Castilla y Leon,Zamora,Casa Rural,Diseminado Diseminados,3.946,3,200000
Castilla y Leon,Zamora,Piso,Calle Amargura,171.0,4,325000
Castilla y Leon,Zamora,Casa Rural,Calle zamora 42,334.0,10,350000
Castilla y Leon,Zamora,Chalet,Diseminado Ribadelago fran 1,7.177,15,480000
Castilla y Leon,Zamora,Chalet,Leon Felipe,500.0,5,360000
Castilla y Leon,Zamora,Piso,Doctor Fleming,119.0,3,80000
Castilla y Leon,Zamora,Duplex,Calle de la hiniesta,115.0,3,110000
Castilla y Leon,Zamora,Piso,Calle Parada del Molino,42.0,1,75000
Castilla y Leon,Zamora,Chalet,Toro s/n,7712.0,2,183900
Castilla y Leon,Zamora,Chalet,Mayalde,90.0,3,75000
Castilla y Leon,Zamora,Casa Rural,Travesia santiago,437.0,8,127000
Castilla y Leon,Zamora,Piso,Cuesta de la morana,156.0,4,75000
Castilla y Leon,Zamora,Chalet,Calle Lotero,602.0,9,180000
Castilla y Leon,Zamora,Piso,Avenida de Portugal 30,24.0,3,170000
Castilla y Leon,Zamora,Piso,Calle Argentina,95.0,3,63000
Castilla y Leon,Zamora,Chalet,Calle Lotero,565.0,9,180000
Castilla y Leon,Zamora,Piso,Los Bloques,91.0,3,65000
Castilla y Leon,Zamora,Casa Rural,Calle Panera,99.0,3,145000
Castilla y Leon,Zamora,Piso,Calle Valderrey,97.0,1,100000
Castilla y Leon,Zamora,Casa Rural,Calle Plantio,92.0,3,85000
Castilla y Leon,Zamora,Chalet,Real,690.0,3,32500
Castilla y Leon,Zamora,Atico,Calle de Churruca 50,300.0,3,187500
Castilla y Leon,Zamora,Piso,Avenida del Cardenal Cisneros 20,165.0,3,145000
Castilla y Leon,Zamora,Atico,Calle Churruca 50,300.0,3,187500
Castilla y Leon,Zamora,Piso,Travesia Iglesia 8,141.0,4,51000
Castilla y Leon,Zamora,Piso,Churruca 50,55.0,2,126500
Castilla y Leon,Zamora,Piso,Calle Bolas 6,110.0,3,91000
Castilla y Leon,Zamora,Piso,Calle Amargura 8,171.0,4,325000
Castilla y Leon,Zamora,Chalet,Calle Iglesia 2,63.0,2,53000
Castilla y Leon,Zamora,Piso,Avenida del Cardenal Cisneros 20,165.0,3,145000
Castilla y Leon,Zamora,Piso,Churruca 50,13.0,2,125500
Castilla y Leon,Zamora,Atico,Calle de Cabanales 55,61.0,2,99000
Castilla y Leon,Zamora,Piso,Regimiento de Toledo 25,138.0,4,167900
Castilla y Leon,Zamora,Piso,Calle Pena Trevinca 12,153.0,4,87000
Castilla y Leon,Zamora,Piso,Barrio Pinilla,86.0,3,130000
Castilla y Leon,Zamora,Piso,Plaza de la Marina,146.0,5,340000
Castilla y Leon,Zamora,Piso,Calle Consejo de Europa 2,81.0,3,105000
Castilla y Leon,Zamora,Piso,Ronda de Madrid 19,103.0,3,65500
Castilla y Leon,Zamora,Piso,Canaveral s/n,81.0,3,105000
Castilla y Leon,Zamora,Chalet,Manganeses de la Polvorosa,176.0,5,45000
Castilla y Leon,Zamora,Casa Rural,Calle Teso 65,75.0,3,100000
Castilla y Leon,Zamora,Casa Rural,Calle Moral,99.0,3,190000
Castilla y Leon,Zamora,Piso,Calle Rio Ebro 12,86.0,3,28000
Castilla y Leon,Zamora,Chalet,Calle Santa Catalina 21,139.0,4,65000
Castilla y Leon,Zamora,Casa Rural,Madridanos,120.0,4,55000
Castilla y Leon,Zamora,Chalet,Calle General Franco 19,175.0,5,17500
Castilla y Leon,Zamora,Piso,Calle Cortinas San Miguel,107.0,3,260000
Castilla y Leon,Zamora,Piso,Avenida de Victor Gallego 13,107.0,3,81000
Castilla y Leon,Zamora,Piso,Benavente,287.0,7,260000
Castilla y Leon,Zamora,Piso,Canada de la Vizana 20,149.0,4,70000
Castilla y Leon,Zamora,Piso,La Candelaria,17.0,3,164900
Castilla y Leon,Zamora,Piso,Calle de la Libertad 36,118.0,3,55000
Castilla y Leon,Zamora,Piso,Calle Amargura 17,156.0,4,95000
Castilla y Leon,Zamora,Piso,Calle de los Lagares 3,96.0,3,145000
Castilla y Leon,Zamora,Chalet,Camino Vereda 5,126.0,4,59000
Castilla y Leon,Zamora,Chalet,Avenida Constitucion 5,158.0,4,95000
Castilla y Leon,Zamora,Atico,Avenida Donantes de Sangre 36,116.0,3,84000
Castilla y Leon,Zamora,Chalet,Calle de Olleros 66,2500.0,7,68000
Castilla y Leon,Zamora,Chalet,Calle Montamarta,133.0,3,135000
Castilla y Leon,Zamora,Chalet,Calle Villaferruena 11,163.0,6,95000
Castilla y Leon,Zamora,Piso,Avenida Libertad 2 -16,116.0,3,58000
Castilla y Leon,Zamora,Piso,Calle de Blas de Otero,88.0,3,79000
Castilla y Leon,Zamora,Casa Rural,PEDRO TORO 118,863.0,3,80000
Castilla y Leon,Zamora,Chalet,Calle el Cano 4,176.0,3,55000
Castilla y Leon,Zamora,Piso,Ronda DE MADRID 34,84.0,3,60000
Castilla y Leon,Zamora,Chalet,Calle Subida de Cantabranas,30.0,3,119000
Castilla y Leon,Zamora,Chalet,Calle Segovia 14,199.0,5,183000
Castilla y Leon,Zamora,Chalet,Goya s/n,189.0,5,235000
Castilla y Leon,Zamora,Piso,Calle Doctor Villalobos,20.0,3,119500
Castilla y Leon,Zamora,Piso,Calle Rosaleda 1,80.0,3,100000
Castilla y Leon,Zamora,Chalet,Calle Zamora,200.0,5,195000
Castilla y Leon,Zamora,Piso,Avenida de las Tres Cruces,27.0,4,310000
Castilla y Leon,Zamora,Chalet,Costanilla de Valladolid 2,87.0,3,35000
Castilla y Leon,Zamora,Chalet,Ronda de la Florida 20,107.0,3,65000
Castilla y Leon,Zamora,Chalet,Calle soto s/n,15.0,5,118000
Castilla y Leon,Zamora,Chalet,Ronda de la Florida 16,107.0,3,59000
Castilla y Leon,Zamora,Piso,Avenida de las Tres Cruces,14.0,5,335000
Castilla y Leon,Zamora,Piso,Herreros,89.0,3,120000
Castilla y Leon,Zamora,Chalet,Carretera Carrascal,3.9,3,200000
Castilla y Leon,Zamora,Piso,Travesia san martin 1,74.0,2,115000
Castilla y Leon,Zamora,Casa Rural,Calle El Barco 17,120.0,3,60000
Castilla y Leon,Zamora,Chalet,Calle la Barca 22,77.0,2,69000
Castilla y Leon,Zamora,Chalet,Carracedo 34,84.0,3,29900
Castilla y Leon,Zamora,Chalet,Calle el Donante,180.0,5,69000
Castilla y Leon,Zamora,Piso,Calle Regimiento de Toledo 8,98.0,3,99000
Castilla y Leon,Zamora,Chalet,Villaralbo,113.0,3,125000
Castilla y Leon,Zamora,Piso,Avenida Libertad 3,88.0,3,42000
Castilla y Leon,Zamora,Piso,Calle de los Herreros 63,80.0,2,68000
Castilla y Leon,Zamora,Casa Rural,Muga de Sayago,202.0,3,67000
Castilla y Leon,Zamora,Piso,Plaza del Grano 11,104.0,3,40000
Castilla y Leon,Zamora,Piso,Calle Astorga 2,95.0,3,78000
Castilla y Leon,Zamora,Piso,Calle Miguel Delibes 2,117.0,3,52000
Castilla y Leon,Zamora,Piso,Avenida Maragatos 12,98.0,3,100000
Castilla y Leon,Zamora,Piso,Calle de los Herreros 41,123.0,4,85000
Castilla y Leon,Zamora,Atico,Avenida Federico Silva 13,108.0,3,79000
Castilla y Leon,Zamora,Piso,Calle de la Sinoga 6,66.0,2,68000
Castilla y Leon,Zamora,Piso,Calle de Zamora 7,196.0,5,70000
Castilla y Leon,Zamora,Piso,Calle Navia 10,142.0,4,65000
Castilla y Leon,Zamora,Piso,Calle Astorga 11,80.0,3,73000
Castilla y Leon,Zamora,Piso,Calle de las Eras 39,81.0,3,38000
Castilla y Leon,Zamora,Piso,Via del Canal 63,92.0,3,48000
Castilla y Leon,Zamora,Piso,Avenida de Sor Asuncion Romo 5,104.0,3,69000
Castilla y Leon,Zamora,Chalet,Avenida Maragatos 36,84.0,3,120000
Castilla y Leon,Zamora,Piso,Calle Miguel Delibes 2,88.0,3,52000
Castilla y Leon,Zamora,Casa Rural,Muga de Sayago,202.0,3,67000
Castilla y Leon,Zamora,Piso,Avenida de Sor Asuncion Romo 28,108.0,3,56000
Castilla y Leon,Zamora,Piso,Calle Astorga 2,85.0,3,78000
Castilla y Leon,Zamora,Piso,Plaza del Grano 11,97.0,3,40000
Castilla y Leon,Zamora,Piso,Avenida Leon 8,118.0,3,47000
Castilla y Leon,Zamora,Piso,Plaza Santa Clara 3,91.0,3,58000
Castilla y Leon,Zamora,Piso,Avenida Libertad 3,91.0,3,42000
Castilla y Leon,Zamora,Chalet,Calle Barca 16,122.0,4,45000
Castilla y Leon,Zamora,Piso,Calle de los Herreros 63,75.0,2,68000
Castilla y Leon,Zamora,Piso,Calle de Francos 31,128.0,4,74000
Castilla y Leon,Zamora,Piso,Calle Santa Rafaela 2,147.0,4,43000
Castilla y Leon,Zamora,Piso,Calle de los Aguadores 10,99.0,3,50000
Castilla y Leon,Zamora,Piso,Calle de los Herreros 63,92.0,3,65000
Castilla y Leon,Zamora,Piso,Canada de la Vizana 90,93.0,3,67000
Castilla y Leon,Zamora,Piso,Calle Salamanca 1,104.0,3,79900
Castilla y Leon,Zamora,Piso,Avenida Maragatos 4,146.0,4,36000
Castilla y Leon,Zamora,Chalet,Calle Zamora s/n,188.0,5,199000
Castilla y Leon,Zamora,Piso,Costanilla de Valladolid 1,163.0,5,75000
Castilla y Leon,Zamora,Atico,Calle Doctor Francisco Villar 2,70.0,4,125000
Castilla y Leon,Zamora,Piso,Calle Sanabria 8,74.0,2,83000
Castilla y Leon,Zamora,Casa Rural,BALAS 42,155.0,3,59000
Castilla y Leon,Zamora,Piso,Calle Astorga 6,110.0,3,45000
Castilla y Leon,Zamora,Casa Rural,Flor,129.0,4,30000
Castilla y Leon,Zamora,Piso,Avenida el Ferial 159,80.0,3,50000
Castilla y Leon,Zamora,Piso,Avenida Libertad 12,111.0,3,65000
Castilla y Leon,Zamora,Piso,Calle Claudio Rodriguez 16,152.0,4,160000
Castilla y Leon,Zamora,Piso,Avenida EL FERIAL 42,116.0,4,65000
Castilla y Leon,Zamora,Piso,Avenida Canada de la Vizana 20,92.0,3,60000
Castilla y Leon,Zamora,Chalet,Calle San Anton 27,159.0,4,100000
Castilla y Leon,Zamora,Piso,Avenida Federico Silva 34,110.0,3,23500
Castilla y Leon,Zamora,Piso,Calle la Baneza 12,128.0,4,75000
Castilla y Leon,Zamora,Chalet,Calle Luna 3,125.0,4,180000
Castilla y Leon,Zamora,Piso,Ronda de la Florida,119.0,4,50000
Castilla y Leon,Zamora,Casa Rural,Calle Tabara,200.0,4,25000
Castilla y Leon,Zamora,Piso,Avenida Libertad 12,105.0,3,65000
Castilla y Leon,Zamora,Piso,De Renueva 5,63.0,2,60000
Castilla y Leon,Zamora,Piso,Calle Sanabria 8,69.0,2,83000
Castilla y Leon,Zamora,Piso,Calle Florian Docampo,160.0,4,189612
Castilla y Leon,Zamora,Piso,Calle Cartagena de Indias 30,75.0,2,63000
Castilla y Leon,Zamora,Chalet,Calle Ancha 34  - 36,175.0,5,40000
Castilla y Leon,Zamora,Chalet,Calle San Anton 27,144.0,4,100000
Castilla y Leon,Zamora,Piso,Calle Astorga 6,103.0,3,45000
Castilla y Leon,Zamora,Piso,portillo san andres 28,94.0,3,108000
Castilla y Leon,Zamora,Piso,PORTILLO DE SAN ANDRES 28,104.0,3,99900
Castilla y Leon,Zamora,Piso,Avenida Libertad 2 -16,90.0,3,58000
Castilla y Leon,Zamora,Piso,Avenida Canada de la Vizana 20,114.0,3,60000
Castilla y Leon,Zamora,Piso,Avenida Libertad 15,92.0,3,57500
Castilla y Leon,Zamora,Piso,Calle Dominicas 2,119.0,3,58000
Castilla y Leon,Zamora,Piso,Calle Claudio Rodriguez 16,156.0,4,160000
Castilla y Leon,Zamora,Piso,Plaza SANTA CLARA 9,40.0,3,78000
Castilla y Leon,Zamora,Piso,Canada de la Vizana 26,73.0,2,72000
Castilla y Leon,Zamora,Piso,Calle Fuentelarreina,68.0,2,135000
Castilla y Leon,Zamora,Chalet,Avenida el Ferial 98,149.0,4,185000
Castilla y Leon,Zamora,Casa Rural,Fragua 11,188.0,5,45000
Castilla y Leon,Zamora,Piso,Avenida Maragatos Benavente 50,129.0,4,59500
Castilla y Leon,Zamora,Atico,Avenida el Ferial 81,70.0,2,118000
Castilla y Leon,Zamora,Chalet,Calle de Nuestra Senora de las Mercedes,155.0,4,60000
Castilla y Leon,Zamora,Piso,Avenida Leon 41,10.0,3,65000
Castilla y Leon,Zamora,Piso,Calle Benavente,74.0,2,45000
Castilla y Leon,Zamora,Chalet,Calle la Iglesia 4,124.0,4,42000
Castilla y Leon,Zamora,Piso,Ronda de la Florida 8 -28,101.0,3,90000
Castilla y Leon,Zamora,Piso,Avenida el Ferial 159,120.0,3,50000
Castilla y Leon,Zamora,Casa Rural,BALAS 42,155.0,3,59000
Castilla y Leon,Zamora,Piso,Plaza del Grano 11,146.0,4,40000
Castilla y Leon,Zamora,Piso,Calle de las Eras 32,153.0,4,100000
Castilla y Leon,Zamora,Piso,Calle de los Carros 49,114.0,3,79000
Castilla y Leon,Zamora,Piso,Pedro Valdivia 2,40.0,3,109900
Castilla y Leon,Zamora,Chalet,Calle Estrella 3,182.0,5,70000
Castilla y Leon,Zamora,Piso,LAGARES 16,28.0,4,90000
Castilla y Leon,Zamora,Piso,san vicente 5,92.0,3,110000
Castilla y Leon,Zamora,Chalet,Calle Estrella 3,164.0,5,70000
Castilla y Leon,Zamora,Piso,Avenida EL FERIAL 42,116.0,4,65000
Castilla y Leon,Zamora,Piso,Avenida LUIS MORAN 4,4.0,2,52000
Castilla y Leon,Zamora,Piso,N-630 41,72.0,4,150000
Castilla y Leon,Zamora,Piso,Avenida Maragatos,116.0,3,48200
Castilla y Leon,Zamora,Chalet,SANTA ROSA 15,219.0,3,120000
Castilla y Leon,Zamora,Piso,Calle la Mota 16,100.0,3,135000
Castilla y Leon,Zamora,Chalet,ZAMORA 8,172.0,5,71000
Castilla y Leon,Zamora,Piso,Avenida el ferial 126,225.0,5,100000
Castilla y Leon,Zamora,Piso,MATADERO 5,126.0,4,142000
Castilla y Leon,Zamora,Chalet,BARRERO s/n,1345.0,4,195000
Castilla y Leon,Zamora,Piso,SANTA CLARA 87,196.0,4,89900
Castilla y Leon,Zamora,Casa Rural,Calle Sombrero 4,90.0,5,75000
Castilla y Leon,Zamora,Piso,CARBAJES 7,104.0,3,85000
Castilla y Leon,Zamora,Chalet,pravia 23,35.0,4,126000
Castilla y Leon,Zamora,Chalet,San Gregorio 10,1345.0,4,195000
Castilla y Leon,Zamora,Chalet,ZA-114 1,88.0,3,129000
Castilla y Leon,Zamora,Piso,CANADA LA VIZANA 20,120.0,3,75000
Castilla y Leon,Zamora,Chalet,pinar 1,122.0,4,120000
Castilla y Leon,Zamora,Casa Rural,POL 501 PARCELA 5698 AL TAMARAL s/n,1.539,2,130000
Castilla y Leon,Zamora,Casa Rural,Calle Barrio Triana 15,578.0,14,270000
Castilla y Leon,Zamora,Chalet,Benavente,210.0,4,59000
Castilla y Leon,Zamora,Piso,Calle de Santa Clara 8,123.0,4,240000
Castilla y Leon,Zamora,Piso,LIBERTAD 15,97.0,3,59000
Castilla y Leon,Zamora,Chalet,Ronda de la Florida 19,121.0,4,110000
Castilla y Leon,Zamora,Chalet,Carretera 7,298.0,7,149000
Castilla y Leon,Zamora,Piso,Plaza SANTA MARIA 2,151.0,3,80000
Castilla y Leon,Zamora,Chalet,Tamaral 19,1.865,3,135000
Castilla y Leon,Zamora,Piso,Avenida LEON 6,93.0,3,40000
Castilla y Leon,Zamora,Chalet,SANTO DOMINGO 10,220.0,4,186000
Castilla y Leon,Zamora,Chalet,Calle D. Andres Cid 5,150.0,4,170000
Castilla y Leon,Zamora,Casa Rural,N-630 281,7.18,5,450000
Castilla y Leon,Zamora,Piso,ZARCERO 1,94.0,3,68000
Castilla y Leon,Zamora,Atico,Avenida EL FERIAL 15,95.6,3,90000
Castilla y Leon,Zamora,Piso,Pasaje SAN NICOLAS 6,119.0,3,90000
Castilla y Leon,Zamora,Piso,LAGARES 16,34.0,4,119000
Castilla y Leon,Zamora,Casa Rural,Olmillos de Castro 4,50.0,6,49000
Castilla y Leon,Zamora,Piso,Avenida EL FERIAL 72,108.0,4,93000
Castilla y Leon,Zamora,Chalet,San Gregorio 10,1345.0,4,195000
Castilla y Leon,Zamora,Chalet,Carretera 7,283.0,7,149000
Castilla y Leon,Zamora,Casa Rural,Carretera Almaraz,50.0,4,190000
