Tipo de inmueble,Dirección,Precio,Habitaciones,m2
Piso,Calle de las Calzadas,134900,3,68
Casa Rural,Carretera Lezana 52 A,1900000,5,160
Piso,moratin 17  bis,135000,3,120
Piso,Avenida General Gutierrez 1,165000,4,131
Piso,Travesía san isidro 1,128000,2,69
Chalet,Calle Consistorial,175000,3,14
Piso,Calle Carrequemada 29,185000,3,80
Piso,Villarcayo de Merindad de Castilla la Vieja,54000,2,72
Chalet,Rubena,105000,2,79
Piso,barrio Gamonal - San Bruno - G9,125000,3,40
Piso,Avenida Reyes Católicos,165000,3,101
Piso,barrio Santa Teresa-San Pedro Cardeña,140000,1,46
Piso,Calle Diego de Siloé,115000,1,59
Piso,Plaza Lago Sanabria,145000,3,116
Chalet,Avenida PALENCIA 25,649000,5,186
Piso,barrio El Carmen-Barrio Gimeno,92000,2,75
Piso,Calle Carnicerías,196000,2,61
Piso,Avenida República Argentina,225000,3,92
Duplex,Calle Victoria Balfe,249000,4,113
Piso,Plantío - Alcampo,123000,3,95
Piso,Calle de la Igualdad,119900,3,106
Piso,Calle Molino Salinas,89900,3,103
Piso,Avenida El cid 1,75000,3,97
Chalet,Vía,344000,4,139
Piso,barrio San Julián-Bº de Cortes,110000,2,68
Piso,barrio Gamonal - San Bruno - G9,92000,3,105
Piso,Avenida Cantabria,185000,3,99
Piso,Avenida de los Derechos Humanos,115000,3,113
Casa Rural,Merindad de Cuesta-Urria,435000,5,162
Chalet,Calle Sancho Ortiz de Matienzo s/n,190000,5,183
Duplex,El Parral,133000,2,75
Chalet,Ibeas de Juarros,145000,3,18
Piso,Centro,140000,3,15
Piso,Calle de Sevilla,88000,3,83
Piso,Calle Alejandro Yagüe,88000,3,93
Piso,Calle Sagrada Familia,129000,3,116
Piso,Avenida Reyes Católicos,158000,3,119
Piso,Plaza 2 de mayo,180000,3,87
Piso,barrio Reyes Católicos,361000,4,124
Piso,Calle Huelva,210000,4,129
Chalet,Arcos,155000,3,30
Chalet,Camino Burgos,210000,4,136
Piso,Anduva - Miranda sur,155000,2,64
Chalet,Crucero - Aquende,115000,5,172
Chalet,Calle Beato Antonio Arribas,210000,3,16
Piso,barrio Los Vadillos - R Sanitaria - Pozanos,130000,2,64
Chalet,Calle lago,189000,3,96
Piso,Avenida palencia,180000,3,113
Piso,Calle San Pedro y San Felices,120000,2,65
Piso,Plaza Luis Martín Santos,179000,3,86
Piso,Calle Esteban Sáez Alvarado,235000,3,105
Chalet,Calle 14 DE ABRIL,248900,4,165
Piso,Calle Benito Pérez Galdós,245000,3,111
Chalet,Burgos,188000,3,87
Duplex,BERNARDINO OBREGON,279000,3,86
Chalet,Calle San Juan s/n,95000,4,400
Casa Rural,loma de montija,510000,6,240
Casa Rural,Población de Arreba 6,30000,3,240
Piso,Avenida de Valencia del Cid,120000,3,97
Casa Rural,lain calvo,110000,5,174
Casa Rural,Calle Diseminados,325000,4,155
Piso,Calle Llana de Afuera,135900,2,68
Piso,Illera,236000,3,98
Piso,Avenida de la Constitución Española,117000,3,86
Piso,Calle Esteban Sáez Alvarado,240000,3,105
Chalet,Calle el Portón de los Guindales,590000,6,221
Estudio,Calle Maestro Quesada s/n,79000,0,24
Piso,Calle Santa Clara,123000,2,65
Chalet,Calle la Sementera,165000,4,139
Piso,Carretera de Arcos,80000,3,86
Chalet,Carretera San Pelayo s/n,350000,4,144
Piso,Calle Padre Flórez,140000,3,114
Chalet,LA PUEBLA DE ARGANZóN,285000,3,127
Piso,Calle San Cosme,117000,2,60
Chalet,Doroño-2,295000,3,153
Chalet,Calle Mayor,112000,3,113
Piso,Lovaina,240000,3,100
Piso,Calle San Antonio,110000,4,145
Piso,Plaza San Bruno,102000,3,83
Ático,Calle Lope de Vega,141500,3,110
Piso,Avenida de los Derechos Humanos,74000,3,97
Piso,Calle Alfareros,84000,3,87
Piso,Calle de Ávila,90000,3,92
Chalet,Calle Juan Manuel Durán,125000,2,61
Piso,Calle Briviesca,135000,2,64
Piso,Concepcion,99500,2,67
Piso,Avenida Vena,270000,5,198
Piso,Avenida de Valencia del Cid,120000,3,118
Piso,Avenida Alcalde Valentín Niño,165000,2,66
Piso,Calle Santa Águeda,410000,5,162
Piso,Calle Federico Martínez Varea,130000,3,85
Piso,Calle Fuenteovejuna  20,230000,3,103
Piso,Calle Pdte Adolfo Suárez s/n,163500,2,60
Chalet,Condado de Treviño,352000,7,30
Piso,Calle Fuenteovejuna  20,120000,1,103
Piso,Calle Lovaina,205000,3,105
Piso,Calle Fuenteovejuna  20,240000,3,103
Piso,Calle Pdte Adolfo Suárez s/n,195300,3,83
Piso,Calle Esteban Sáez Alvarado,235000,3,104
Chalet,Diseminado,500000,3,2300
Piso,Avenida Vena,250000,3,127
Chalet,Calle Mirador de Entrambasaguas,325000,4,843
Piso,Calle Antonio García Martín s/n,158000,2,69
Piso,Calle Antonio García Martín s/n,137000,1,56
Piso,Calle Antonio García Martín s/n,167200,2,74
Chalet,Calle Miguel de Cervantes,150000,4,166
Piso,Calle Gonzalo Gustios,120000,3,108
Piso,Calle Gonzalo Gustios,61000,1,52
Piso,Calle Doctor Jaime de Santa Maria,169500,3,84
Piso,Calle Gonzalo Gustios,106000,2,77
Chalet,Carretera San Millán,150000,0,1360
Piso,Calle de los Alfareros,97000,2,73
Casa Rural,san vicente,79000,5,174
Piso,Calle Labradores,65000,3,115
Piso,Plaza de España,350000,5,30
Piso,Calle Batalla Navas de Tolosa,139000,2,69
Piso,Calle Navarrete,184500,3,85
Piso,Calle Concepción,315000,5,187
Piso,Calle VIRGEN DEL MANZANO,256000,2,78
Piso,Avenida la paz,280000,2,20
Piso,Calle Francisco Sarmiento,115000,4,126
Piso,Plaza Mayor,120000,3,119
Piso,Calle Haití,179500,4,120
Piso,Calle Padre Flórez,178000,3,100
Piso,Camino de Villalonquéjar,115000,2,60
Piso,Calle de las Calzadas,135000,2,74
Piso,Calle Padre Aramburu,117000,2,77
Piso,Calle Francisco Sarmiento,110000,2,70
Piso,Calle Madrid,350000,4,148
Piso,Avenida de la Paz,280000,4,123
Piso,Calle san francisco,110000,3,93
Piso,Calle Fuente Lázaro,79800,2,64
Piso,Calle Lealtad,110000,3,111
Chalet,Carretera Villadiego,830000,8,10000
Piso,Calle Frías,155000,3,120
Chalet,hospital yelmo,295000,3,700
Piso,Calle Francisco de Enzinas,210000,3,105
Piso,Vitoria,199000,3,96
Piso,Paseo Pisones,80000,3,88
Piso,Calle del Morco,250000,5,199
Piso,Calle San Lorenzo,170000,2,68
Piso,Calle La Paloma 09003 Burgos,99000,1,54
Piso,Calle Laín Calvo,275000,2,66
Casa Rural,Calle San Mames,28000,1,52
Chalet,Calle Virgen del Salterio,385000,5,170
Piso,Avenida de la Paz,280000,4,149
Piso,Calle Batalla Navas de Tolosa,139000,2,76
Piso,Avenida la paz,280000,2,20
Piso,Calle San Miguel,79000,3,89
Piso,Plaza Pl Luis Martín Santos,179000,3,117
Duplex,Calle Murcia,144000,2,77
Chalet,Urbanización los Molinos,420000,6,1000
Piso,Avenida del Cid Campeador,155000,3,105
Piso,Calle Crucero de San Julián,95000,3,104
Piso,CL ALFONSO X EL SABIO,180000,4,125
Piso,Calle de Lain Calvo,209900,3,110
Casa Rural,Calle Villalazara s/n,198000,7,275
Piso,Casco Antiguo,100000,3,116
Chalet,mayor 71,115000,4,216
Casa Rural,Barrio Villatoro s/n,75000,5,197
Chalet,pendiente 4,48000,4,157
Piso,San Anton 8,69000,3,115
Piso,Arco Isilla 7,110000,3,114
Casa Rural,Noceco 10,290000,9,460
Chalet,Calle Cornejo 86,103000,3,119
Chalet,Calle Mayor,360000,5,300
Piso,obras publicas 3,110000,3,6
Estudio,Calle de Alfonso XI,55000,0,46
Chalet,Condado de Treviño,200000,5,187
Chalet,Villarcayo de Merindad de Castilla la Vieja,247000,5,500
Chalet,Carcedo de Burgos,220000,3,119
Chalet,Castrillo del Val,68000,3,104
Piso,Calle la Tala s/n,139900,2,15
Piso,Calle Llana de Afuera,100000,3,97
Chalet,Calle del olmo,425000,5,375
Piso,Calle Santa Águeda,80000,1,60
Chalet,Calle Portal de Zaldiaran,330000,3,500
Chalet,Calle Portal de Zaldiaran,410000,4,1062
Piso,Fuente Lugarejos 3,194500,2,77
Chalet,Calle Portal de Zaldiaran,360000,2,1062
Chalet,Calle Portal de Zaldiaran,390000,3,1062
Piso,Fuente Lugarejos 3,202500,2,68
Piso,Calle La Iglesia,203000,4,180
Chalet,palillos,470000,4,150
Piso,Calle Burgense,150000,2,66
Chalet,palillos,470000,4,157
Piso,Calle Arles,127000,3,99
Piso,Calle María Amigo,139000,4,133
Chalet,Paseo de los Pisones Burgos,395000,4,138
Piso,Benjamín Palencia,130000,2,96
Piso,Calle Teresa Jornet Santa Fundadora,139900,2,72
Piso,Avenida Vena,165000,2,64
Piso,Calle Pintor Miró,280000,3,84
Chalet,Nuestra Señora de Belen,103000,4,124
Piso,Bulevar Ferroviario s/n,150000,1,45
Chalet,Valparaíso,344000,5,200
Piso,Calle Lovaina 1,185000,3,84
Piso,Bulevar Ferroviario s/n,295000,3,87
Piso,Calle Lovaina 1,185000,3,115
Piso,Calle Luis Labín,195000,3,83
Piso,Calle Lovaina 1,175000,3,110
Piso,Calle San Pablo s/n,130000,2,68
Piso,Bulevar Ferroviario s/n,195000,2,60
Chalet,Calle Tirso de molina,260000,5,183
Piso,Universidad - Las Huelgas,170000,3,97
Chalet,Quintanapalla,79000,1,500
Piso,Calle Padre Flórez,169000,2,75
Piso,Calle Eduardo de Ontañón,235000,2,62
Chalet,Cayuela,158000,3,99
Casa Rural,Concepción 14,80000,3,86
Chalet,Celada del Camino,85000,4,152
Chalet,San Mamés de Burgos,69900,2,75
Chalet,Ibeas de Juarros,195000,3,120
Piso,barrio Los Vadillos - R Sanitaria - Pozanos,185000,4,100
Chalet,Villafría - La Ventilla - Castañares,290000,4,25
Chalet,Calle Argentina,195000,3,374
Chalet,Calle Carmen Amaya,195000,3,99
Piso,Plaza Santo Domingo de Guzmán,104000,1,59
Piso,Calle Esteban Sáez Alvarado,206500,3,82
Piso,Calle Polvorín de las Rebolledas,123900,3,119
Piso,Calle Palma de Mallorca,179650,2,66
Piso,San Martín de la Bodega,185500,2,65
Chalet,Calle Candelas,95000,7,271
