Tipo de inmueble,Dirección,Precio,Habitaciones,m2
Chalet ,Calle baja 43 ,23500 ,6,206
Chalet ,Calle Real ,62000 ,5,182
Piso ,Paseo Ezequiel González ,259900 ,4,150
Piso ,Torrecaballeros ,89000 ,3,86
Chalet ,Marazoleja ,68000 ,6,232
Casa Rural ,Pradales ,46000 ,4,142
Duplex ,Carretera de Villacastín ,165000 ,2,69
Chalet ,Navas de Riofrio ,450000 ,6,227
Duplex ,Hontoria ,120000 ,2,65
Chalet ,Nava de la Asuncion ,330000 ,6,618
Chalet ,Rancho ,92000 ,3,22
Chalet ,Castillejo de Mesleon ,495000 ,7,6.700
Chalet ,Calle del Arco ,209900 ,3,197
Chalet ,Los Huertos ,109090 ,3,92
Piso ,Grajera ,105000 ,3,0
Piso ,Calle Médico Valentín Gil 8 ,55000 ,3,75
Piso ,José Zorrilla - Padre Claret ,215000 ,3,85
Chalet ,Vía Roma ,345000 ,3,260
Chalet ,Robledal 9 ,176900 ,5,1000
Casa Rural ,Travesía de los Abetos 10 ,135000 ,3,92
Piso ,Calle Dámaso Alonso ,105000 ,2,62
Chalet ,Calle San Isidro 3 ,280000 ,9,481
Chalet ,Calle las Balsas ,95000 ,3,86
Piso ,Calle de San Antón ,115900 ,3,104
Ático ,Calle Chamberí ,196000 ,2,71
Piso ,Alambique ,135000 ,2,71
Chalet ,Avenida Juan Carlos I ,260000 ,5,241
Chalet ,Calle de Luciana Villagroy ,230000 ,4,125
Chalet ,Vereda de Tabanera ,199975 ,3,110
Chalet ,vaguada ,455000 ,3,117
Chalet ,Calle Cerca de la Casa ,199600 ,3,140
Ático ,Camino de Zamarramala ,87000 ,1,65
Piso ,Paseo Ezequiel González ,275000 ,3,80
Chalet ,Los Ángeles de San Rafael ,198000 ,4,145
Piso ,Calle Cuartel Nuevo ,200000 ,3,97
Chalet ,Gil balbuena 17 ,220000 ,5,162
Piso ,Calle la Granja ,124000 ,3,113
Casa Rural ,Torre Val de San Pedro ,370000 ,5,184
Piso ,Calle Marqués de Perales ,155000 ,4,120
Casa Rural ,Santiuste de San Juan Bautista ,475000 ,7,100
Chalet ,Calle Quinta ,319500 ,4,144
Casa Rural ,Lastras del Pozo ,440000 ,10,40
Chalet ,Plaza Mayor - S.Agustín ,2100000 ,5,162
Chalet ,San Cristobal de Segovia ,1000000 ,5,196
Chalet ,Calle Peña el Gato ,1275000 ,6,12.000
Chalet ,Calle Enebro ,240000 ,4,139
Piso ,Avenida portugal ,85000 ,3,103
Piso ,Plaza Carrasco ,175000 ,2,73
Piso ,Calle de José Zorrilla ,290000 ,4,148
Piso ,Carretera de Valladolid ,110000 ,2,75
Chalet ,Calle Perú ,190000 ,5,227
Ático ,Avenida de Madrid ,90000 ,1,46
Piso ,Avenida Vía Roma 52 ,188000 ,2,60
Chalet ,Calle Santos Justo y Pastor ,900000 ,1,1.619
Chalet ,VILLAR ,169000 ,3,175
Piso ,Avenida Juan Carlos I ,305000 ,3,93
Piso ,Calle San Antonio ,120000 ,2,72.00
Piso ,Avenida Vía Roma 52 ,188000 ,2,76
Piso ,Via Roma ,159000 ,3,92
Duplex ,Calle Solana ,217000 ,4,135
Piso ,Calle del Juncal ,65000 ,1,56
Chalet ,Calle de San Gabriel ,115000 ,2,78
Piso ,Avenida Vía Roma 52 ,228000 ,3,114
Piso ,Calle de José Zorrilla ,252500 ,4,10
Chalet ,Calle Mozoncillo ,38000 ,6,222
Ático ,Calle Cervantes ,175000 ,1,40
Piso ,Carretera de Villacastín ,127000 ,4,200
Ático ,Portugal 1 ,55000 ,1,48
Chalet ,Calle Cantarranas ,225000 ,5,306
Chalet ,Calle Cercas ,115000 ,3,112
Chalet ,Torreiglesias ,60000 ,4,146
Chalet ,Avenida Francia ,347000 ,3,104
Casa Rural ,Calle Mata ,55000 ,3,85
Chalet ,Los Ángeles de San Rafael ,356000 ,3,108
Chalet ,Travesía DEL CALVARIO 8 ,89000 ,3,80
Chalet ,Camino de Sepulveda ,189900 ,3,102
Chalet ,Calle Francisco Herráez García ,344900 ,4,129
Chalet ,Calle Cercas ,115000 ,3,102
Chalet ,Avenida Francia ,347000 ,3,119
Chalet ,San Cristobal de Segovia ,220000 ,3,156
Chalet ,Abades ,150000 ,2,450
Chalet ,Fernando Baro ,226000 ,6,242
Piso ,Avenida de Portugal ,80000 ,2,80
Chalet ,Valdeprados ,180000 ,3,94
Casa Rural ,Santo Tomé del Puerto ,200000 ,5,140
Chalet ,Palazuelos de Eresma ,350000 ,5,195
Chalet ,Navas de Oro ,115000 ,4,141
Casa Rural ,Madrid 9 ,50000 ,4,139
Chalet ,Calle del Norte 12 ,16000 ,1,60
Chalet ,Calle Sierra Mágina ,269000 ,2,64
Piso ,Los Ángeles de San Rafael ,95000 ,3,99
Piso ,Sector Plaza de Toros ,93000 ,2,80
Piso ,donantes ,116900 ,2,69
Chalet ,Calle Segovia ,35000 ,4,143
Chalet ,Calle Bonifacio Blas ,45000 ,3,104
Chalet ,Los Ángeles de San Rafael ,238000 ,3,96
Chalet ,Calle Cardiel Velasco 66 ,160000 ,3,86
Chalet ,Los pinos ,127000 ,3,60
Piso ,La Lastrilla ,110000 ,2,75
Chalet ,LONDRES ,310000 ,4,151
Chalet ,Centro ,800000 ,1,51
Chalet ,Calle Mistral ,289900 ,6,226
Piso ,El Carmen ,109000 ,3,97
Piso ,Ezequiel González - Cde. Sepulveda ,150000 ,3,86
Piso ,José Zorrilla - Padre Claret ,159900 ,3,102
Piso ,Centro ,310000 ,3,104
Ático ,Centro ,249000 ,2,114
Piso ,Centro ,315000 ,5,178
Piso ,Cantalejo ,63000 ,2,109
Piso ,El Carmen ,130900 ,3,115
Casa Rural ,Escobar de Polendos ,1300000 ,5,200
Chalet ,Martin Muñoz de la Dehesa ,265000 ,4,568
Piso ,El Espinar ,129500 ,3,112
Piso ,Vía Roma ,185000 ,4,129
Chalet ,El Espinar ,415000 ,5,168
Casa Rural ,Zamarramala ,975000 ,7,600
Ático ,Yecla 3 ,79000 ,2,60
Duplex ,Hontoria ,120000 ,2,85
Casa Rural ,Soledad 27 ,60000 ,3,81
Ático ,Yecla 3 ,79000 ,2,69
Ático ,Paseo Fuente del Príncipe ,105000 ,1,44
Piso ,Yecla 3 ,135000 ,2,78
Piso ,González bravo 4 ,92000 ,1,59
Piso ,Calle San Carlos Borromeo ,189900 ,4,133
Piso ,Calle Miraflores ,149500 ,2,78
Chalet ,Hospital ,25000 ,3,102
Chalet ,Avenida Coto San Isidro ,145000 ,3,35
Chalet ,S.Lorenzo - S.Marcos ,415000 ,6,310
Chalet ,La Lastrilla ,880000 ,7,100
Chalet ,Marugan ,160000 ,3,2.500
Chalet ,Marugan ,180000 ,5,2.723
Piso ,Calle San Miguel ,90000 ,3,94
Chalet ,Trescasas ,245000 ,4,299
Chalet ,Carretera Robledo ,180000 ,7,252
Chalet ,La Lastrilla ,230000 ,4,153
Piso ,José Zorrilla - Padre Claret ,159900 ,4,123
Casa Rural ,Adrados ,60000 ,3,110
Chalet ,El Carmen ,275000 ,4,121
Piso ,Espirdo ,49000 ,1,53
Chalet ,Calle Arriba 5 ,350000 ,4,380
Piso ,Espirdo ,39000 ,1,50
Chalet ,Marugan ,195000 ,4,2.500
Chalet ,Marugan ,185000 ,7,2.500
Chalet ,Revenga ,230000 ,4,14
Chalet ,Madrona ,45000 ,4,100
Chalet ,Los Huertos ,239000 ,4,45
Piso ,Centro ,480000 ,4,188
Piso ,Plaza Mayor - S.Agustín ,515000 ,4,25
Piso ,José Zorrilla - Padre Claret ,108000 ,3,87
Chalet ,La Lastrilla ,525000 ,7,800
Chalet ,Palazuelos de Eresma ,330000 ,4,134
Chalet ,Otero de Herreros ,160000 ,4,50
Chalet ,Espirdo ,299000 ,4,278
Chalet ,Mozoncillo ,60000 ,4,149
Piso ,El Cerro - Crtra. San Rafael ,113900 ,3,96
Piso ,Palazuelos de Eresma ,79000 ,2,62
Chalet ,Basardilla ,80000 ,5,285
Chalet ,La Lastrilla ,265000 ,3,130
Piso ,Centro ,480000 ,4,188
Piso ,Palazuelos de Eresma ,135000 ,3,99
Chalet ,La Lastrilla ,230000 ,4,144
Piso ,José Zorrilla - Padre Claret ,108000 ,3,106
Chalet ,Los Ángeles de San Rafael ,295000 ,5,900
Piso ,Ezequiel González - Cde. Sepulveda ,252500 ,4,126
Piso ,Ezequiel González - Cde. Sepulveda ,375000 ,4,159
Piso ,El Espinar ,113000 ,2,73
Chalet ,Fresno de Cantespino ,129900 ,3,00
Ático ,Sector Plaza de Toros ,305000 ,4,144
Chalet ,La Lastrilla ,229900 ,4,130
Piso ,El Cerro - Crtra. San Rafael ,169900 ,4,126
Piso ,Via Roma ,126000 ,2,77
Piso ,921263499 ,Calle San Sebastián ,89900,471
Chalet ,Paysandú ,282000 ,4,120
Piso ,Calle Damas ,72000 ,2,0
Piso ,Calle Roca ,135000 ,3,93
Piso ,Calle Mediodía ,120000 ,3,120
Piso ,Calle Val Bajo ,78500 ,1,0
Piso ,Roca ,144800 ,3,12
Chalet ,Gil balbuena ,175000 ,5,175
Piso ,Paseo de las acacias ,88000 ,3,83
Piso ,Cantimpalos ,40000 ,2,73
Piso ,Paseo Pocillo 24 ,369000 ,4,137
Chalet ,Grajera ,125000 ,3,20
Casa Rural ,Matabuena ,985000 ,10,600
Piso ,Calle del Cristo del Mercado ,225000 ,4,151
Chalet ,Duruelo ,225000 ,3,3.000
Chalet ,Ortigosa del Monte ,420000 ,6,1000
Chalet ,Otero de Herreros ,230000 ,4,159
Chalet ,Encinillas ,271000 ,3,500
Casa Rural ,Cerezo de Arriba ,285000 ,4,300
Piso ,Calle de José Zorrilla ,125000 ,3,111
Chalet ,Los Ángeles de San Rafael ,299000 ,4,1.462
Piso ,CO ESPERANZA ,105900 ,3,90
Chalet ,Los Ángeles de San Rafael ,260000 ,4,220
Chalet ,La Lastrilla ,299000 ,4,126
Chalet ,Calle j 303 ,59500 ,3,1000
Chalet ,Fresno de Cantespino ,179000 ,4,2.500
Chalet ,Fresno de Cantespino ,179000 ,4,2.500
Piso ,San Rafael ,144000 ,3,90
Piso ,San Rafael ,111260 ,2,79
Piso ,El Carmen ,129000 ,3,119
Piso ,Ezequiel González - Cde. Sepulveda ,220000 ,4,139
Piso ,Centro ,90000 ,3,83
Chalet ,Avenida cerca nueva ,106000 ,2,500
Piso ,El Cerro - Crtra. San Rafael ,235000 ,3,106
Piso ,Bernuy de Porreros ,68000 ,2,90
Piso ,Torrecaballeros ,125000 ,3,95
Chalet ,Palazuelos de Eresma ,275000 ,3,340
Ático ,Espirdo ,84900 ,2,71
Chalet ,Hontanares de Eresma ,157000 ,3,105
Chalet ,Torre Val de San Pedro ,50000 ,1,42
Chalet ,Encinillas ,99900 ,4,200
Casa Rural ,Trescasas ,265000 ,3,214
Piso ,El Carmen ,188700 ,4,123
Chalet ,Plaza Mayor - S.Agustín ,360000 ,3,80
Piso ,Sector Plaza de Toros ,199900 ,4,146
Piso ,La Lastrilla ,175990 ,3,80
Duplex ,Sector Plaza de Toros ,320000 ,3,20
Piso ,Palazuelos de Eresma ,129000 ,2,69
Chalet ,Aldea Real ,18500 ,4,156
Chalet ,Calle Beira 30 ,225000 ,3,93
Piso ,Espirdo ,84900 ,2,68
Chalet ,Sauquillo de Cabezas ,45000 ,3,216
Piso ,Espirdo ,54840 ,1,46
Piso ,San Cristobal de Segovia ,135000 ,3,85
Chalet ,S.Lorenzo - S.Marcos ,89000 ,3,111
Casa Rural ,Fuentepelayo ,40000 ,1,444
Chalet ,Turégano ,300000 ,5,300
Piso ,Calle Alfonso VI ,120000 ,3,95
Chalet ,Calle Roda ,130000 ,3,86
Chalet ,Calle Doctor Tapia 13 ,130000 ,4,70
Chalet ,Encinillas ,199000 ,3,500
Ático ,Los Ángeles de San Rafael ,35000 ,2,70
Chalet ,Calle Carmen ,189000 ,5,168
Casa Rural ,Aldealengua de Pedraza ,220000 ,4,143
Chalet ,Vegas de Matute ,290000 ,4,135
Casa Rural ,Villaverde de Montejo ,190000 ,5,166
Piso ,José Zorrilla - Padre Claret ,104999 ,3,104
Piso ,Calle Cervantes 70 ,71000 ,1,47
Piso ,Camino de Turrubuelo 44 ,100000 ,2,79
Casa Rural ,Sotosalbos ,2980000 ,6,228
Chalet ,Calle Strasburgo ,395000 ,6,396
Chalet ,La Lastrilla ,225000 ,4,123
