Tipo de inmueble,Dirección,Precio,Habitaciones,m2
Piso,barrio La Vila Olímpica del Poblenou,795000,4,131
Chalet,Calle de la Carreta,850000,3,92
Piso,barrio L'Antiga Esquerra de l'Eixample,1080000,3,104
Piso,barrio Les Tres Torres,1280000,3,115
Chalet,Camino de Miralpeix,2600000,4,130
Chalet,Calle de Josep Roig i Raventós,890000,4,220
Ático,Calle Poeta Trinitat Catasús,1400000,3,150
Chalet,Calle de Verdi,1500000,9,410
Piso,Calle de Villarroel,450000,3,89
Chalet,Calle de Vélez Rubio,355000,4,200
Chalet,Mas Gener,415000,2,54
Chalet,ferran soldevila 19,1995000,5,309
Chalet,Gran Via del Mar-Zona Universitaria,1450000,4,1047
Chalet,Finestrelles,1300000,6,232
Casa Rural,Calle de la Palma de Sant Genís,1290000,5,320
Duplex,antoni guadi s/n,460000,2,10
Chalet,Mirasol,1295000,5,770
Chalet,Ronda BETTHOVEN s/n,285000,4,152
Chalet,La Miranda - Ciutat Diagonal,1675000,5,539
Ático,La Plana,930000,4,136
Chalet,barrio Sant Andreu,550000,4,136
Piso,barrio Sant Pere - Santa Caterina i la Ribera,449000,3,92
Chalet,Alella Parc,1100000,7,278
Piso,Calle de Balmes 443,1485000,4,136
Piso,Can Pantiquet,230000,4,119
Chalet,La Miranda - Ciutat Diagonal,3200000,6,203
Piso,Calle de Rosalia de Castro,320000,1,57
Ático,Calle les Anquines,1995000,4,153
Piso,Calle de Sant Gaudenci,365000,3,101
Piso,Calle de Sant Gaudenci,365000,3,92
Piso,Paseo de Garcia Fària,1650000,3,112
Chalet,Paseo Can Vinyes,4256000,6,650
Chalet,Avenida de Miquel Utrillo,1290000,7,261
Ático,Calle les Anquines,1995000,4,148
Ático,Moragas,1690000,4,40
Piso,Calle les Anquines,1250000,4,149
Ático,barrio La Dreta de l'Eixample,990000,2,66
Piso,barrio La Dreta de l'Eixample,795000,2,79
Chalet,Valldoreix,2500000,5,1000
Piso,barrio El Gòtic,523000,2,72
Piso,barrio L'Antiga Esquerra de l'Eixample,950000,3,115
Piso,barrio Sant Pere - Santa Caterina i la Ribera,895000,3,173
Piso,barrio La Sagrada Família,670000,2,101
Chalet,La Miranda - Ciutat Diagonal,3490000,4,801
Chalet,La Miranda - Ciutat Diagonal,3200000,4,133
Piso,Volpelleres,620000,4,110
Piso,Calle de Pau Claris,1150000,3,183
Chalet,Centre - Estació,1550000,4,145
Piso,Parc Central - Colomer,640000,4,131
