C. Autonoma,Provincia,Tipo de inmueble,Direccion,m2,Habitaciones,Precio
Andalucia,Almeria,Piso,Avenida avd de la Cruz esquina calle Juna cuadrado Ruiz s/n,70,2,174250
Andalucia,Almeria,Piso,Avenida avd de la Cruz esquina calle Juna cuadrado Ruiz s/n,70,2,153250
Andalucia,Almeria,Piso,Avenida avd de la Cruz esquina calle Juna cuadrado Ruiz s/n,60,2,162250
Andalucia,Almeria,Piso,Avenida Tortuga Boba,80,2,185000
Andalucia,Almeria,Piso,Paseo de las Olas s/n,65,2,140000
Andalucia,Almeria,Piso,Paseo de las Olas s/n,68,2,135000
Andalucia,Almeria,Piso,Paseo de las Olas s/n,44,1,105000
Andalucia,Almeria,Piso,Las Salinas,63,2,105000
Andalucia,Almeria,Piso,Las Salinas,40,1,98000
Andalucia,Almeria,Piso,Almerimar,105,2,192920
Andalucia,Almeria,Piso,Zona el Palmeral,85,2,225000
Andalucia,Almeria,Piso,Almerimar,94,2,190000
Andalucia,Almeria,Piso,Cala Marques,64,2,121000
Andalucia,Almeria,Piso,carrera del duende,86,3,129000
Andalucia,Almeria,Chalet,Calle Federico Garcia Lorca,140,4,118900
Andalucia,Almeria,Piso,Calle Arquimedes 27,85,3,87500
Andalucia,Almeria,Piso,Avenida de Carlos III 248,101,3,79000
Andalucia,Almeria,Chalet,Calle Molino,138,4,149900
Andalucia,Almeria,Chalet,La Canada - Costacabana - Loma Cabrera,168,3,325000
Andalucia,Almeria,Piso,Nueva Andalucia - Regiones,105,3,144900
Andalucia,Almeria,Piso,Balanegra,123,4,180000
Andalucia,Almeria,Piso,Calle Rafael Alonso 4,111,3,65000
Andalucia,Almeria,Chalet,Calle Adelfa,122,4,198000
Andalucia,Almeria,Piso,Plaza de san pedro 3,87,3,280000
Andalucia,Almeria,Piso,Camino Roquetas,85,3,74900
Andalucia,Almeria,Chalet,Huercal de Almeria,27,4,210000
Andalucia,Almeria,Piso,Calle Fuente Toro,102,3,59900
Andalucia,Almeria,Piso,Andalucia,80,3,54900
Andalucia,Almeria,Chalet,Calle Padre Rubio,112,3,103000
Andalucia,Almeria,Chalet,Calle pericles,120,3,199900
Andalucia,Almeria,Piso,Alto Real del barrio s/n,140,3,255000
Andalucia,Almeria,Atico,olivos,141,4,115000
Andalucia,Almeria,Piso,federico de castro 73,100,3,78900
Andalucia,Almeria,Chalet,Calle Obispo Alfonso Rodenas 27,128,4,398000
Andalucia,Almeria,Piso,Calle Cartagena 7,57,1,120000
Andalucia,Almeria,Piso,Paseo de Los Banos,40,4,145000
Andalucia,Almeria,Atico,Avenida Descubrimiento 5,67,2,160000
Andalucia,Almeria,Chalet,Calle Maria Auxiliadora,297,4,160000
Andalucia,Almeria,Piso,Calle Miguel Angel 3,83,2,65000
Andalucia,Almeria,Piso,Calle Merida 4,101,3,170000
Andalucia,Almeria,Chalet,Calle jesus de percival s/n,98,4,539000
Andalucia,Almeria,Piso,Calle Alvarez de Sotomayor,70,2,70000
Andalucia,Almeria,Piso,Balerma,198,4,149500
Andalucia,Almeria,Duplex,Balerma,15200,4,160000
Andalucia,Almeria,Atico,Plaza de la Constitucion,109,3,89900
Andalucia,Almeria,Piso,Calle Quesada s/n,77,2,119900
Andalucia,Almeria,Chalet,Torre alta,1000,3,149900
Andalucia,Almeria,Casa Rural,Avenida Huechar,516,2,139900
Andalucia,Almeria,Piso,Galan de noche,20,3,205000
Andalucia,Almeria,Piso,Calle Joaquin Escobar s/n,250,4,179000
Andalucia,Almeria,Piso,Barrio San Luis - Los Molinos,70,2,159000
Andalucia,Almeria,Atico,Calle Sotavento 2,73,2,88900
Andalucia,Almeria,Piso,Avenida Alcazaba 115,60,2,159900
Andalucia,Almeria,Piso,Paseo PEDRO PONCE 109,92,3,116000
Andalucia,Almeria,Piso,Calle Monaco 1,60,2,159500
Andalucia,Almeria,Piso,Calle CUCHILLO,73,2,86900
Andalucia,Almeria,Piso,Calle Murillo,74,2,249000
Andalucia,Almeria,Atico,Arapiles 2,161,5,450000
Andalucia,Almeria,Atico,Calle Murillo,71,2,185000
Andalucia,Almeria,Piso,Avenida DE LA SAL 251,400,3,210000
Andalucia,Almeria,Piso,Nueva Andalucia - Regiones,109,3,159000
Andalucia,Almeria,Piso,Altamira - Oliveros - Barrio Alto,123,4,145000
Andalucia,Almeria,Chalet,Santa Maria del Aguila,104,3,189900
Andalucia,Almeria,Piso,Centro-Rambla,112,3,164900
Andalucia,Almeria,Chalet,Huercal de Almeria,3200,4,449000
Andalucia,Almeria,Piso,barrio El Puerto - La Romanilla,82,2,119000
Andalucia,Almeria,Piso,Camino de los Depositos,93,3,99900
Andalucia,Almeria,Piso,Calle San Jose Obrero,106,3,144900
Andalucia,Almeria,Chalet,Calle Chipre,240,4,230000
Andalucia,Almeria,Chalet,Calle Dr Castroviejo,138,3,89900
Andalucia,Almeria,Chalet,Camino de las Lomas,149,4,179900
