"provincia","tipo/lugar","link","precio","caracteristicas","info","otros"
"Bacerlona","Piso en La Dreta de l'Eixample, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia//inmueble/101502386/","1,470,000 €","5 hab. 200 m² Planta 5ª exterior con ascensor","Piso a estrenar en Eixample Dreta, Barcelona Tenemos a la venta este precioso piso esquinero ubicado en una finca modernista a pocos pasos de La Pedrera en el Paseo de Gracia en el “Cuadrado de Oro”.",""
"Bacerlona","Piso en paseo de Gràcia, La Dreta de l'Eixample, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia//inmueble/101835285/","830,000 €","2 hab. 107 m² Planta 4ª exterior con ascensor","Piso de diseño en venta en Paseo de Gràcia En una finca regía de mucha presencia ubicada en Paseo de Gracia, la zona más exclusiva de Barcelona, encontramos este espectacular piso de lujo amueblado y",""
"Bacerlona","Piso en calle de Ferran Agulló, Sant Gervasi - Galvany, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia//inmueble/101881932/","1,750,000 €","3 hab. 172 m² Planta 1ª exterior con ascensor","Este excepcional piso en primera planta se encuentra en una de las ubicaciones más solicitadas de Barcelona, con excelentes vistas al Turó Park. En la parte trasera del piso hay una fantástica terraza",""
"Bacerlona","Piso en Pedralbes, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia//inmueble/101781007/","2,900,000 €","4 hab. 370 m² Planta 2ª exterior con ascensor","Piso en venta en Pedralbes, Barcelona Piso a la venta en Avenida Pedralbes, a pocos pasos del Monasterio de Pedralbes, una exclusiva zona de la ciudad de Barcelona. Esta propiedad se caracteriza por s",""
"Bacerlona","Piso en Sant Gervasi - Galvany, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia//inmueble/101391518/","1,870,000 €","4 hab. 170 m² Planta 4ª exterior con ascensor","Impresionante piso de lujo reformado a estrenar en Turó Park. Este maravilloso piso reformado a estrenar con la mejor calidad de materiales y acabados se encuentra en una plácida avenida que lleva a T",""
"Bacerlona","Piso en La Dreta de l'Eixample, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia//inmueble/100924557/","2,500,000 €","5 hab. 258 m² Planta 1ª exterior con ascensor","Piso de obra nueva con piscina privada en venta en Eixample Dreta, Barcelona. Espectacular piso de obra nueva con piscina privada y terraza en Eixample Dreta, Barcelona El proyecto de obra nueva de al",""
"Bacerlona","Casa o chalet independiente en Sarrià, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia//inmueble/101497049/","2,900,000 €","6 hab. 613 m²","Espectacular casa con jardín, piscina y maravillosas vistas en Can Caralleu. Esta increíble casa unifamiliar independiente en la mejor zona de Can Caralleu fue construida en 2003 y se encuentra en per",""
"Bacerlona","Ático en L'Antiga Esquerra de l'Eixample, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia//inmueble/101146263/","1,216,000 €","2 hab. 157 m² Planta 5ª exterior con ascensor","Ático duplex reformado a estrenar con terraza en Eixample. Este ático se encuentra en un edificio modernista totalmente rehabilitado con ascensor, situado junto a la histórica Universitat de Barcelona",""
"Bacerlona","Piso en L'Antiga Esquerra de l'Eixample, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia//inmueble/102145729/","2,600,000 €","4 hab. 232 m² Planta 4ª exterior con ascensor","Lucas Fox presenta una propiedad única recién reformada y diseñada de la mano de un prestigioso estudio de arquitectura de interiores de la Ciudad Condal. Se sitúa en la 6ª planta de un edificio de 19",""
"Bacerlona","Piso en La Dreta de l'Eixample, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia//inmueble/87478973/","2,300,000 €","3 hab. 351 m² Planta 1ª exterior con ascensor","Espectacular piso del siglo XIX, con un estilo modernista, completamente renovado, y estratégicamente situado a pocos pasos de emblemáticos lugares de Barcelona, como La Pedrera, Paseo de Gracia y La",""
"Bacerlona","Piso en calle de Pau Claris, La Dreta de l'Eixample, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia//inmueble/101962037/","750,000 €","2 hab. 151 m² Planta 3ª exterior con ascensor","Barcelona Sotheby's International Realty tiene el placer de presentar esta propiedad que representa una verdadera oportunidad para reformar en una de las mejores calles de Eixample Dret. La vivienda s",""
"Bacerlona","Piso en calle de la Fruita, El Gòtic, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia//inmueble/101604431/","650,000 €","3 hab. 135 m² Planta 1ª exterior con ascensor","Presentamos esta vivienda recién reformada en una calle muy tranquila en el emblemático barrio Gótico. La propiedad es muy amplia y se divide en dos zonas: zona de día y zona de noche. Al entrar nos e",""
"Bacerlona","Piso en rambla de Catalunya, La Dreta de l'Eixample, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia//inmueble/101043384/","1,295,000 €","3 hab. 145 m² Planta 2ª exterior con ascensor","Espectacular piso de lujo reformado en finca regia de Rambla Catalunya. Este impresionante piso reformado a estrenar con acabados de altísima calidad se encuentra en Rambla Catalunya con Consell de Ce",""
"Bacerlona","Ático en Gran Via de les Corts Catalanes, L'Antiga Esquerra de l'Eixample, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia//inmueble/100228158/","795,000 €","3 hab. 182 m² Planta 8ª exterior con ascensor","Magnífico y amplio ático con terraza soleada en Eixample. Este sensacional ático tiene una excelente localización cerca del centro de Barcelona, que lo convierte en un oasis en plena ciudad, con una a",""
"Bacerlona","Piso en calle de la Palma de Sant Just, El Gòtic, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia//inmueble/101127926/","895,000 €","3 hab. 161 m² Planta 1ª exterior con ascensor","Increíble y amplio piso con elementos originales en el corazón del Gótico. Este espectacular piso ocupa toda la planta Principal de un edificio catalogado que fue completamente rehabilitada en 2008. S",""
"Bacerlona","Piso en calle del Tenor Viñas, Sant Gervasi - Galvany, Barcelona","https://www.idealista.com/venta-viviendas/barcelona-provincia/pagina-2.htm/inmueble/98746997/","780,000 €","3 hab. 118 m² Planta 2ª exterior con ascensor","Interesante piso a reformar con terraza y vistas al Turó Park. Este notable inmueble a reformar se encuentra en una calle cercana al Turó Park, una de las áreas residenciales más exclusivas de Barcelo","Lujo"
