Provincia,descrip,Precio,Habitaciones,m²
Asturias,Piso,208000,2,170
Asturias,Chalet,170000,3,209
Asturias,Chalet,175000,5,280
Asturias,Piso,125000,2,365
Asturias,Piso,279999,4,433
Asturias,Piso,130000,3,103
Asturias,Chalet,330000,3,108
Asturias,Piso,85000,1,102
Asturias,Chalet,750000,5,67
Asturias,Chalet,345000,6,233
Asturias,Duplex,265000,4,279
Asturias,Chalet,397000,7,356
Asturias,Chalet,299900,2,64
Asturias,Chalet,283500,9,89
Asturias,Piso,275000,3,75
Asturias,Chalet,565000,5,84
Asturias,Chalet,560000,2,68
Asturias,Chalet,195000,2,64
Asturias,Piso,169000,3,83
Asturias,Chalet,1200000,4,68
Asturias,Piso,120000,3,66
Asturias,Piso,115000,1,60
Asturias,Piso,110000,3,60
Asturias,Chalet,800000,6,199
Asturias,Chalet,348000,4,235
Asturias,Chalet,1100000,7,287
Asturias,Chalet,265000,3,367
Asturias,Chalet,448000,3,474
Asturias,Piso,245000,3,76
Asturias,Piso,272000,3,91
Asturias,Piso,164500,3,85
Asturias,Piso,365000,3,114
Asturias,Piso,215000,3,235
Asturias,Chalet,540000,4,260
Asturias,Piso,250000,5,305
Asturias,Piso,79000,3,76
Asturias,Piso,164900,3,87
Asturias,Chalet,129000,5,75
Asturias,Casa Rural,750000,8,62
Asturias,Piso,339900,4,64
Asturias,Piso,380000,4,109
Asturias,Ático,198000,3,167
Asturias,Piso,209000,2,250
Asturias,Chalet,690000,3,285
Asturias,Chalet,375000,5,350
Asturias,Ático,270000,2,476
Asturias,Chalet,790000,5,115
Asturias,Chalet,1800000,11,73
Asturias,Piso,250000,2,108
Asturias,Chalet,810000,9,97
Asturias,Chalet,480000,4,238
Asturias,Chalet,360000,5,276
Asturias,Casa Rural,220000,6,324
Asturias,Piso,120000,3,72
Asturias,Piso,110000,4,78
Asturias,Chalet,625000,7,73
Asturias,Piso,90000,1,64
Asturias,Chalet,420000,4,95
Asturias,Chalet,325000,4,111
Asturias,Chalet,399000,6,147
Asturias,Piso,125000,3,204
Asturias,Piso,168000,3,264
Asturias,Piso,145000,3,328
Asturias,Piso,330000,5,485
Asturias,Piso,169000,2,101
Asturias,Piso,74900,2,49
Asturias,Piso,249000,2,67
Asturias,Chalet,399000,3,116
Asturias,Piso,132000,3,225
Asturias,Piso,344000,2,300
Asturias,Piso,85000,3,372
Asturias,Chalet,425000,6,69
Asturias,Piso,95000,3,62
Asturias,Piso,265000,3,99
Asturias,Piso,256000,3,82
Asturias,Chalet,220000,6,64
Asturias,Chalet,350000,4,65
Asturias,Piso,387000,3,84
Asturias,Chalet,239000,4,75
Asturias,Chalet,159000,3,84
Asturias,Piso,159000,3,75
Asturias,Piso,230000,3,116
Asturias,Piso,99900,2,177
Asturias,Chalet,349000,4,236
Asturias,Chalet,299000,3,278
Asturias,Piso,138000,2,343
Asturias,Piso,119000,1,492
Asturias,Chalet,950000,4,93
Asturias,Chalet,140000,2,96
Asturias,Piso,225000,4,47
Asturias,Casa Rural,59000,1,106
Asturias,Piso,220000,4,230
Asturias,Piso,119500,3,250
Asturias,Piso,112000,3,339
Asturias,Chalet,340000,4,84
Asturias,Piso,310000,5,90
Asturias,Piso,190975,3,69
Asturias,Piso,360000,4,85
Asturias,Piso,106500,1,70
Asturias,Piso,470000,7,108
Asturias,Piso,290000,2,142
Asturias,Chalet,890000,4,200
Asturias,Piso,169000,2,283
Asturias,Chalet,495000,3,346
Asturias,Piso,99500,3,448
Asturias,Piso,143000,3,108
Asturias,Piso,70000,3,189
Asturias,Chalet,650000,4,75
Asturias,Chalet,350000,7,99
Asturias,Piso,265000,3,237
Asturias,Piso,185000,3,92
Asturias,Chalet,829900,4,222
Asturias,Piso,375000,3,269
Asturias,Chalet,330000,5,293
Asturias,Piso,170000,3,72
Asturias,Chalet,220000,6,96
Asturias,Piso,137000,3,83
Asturias,Piso,86000,2,89
Asturias,Piso,78900,2,172
Asturias,Chalet,265000,3,235
Asturias,Casa Rural,500000,12,259
Asturias,Piso,150000,1,387
Asturias,Casa Rural,1800000,8,432
Asturias,Chalet,550000,9,70
Asturias,Chalet,310000,5,104
Asturias,Piso,120000,3,105
Asturias,Chalet,845000,3,99
Asturias,Chalet,380000,4,232
Asturias,Piso,65000,3,264
Asturias,Piso,125000,3,300
Asturias,Chalet,69000,3,61
Asturias,Piso,116630,3,76
Asturias,Piso,159000,3,98
Asturias,Chalet,240000,3,99
Asturias,Ático,360000,3,90
Asturias,Ático,153000,1,64
Asturias,Chalet,2100000,3,100
Asturias,Piso,165000,3,73
Asturias,Piso,99000,2,94
Asturias,Chalet,630000,4,71
Asturias,Piso,340000,5,93
Asturias,Ático,490000,2,125
Asturias,Chalet,125000,6,209
Asturias,Chalet,680000,5,280
Asturias,Piso,140000,4,336
Asturias,Casa Rural,155000,3,488
Asturias,Piso,163900,3,113
Asturias,Duplex,545000,5,77
Asturias,Piso,340000,3,107
Asturias,Piso,270000,6,109
Asturias,Piso,170000,2,249
Asturias,Piso,165000,3,278
Asturias,Piso,120000,3,388
Asturias,Piso,290000,3,195
Asturias,Casa Rural,130000,3,195
Asturias,Piso,350000,2,62
Asturias,Piso,195000,2,89
Asturias,Piso,275000,2,93
Asturias,Piso,199000,3,66
Asturias,Chalet,99900,12,157
Asturias,Chalet,39900,4,217
Asturias,Chalet,69900,4,251
Asturias,Chalet,249900,3,351
Asturias,Chalet,450000,4,460
Asturias,Piso,54000,2,118
Asturias,Piso,139000,3,91
Asturias,Chalet,795000,4,112
Asturias,Piso,97000,3,81
Asturias,Chalet,98000,14,226
Asturias,Piso,99900,2,295
Asturias,Chalet,175000,3,318
Asturias,Chalet,46000,6,91
Asturias,Chalet,790000,6,94
Asturias,Casa Rural,128000,3,92
Asturias,Chalet,749000,5,70
Asturias,Casa Rural,113000,3,92
Asturias,Chalet,855000,3,97
Asturias,Chalet,830000,5,163
Asturias,Piso,138000,3,208
Asturias,Chalet,228000,3,297
Asturias,Chalet,360000,3,367
