com. autonoma,provincia,descripción,precio,habitaciones,m²
Comunidad de Madrid,Madrid,Piso,1350000,3,246
Comunidad de Madrid,Madrid,Chalet,950000,4,232
Comunidad de Madrid,Madrid,Piso,1900000,4,93
Comunidad de Madrid,Madrid,Chalet,1590000,6,289
Comunidad de Madrid,Madrid,Chalet,2000000,5,68
Comunidad de Madrid,Madrid,Duplex,800000,3,80
Comunidad de Madrid,Madrid,Chalet,2850000,6,57
Comunidad de Madrid,Madrid,Piso,5200000,4,294
Comunidad de Madrid,Madrid,Piso,340000,2,241
Comunidad de Madrid,Madrid,Piso,1795000,4,389
Comunidad de Madrid,Madrid,Piso,849000,2,238
Comunidad de Madrid,Madrid,Ático,1175000,4,60
Comunidad de Madrid,Madrid,Chalet,9800000,9,97
Comunidad de Madrid,Madrid,Ático,2450000,4,216
Comunidad de Madrid,Madrid,Piso,2000000,3,210
Comunidad de Madrid,Madrid,Piso,1085000,3,223
Comunidad de Madrid,Madrid,Chalet,7000000,7,312
Comunidad de Madrid,Madrid,Chalet,3950000,8,115
Comunidad de Madrid,Madrid,Duplex,1180000,5,61
Comunidad de Madrid,Madrid,Chalet,1200000,6,88
Comunidad de Madrid,Madrid,Piso,3500000,7,92
Comunidad de Madrid,Madrid,Piso,155000,3,111
Comunidad de Madrid,Madrid,Piso,680000,3,249
Comunidad de Madrid,Madrid,Piso,950000,3,200
Comunidad de Madrid,Madrid,Piso,169500,2,248
Comunidad de Madrid,Madrid,Piso,445000,3,338
Comunidad de Madrid,Madrid,Piso,550000,3,98
Comunidad de Madrid,Madrid,Chalet,895000,5,61
Comunidad de Madrid,Madrid,Piso,149900,3,256
Comunidad de Madrid,Madrid,Piso,334900,3,68
Comunidad de Madrid,Madrid,Chalet,3500000,5,74
Comunidad de Madrid,Madrid,Ático,2700000,3,69
Comunidad de Madrid,Madrid,Chalet,1230000,5,369
Comunidad de Madrid,Madrid,Piso,190000,3,71
Comunidad de Madrid,Madrid,Piso,2490000,4,87
Comunidad de Madrid,Madrid,Piso,2980000,4,97
Comunidad de Madrid,Madrid,Piso,162000,2,82
Comunidad de Madrid,Madrid,Chalet,6500000,5,96
Comunidad de Madrid,Madrid,Chalet,7000000,6,93
Comunidad de Madrid,Madrid,Piso,275000,3,245
Comunidad de Madrid,Madrid,Piso,899000,3,249
Comunidad de Madrid,Madrid,Chalet,3500000,6,464
Comunidad de Madrid,Madrid,Piso,310000,3,70
Comunidad de Madrid,Madrid,Ático,599000,3,46
Comunidad de Madrid,Madrid,Piso,420000,3,94
Comunidad de Madrid,Madrid,Piso,2636000,6,74
Comunidad de Madrid,Madrid,Piso,899900,4,163
Comunidad de Madrid,Madrid,Piso,1550000,4,54
Comunidad de Madrid,Madrid,Chalet,3950000,7,47
Comunidad de Madrid,Madrid,Piso,1590000,3,172
Comunidad de Madrid,Madrid,Piso,495000,2,226
Comunidad de Madrid,Madrid,Piso,193000,1,175
Comunidad de Madrid,Madrid,Piso,1450000,5,370
Comunidad de Madrid,Madrid,Chalet,1190000,5,50
Comunidad de Madrid,Madrid,Piso,1175000,3,84
