com. autonoma,provincia,descripción,precio,habitaciones,m²
Castilla-La Mancha,Albacete,Piso,160000,1,70
Castilla-La Mancha,Albacete,Piso,182500,3,94
Castilla-La Mancha,Albacete,Piso,87000,4,90
Castilla-La Mancha,Albacete,Ático,210000,4,108
Castilla-La Mancha,Albacete,Chalet,55000,3,244
Castilla-La Mancha,Albacete,Piso,118000,3,102
Castilla-La Mancha,Albacete,Piso,139000,3,101
Castilla-La Mancha,Albacete,Piso,169000,2,74
Castilla-La Mancha,Albacete,Piso,125000,5,204
Castilla-La Mancha,Albacete,Piso,189000,4,160
Castilla-La Mancha,Albacete,Piso,120000,4,112
Castilla-La Mancha,Albacete,Piso,190000,3,101
Castilla-La Mancha,Albacete,Piso,165000,4,102
Castilla-La Mancha,Albacete,Piso,85000,3,340
Castilla-La Mancha,Albacete,Piso,125000,3,90
Castilla-La Mancha,Albacete,Piso,300000,4,170
Castilla-La Mancha,Albacete,Chalet,360000,5,700
Castilla-La Mancha,Albacete,Piso,307000,5,180
Castilla-La Mancha,Albacete,Piso,41000,4,110
Castilla-La Mancha,Albacete,Piso,165000,4,132
Castilla-La Mancha,Albacete,Piso,198000,2,80
Castilla-La Mancha,Albacete,Piso,210000,3,134
Castilla-La Mancha,Albacete,Piso,195000,3,109
Castilla-La Mancha,Albacete,Piso,170000,5,137
Castilla-La Mancha,Albacete,Chalet,195000,4,145
Castilla-La Mancha,Albacete,Piso,118000,4,125
Castilla-La Mancha,Albacete,Chalet,54900,3,134
Castilla-La Mancha,Albacete,Piso,78800,3,124
Castilla-La Mancha,Albacete,Estudio,105000,0,50
Castilla-La Mancha,Albacete,Piso,305000,3,135
Castilla-La Mancha,Albacete,Chalet,320000,4,200
Castilla-La Mancha,Albacete,Piso,60000,4,125
Castilla-La Mancha,Albacete,Piso,200000,3,118
Castilla-La Mancha,Albacete,Piso,180000,3,81
Castilla-La Mancha,Albacete,Piso,260000,4,120
Castilla-La Mancha,Albacete,Piso,79000,2,65
Castilla-La Mancha,Albacete,Piso,355000,3,130
Castilla-La Mancha,Albacete,Piso,100000,4,133
Castilla-La Mancha,Albacete,Piso,106900,3,77
Castilla-La Mancha,Albacete,Piso,205000,3,115
Castilla-La Mancha,Albacete,Piso,113000,4,120
Castilla-La Mancha,Albacete,Piso,225000,4,128
Castilla-La Mancha,Albacete,Chalet,188000,4,145
Castilla-La Mancha,Albacete,Piso,225000,4,112
Castilla-La Mancha,Albacete,Piso,190000,4,160
Castilla-La Mancha,Albacete,Piso,87000,4,130
Castilla-La Mancha,Albacete,Piso,195000,3,91
Castilla-La Mancha,Albacete,Piso,140000,3,120
Castilla-La Mancha,Albacete,Dúplex,199000,2,121
Castilla-La Mancha,Albacete,Chalet,350000,4,293
Castilla-La Mancha,Albacete,Piso,148000,2,84
Castilla-La Mancha,Albacete,Piso,87500,3,97
Castilla-La Mancha,Albacete,Piso,85000,3,80
Castilla-La Mancha,Albacete,Piso,120000,3,90
Castilla-La Mancha,Albacete,Estudio,210000,0,130
Castilla-La Mancha,Albacete,Chalet,180000,4,135
Castilla-La Mancha,Albacete,Chalet,535000,9,842
Castilla-La Mancha,Albacete,Piso,220000,2,118
Castilla-La Mancha,Albacete,Ático,292000,4,111
Castilla-La Mancha,Albacete,Piso,99000,2,124
Castilla-La Mancha,Albacete,Piso,129000,2,70
Castilla-La Mancha,Albacete,Piso,155000,3,116
Castilla-La Mancha,Albacete,Piso,100000,3,106
Castilla-La Mancha,Albacete,Piso,175000,2,84
Castilla-La Mancha,Albacete,Piso,145000,3,110
Castilla-La Mancha,Albacete,Piso,255000,5,200
Castilla-La Mancha,Albacete,Piso,190000,3,120
Castilla-La Mancha,Albacete,Piso,179000,4,80
Castilla-La Mancha,Albacete,Chalet,589900,6,683
Castilla-La Mancha,Albacete,Chalet,249000,4,155
Castilla-La Mancha,Albacete,Piso,154000,3,83
Castilla-La Mancha,Albacete,Piso,115000,3,95
Castilla-La Mancha,Albacete,Chalet,230000,5,265
Castilla-La Mancha,Albacete,Chalet,114900,4,179
Castilla-La Mancha,Albacete,Piso,69000,2,59
Castilla-La Mancha,Albacete,Chalet,350000,4,315
Castilla-La Mancha,Albacete,Piso,269000,4,166
Castilla-La Mancha,Albacete,Piso,165000,4,110
Castilla-La Mancha,Albacete,Piso,160000,2,60
Castilla-La Mancha,Albacete,Chalet,89000,3,250
Castilla-La Mancha,Albacete,Piso,90000,3,115
Castilla-La Mancha,Albacete,Piso,149000,3,94
Castilla-La Mancha,Albacete,Piso,168000,3,100
Castilla-La Mancha,Albacete,Piso,150000,4,132
Castilla-La Mancha,Albacete,Piso,140000,4,119
Castilla-La Mancha,Albacete,Dúplex,332000,4,151
Castilla-La Mancha,Albacete,Chalet,160500,4,137
Castilla-La Mancha,Albacete,Piso,247000,3,110
Castilla-La Mancha,Albacete,Chalet,85000,9,210
Castilla-La Mancha,Albacete,Piso,293000,3,126
Castilla-La Mancha,Albacete,Piso,185000,4,134
Castilla-La Mancha,Albacete,Casa,70000,3,80
Castilla-La Mancha,Albacete,Piso,143000,2,72
Castilla-La Mancha,Albacete,Piso,220000,3,114
Castilla-La Mancha,Albacete,Piso,230000,4,165
Castilla-La Mancha,Albacete,Chalet,355000,4,321
Castilla-La Mancha,Albacete,Piso,140000,4,107
Castilla-La Mancha,Albacete,Piso,168000,4,115
Castilla-La Mancha,Albacete,Piso,93000,3,114
Castilla-La Mancha,Albacete,Piso,189000,4,161
Castilla-La Mancha,Albacete,Piso,185000,3,99
Castilla-La Mancha,Albacete,Piso,98000,3,118
Castilla-La Mancha,Albacete,Chalet,182000,5,156
Castilla-La Mancha,Albacete,Chalet,425000,4,363
Castilla-La Mancha,Albacete,Ático,220000,3,77
Castilla-La Mancha,Albacete,Piso,220000,3,97
Castilla-La Mancha,Albacete,Piso,325000,3,136
Castilla-La Mancha,Albacete,Chalet,85000,3,147
Castilla-La Mancha,Albacete,Casa,975000,15,55
Castilla-La Mancha,Albacete,Ático,115000,4,94
Castilla-La Mancha,Albacete,Piso,120000,4,138
Castilla-La Mancha,Albacete,Piso,95000,3,89
Castilla-La Mancha,Albacete,Piso,200000,4,158
Castilla-La Mancha,Albacete,Piso,95000,3,85
Castilla-La Mancha,Albacete,Piso,490000,5,194
Castilla-La Mancha,Albacete,Casa,45000,3,113
Castilla-La Mancha,Albacete,Piso,220000,4,170
Castilla-La Mancha,Albacete,Chalet,115000,4,175
Castilla-La Mancha,Albacete,Ático,285000,3,120
Castilla-La Mancha,Albacete,Piso,69000,3,110
Castilla-La Mancha,Albacete,Piso,89000,3,149
Castilla-La Mancha,Albacete,Piso,189000,3,108
Castilla-La Mancha,Albacete,Piso,195000,3,160
Castilla-La Mancha,Albacete,Piso,165000,5,130
Castilla-La Mancha,Albacete,Piso,260000,3,98
Castilla-La Mancha,Albacete,Piso,370000,3,154
Castilla-La Mancha,Albacete,Piso,233000,3,135
Castilla-La Mancha,Albacete,Chalet,65000,2,30
Castilla-La Mancha,Albacete,Piso,75000,3,100
Castilla-La Mancha,Albacete,Piso,650000,4,261
Castilla-La Mancha,Albacete,Chalet,360000,4,284
Castilla-La Mancha,Albacete,Chalet,395000,6,320
Castilla-La Mancha,Albacete,Chalet,150000,4,120
Castilla-La Mancha,Albacete,Piso,350000,6,210
Castilla-La Mancha,Albacete,Chalet,69000,3,223
Castilla-La Mancha,Albacete,Chalet,150000,4,335
Castilla-La Mancha,Albacete,Piso,54000,3,88
Castilla-La Mancha,Albacete,Chalet,360000,5,290
Castilla-La Mancha,Albacete,Piso,260000,4,143
Castilla-La Mancha,Albacete,Piso,390000,5,200
Castilla-La Mancha,Albacete,Piso,105000,3,108
Castilla-La Mancha,Albacete,Chalet,620000,4,486
Castilla-La Mancha,Albacete,Piso,25000,2,48
Castilla-La Mancha,Albacete,Piso,165000,4,137
Castilla-La Mancha,Albacete,Piso,200000,3,127
Castilla-La Mancha,Albacete,Casa,45000,3,100
Castilla-La Mancha,Albacete,Piso,125000,5,170
Castilla-La Mancha,Albacete,Chalet,390000,7,260
Castilla-La Mancha,Albacete,Piso,94000,3,125
Castilla-La Mancha,Albacete,Chalet,10500000,21,500
Castilla-La Mancha,Albacete,Chalet,85000,4,147
Castilla-La Mancha,Albacete,Chalet,120000,4,192
Castilla-La Mancha,Albacete,Piso,169900,3,111
Castilla-La Mancha,Albacete,Piso,185000,2,96
Castilla-La Mancha,Albacete,Chalet,32500,4,111
Castilla-La Mancha,Albacete,Piso,260000,4,110
Castilla-La Mancha,Albacete,Chalet,95000,6,286
Castilla-La Mancha,Albacete,Piso,118000,3,85
Castilla-La Mancha,Albacete,Chalet,149000,4,161
Castilla-La Mancha,Albacete,Chalet,380000,5,272
