com. autonoma,provincia,descripción,precio,habitaciones,m²
Islas Baleares,Islas Baleares,Chalet,645000,3,90
Islas Baleares,Islas Baleares,Chalet,219000,2,83
Islas Baleares,Islas Baleares,Chalet,615000,4,67
Islas Baleares,Islas Baleares,Chalet,1350000,4,82
Islas Baleares,Islas Baleares,Ático,665000,4,68
Islas Baleares,Islas Baleares,Casa Rural,750000,3,84
Islas Baleares,Islas Baleares,Chalet,3550000,7,387
Islas Baleares,Islas Baleares,Piso,785000,4,254
Islas Baleares,Islas Baleares,Casa Rural,3500000,12,67
Islas Baleares,Islas Baleares,Piso,443000,3,189
Islas Baleares,Islas Baleares,Piso,367000,3,487
Islas Baleares,Islas Baleares,Chalet,1995000,8,266
Islas Baleares,Islas Baleares,Chalet,3200000,7,481
Islas Baleares,Islas Baleares,Ático,375000,3,106
Islas Baleares,Islas Baleares,Chalet,1200000,7,498
Islas Baleares,Islas Baleares,Chalet,750000,4,72
Islas Baleares,Islas Baleares,Chalet,635000,3,352
Islas Baleares,Islas Baleares,Chalet,2150000,6,222
Islas Baleares,Islas Baleares,Duplex,320000,4,193
Islas Baleares,Islas Baleares,Casa Rural,1750000,5,89
Islas Baleares,Islas Baleares,Piso,280000,3,471
Islas Baleares,Islas Baleares,Piso,234000,2,88
Islas Baleares,Islas Baleares,Chalet,680000,4,90
Islas Baleares,Islas Baleares,Piso,2000000,8,66
Islas Baleares,Islas Baleares,Piso,498000,2,75
Islas Baleares,Islas Baleares,Piso,320000,3,51
Islas Baleares,Islas Baleares,Casa Rural,2500000,6,75
Islas Baleares,Islas Baleares,Piso,330000,3,234
Islas Baleares,Islas Baleares,Chalet,1975000,4,262
Islas Baleares,Islas Baleares,Chalet,1050000,3,190
Islas Baleares,Islas Baleares,Chalet,500000,7,288
Islas Baleares,Islas Baleares,Piso,170000,2,117
Islas Baleares,Islas Baleares,Piso,330000,3,218
Islas Baleares,Islas Baleares,Chalet,4900000,5,65
Islas Baleares,Islas Baleares,Chalet,2100000,6,71
Islas Baleares,Islas Baleares,Casa Rural,775000,4,71
Islas Baleares,Islas Baleares,Chalet,860000,4,439
Islas Baleares,Islas Baleares,Chalet,420000,2,94
Islas Baleares,Islas Baleares,Casa Rural,1495000,6,491
Islas Baleares,Islas Baleares,Chalet,1500000,4,400
Islas Baleares,Islas Baleares,Piso,180000,1,69
Islas Baleares,Islas Baleares,Chalet,2700000,5,366
Islas Baleares,Islas Baleares,Piso,225000,2,115
Islas Baleares,Islas Baleares,Casa Rural,1050000,4,410
Islas Baleares,Islas Baleares,Chalet,1350000,3,113
Islas Baleares,Islas Baleares,Ático,315000,4,87
Islas Baleares,Islas Baleares,Piso,830000,5,302
Islas Baleares,Islas Baleares,Chalet,3900000,5,52
Islas Baleares,Islas Baleares,Chalet,3800000,6,62
Islas Baleares,Islas Baleares,Chalet,598000,3,270
Islas Baleares,Islas Baleares,Casa Rural,6400000,6,62
Islas Baleares,Islas Baleares,Chalet,3750000,5,51
Islas Baleares,Islas Baleares,Piso,475000,3,195
Islas Baleares,Islas Baleares,Casa Rural,2200000,5,95
Islas Baleares,Islas Baleares,Casa Rural,1800000,5,119
Islas Baleares,Islas Baleares,Piso,320000,2,69
Islas Baleares,Islas Baleares,Casa Rural,7900000,4,207
Islas Baleares,Islas Baleares,Chalet,205000,3,92
Islas Baleares,Islas Baleares,Ático,625000,2,233
Islas Baleares,Islas Baleares,Piso,1990000,3,300
Islas Baleares,Islas Baleares,Ático,520292,2,251
Islas Baleares,Islas Baleares,Casa Rural,275000,3,63
Islas Baleares,Islas Baleares,Casa Rural,3250000,6,61
Islas Baleares,Islas Baleares,Chalet,1250000,4,345
Islas Baleares,Islas Baleares,Ático,315000,2,259
Islas Baleares,Islas Baleares,Piso,380000,4,88
Islas Baleares,Islas Baleares,Piso,199000,3,206
Islas Baleares,Islas Baleares,Chalet,1890000,5,311
Islas Baleares,Islas Baleares,Piso,995000,4,456
Islas Baleares,Islas Baleares,Piso,460000,3,391
Islas Baleares,Islas Baleares,Chalet,1450000,3,87
Islas Baleares,Islas Baleares,Piso,1065000,2,59
Islas Baleares,Islas Baleares,Casa Rural,385000,4,107
Islas Baleares,Islas Baleares,Piso,650000,2,277
Islas Baleares,Islas Baleares,Chalet,7950000,8,73
Islas Baleares,Islas Baleares,Chalet,3450000,4,310
Islas Baleares,Islas Baleares,Piso,570000,2,88
Islas Baleares,Islas Baleares,Piso,225000,2,92
Islas Baleares,Islas Baleares,Chalet,2200000,5,86
Islas Baleares,Islas Baleares,Casa Rural,419000,3,293
Islas Baleares,Islas Baleares,Piso,560000,2,343
Islas Baleares,Islas Baleares,Piso,1300000,2,61
Islas Baleares,Islas Baleares,Chalet,798000,4,197
Islas Baleares,Islas Baleares,Chalet,2490000,8,471
Islas Baleares,Islas Baleares,Casa Rural,750000,3,81
Islas Baleares,Islas Baleares,Chalet,380000,1,214
Islas Baleares,Islas Baleares,Casa Rural,2895000,6,159
Islas Baleares,Islas Baleares,Piso,650000,3,73
Islas Baleares,Islas Baleares,Chalet,640000,4,68
Islas Baleares,Islas Baleares,Chalet,2850000,4,96
Islas Baleares,Islas Baleares,Ático,311000,4,225
Islas Baleares,Islas Baleares,Chalet,989900,4,262
Islas Baleares,Islas Baleares,Piso,1350000,2,462
Islas Baleares,Islas Baleares,Chalet,850000,6,275
Islas Baleares,Islas Baleares,Piso,1190000,2,96
Islas Baleares,Islas Baleares,Chalet,1800000,5,55
Islas Baleares,Islas Baleares,Casa Rural,380000,5,102
Islas Baleares,Islas Baleares,Chalet,4250000,5,296
Islas Baleares,Islas Baleares,Chalet,2300000,3,80
Islas Baleares,Islas Baleares,Piso,1250000,2,190
Islas Baleares,Islas Baleares,Chalet,3800000,7,61
Islas Baleares,Islas Baleares,Casa Rural,2480000,6,387
Islas Baleares,Islas Baleares,Chalet,5950000,4,91
Islas Baleares,Islas Baleares,Chalet,1350000,4,280
Islas Baleares,Islas Baleares,Ático,1790000,3,229
Islas Baleares,Islas Baleares,Piso,570000,3,208
Islas Baleares,Islas Baleares,Piso,1250000,4,218
Islas Baleares,Islas Baleares,Chalet,989900,4,86
Islas Baleares,Islas Baleares,Piso,479000,3,214
Islas Baleares,Islas Baleares,Chalet,795000,3,57
Islas Baleares,Islas Baleares,Chalet,880000,4,387
Islas Baleares,Islas Baleares,Piso,400000,3,64
Islas Baleares,Islas Baleares,Casa Rural,1375000,3,141
Islas Baleares,Islas Baleares,Chalet,340000,6,82
Islas Baleares,Islas Baleares,Chalet,685000,3,87
Islas Baleares,Islas Baleares,Chalet,849000,3,64
Islas Baleares,Islas Baleares,Piso,799000,3,118
Islas Baleares,Islas Baleares,Piso,740000,3,212
Islas Baleares,Islas Baleares,Piso,950000,3,204
Islas Baleares,Islas Baleares,Piso,283500,3,83
Islas Baleares,Islas Baleares,Chalet,1295000,4,108
Islas Baleares,Islas Baleares,Ático,175000,3,115
Islas Baleares,Islas Baleares,Chalet,579000,4,98
Islas Baleares,Islas Baleares,Chalet,1350000,3,281
Islas Baleares,Islas Baleares,Chalet,4800000,5,85
Islas Baleares,Islas Baleares,Ático,450000,2,282
Islas Baleares,Islas Baleares,Chalet,1149000,3,335
Islas Baleares,Islas Baleares,Chalet,7950000,7,65
Islas Baleares,Islas Baleares,Piso,1450000,4,143
Islas Baleares,Islas Baleares,Chalet,1225000,5,236
Islas Baleares,Islas Baleares,Casa Rural,3250000,6,137
Islas Baleares,Islas Baleares,Piso,720000,3,86
Islas Baleares,Islas Baleares,Chalet,589000,3,216
Islas Baleares,Islas Baleares,Piso,169000,3,95
Islas Baleares,Islas Baleares,Chalet,5800000,7,81
Islas Baleares,Islas Baleares,Ático,475000,3,95
Islas Baleares,Islas Baleares,Piso,386000,4,292
Islas Baleares,Islas Baleares,Piso,420000,1,83
Islas Baleares,Islas Baleares,Piso,355000,3,69
Islas Baleares,Islas Baleares,Duplex,1850000,3,78
Islas Baleares,Islas Baleares,Chalet,685000,4,88
Islas Baleares,Islas Baleares,Piso,199000,3,83
Islas Baleares,Islas Baleares,Piso,340100,1,85
Islas Baleares,Islas Baleares,Chalet,5000000,7,219
Islas Baleares,Islas Baleares,Chalet,790000,7,93
