com. autonoma,provincia,descripción,precio,habitaciones,m²
Galicia,Pontevedra,Piso,325000,3,179
Galicia,Pontevedra,Ático,69900,3,389
Galicia,Pontevedra,Ático,152500,2,370
Galicia,Pontevedra,Piso,390000,3,90
Galicia,Pontevedra,Chalet,2500000,4,256
Galicia,Pontevedra,Piso,240000,3,101
Galicia,Pontevedra,Chalet,1100000,7,212
Galicia,Pontevedra,Piso,136000,2,92
Galicia,Pontevedra,Chalet,1950000,8,369
Galicia,Pontevedra,Piso,360000,3,62
Galicia,Pontevedra,Piso,165000,1,234
Galicia,Pontevedra,Piso,155000,2,91
Galicia,Pontevedra,Piso,109900,1,89
Galicia,Pontevedra,Piso,182000,4,75
Galicia,Pontevedra,Piso,139000,3,237
Galicia,Pontevedra,Chalet,475000,4,372
Galicia,Pontevedra,Piso,189000,3,257
Galicia,Pontevedra,Ático,185000,2,61
Galicia,Pontevedra,Chalet,430000,4,425
Galicia,Pontevedra,Piso,130000,2,82
Galicia,Pontevedra,Piso,225000,3,142
Galicia,Pontevedra,Chalet,550000,2,254
Galicia,Pontevedra,Casa Rural,570000,5,70
Galicia,Pontevedra,Piso,135000,3,67
Galicia,Pontevedra,Piso,160000,2,240
Galicia,Pontevedra,Piso,199000,3,49
Galicia,Pontevedra,Piso,118500,1,63
Galicia,Pontevedra,Piso,226000,3,221
Galicia,Pontevedra,Chalet,395000,3,93
Galicia,Pontevedra,Chalet,285000,3,69
Galicia,Pontevedra,Piso,119000,4,246
Galicia,Pontevedra,Piso,275000,3,92
Galicia,Pontevedra,Piso,405000,3,292
Galicia,Pontevedra,Chalet,259000,5,88
Galicia,Pontevedra,Estudio,120000,0,69
Galicia,Pontevedra,Piso,125000,3,70
Galicia,Pontevedra,Chalet,900000,5,363
Galicia,Pontevedra,Chalet,170000,5,111
Galicia,Pontevedra,Piso,295000,2,81
Galicia,Pontevedra,Chalet,400000,3,281
Galicia,Pontevedra,Ático,175000,2,94
Galicia,Pontevedra,Piso,550000,5,96
Galicia,Pontevedra,Piso,165000,2,453
Galicia,Pontevedra,Piso,106000,2,78
Galicia,Pontevedra,Piso,570000,5,47
Galicia,Pontevedra,Chalet,328000,4,112
Galicia,Pontevedra,Piso,110000,3,270
Galicia,Pontevedra,Piso,159800,3,266
Galicia,Pontevedra,Chalet,325000,4,79
Galicia,Pontevedra,Piso,200000,5,244
Galicia,Pontevedra,Piso,365000,3,235
Galicia,Pontevedra,Chalet,395000,7,57
Galicia,Pontevedra,Chalet,189000,4,346
Galicia,Pontevedra,Chalet,169000,4,52
Galicia,Pontevedra,Piso,189000,3,118
Galicia,Pontevedra,Chalet,265000,5,89
Galicia,Pontevedra,Piso,170000,3,81
Galicia,Pontevedra,Chalet,210000,4,232
Galicia,Pontevedra,Piso,290000,3,105
Galicia,Pontevedra,Chalet,329000,3,100
Galicia,Pontevedra,Chalet,650000,10,93
Galicia,Pontevedra,Piso,207000,2,79
Galicia,Pontevedra,Chalet,1100000,4,65
Galicia,Pontevedra,Piso,230000,4,85
Galicia,Pontevedra,Piso,146700,2,60
Galicia,Pontevedra,Chalet,650000,6,257
Galicia,Pontevedra,Chalet,580000,4,83
Galicia,Pontevedra,Piso,220000,2,101
Galicia,Pontevedra,Chalet,795000,4,251
Galicia,Pontevedra,Chalet,495000,4,277
Galicia,Pontevedra,Chalet,699000,4,262
Galicia,Pontevedra,Chalet,650000,6,125
Galicia,Pontevedra,Piso,159000,2,372
Galicia,Pontevedra,Duplex,235000,4,69
Galicia,Pontevedra,Piso,240000,4,78
Galicia,Pontevedra,Chalet,849000,4,275
Galicia,Pontevedra,Piso,275000,2,47
Galicia,Pontevedra,Chalet,240000,4,83
Galicia,Pontevedra,Piso,275000,5,84
Galicia,Pontevedra,Piso,156000,2,103
Galicia,Pontevedra,Piso,599000,6,261
Galicia,Pontevedra,Chalet,499000,6,119
Galicia,Pontevedra,Chalet,240000,5,237
Galicia,Pontevedra,Chalet,530000,3,195
Galicia,Pontevedra,Casa Rural,70000,3,61
Galicia,Pontevedra,Chalet,90000,2,189
Galicia,Pontevedra,Chalet,325000,7,75
Galicia,Pontevedra,Chalet,320000,3,250
Galicia,Pontevedra,Piso,155000,3,174
Galicia,Pontevedra,Piso,495000,5,239
Galicia,Pontevedra,Duplex,485000,4,138
Galicia,Pontevedra,Ático,84200,3,54
Galicia,Pontevedra,Piso,450000,8,109
Galicia,Pontevedra,Chalet,650000,4,288
Galicia,Pontevedra,Chalet,175000,5,55
Galicia,Pontevedra,Chalet,1100000,4,467
Galicia,Pontevedra,Piso,149000,4,82
Galicia,Pontevedra,Ático,195000,3,96
Galicia,Pontevedra,Chalet,600000,5,97
Galicia,Pontevedra,Piso,132500,2,55
Galicia,Pontevedra,Chalet,650000,5,173
Galicia,Pontevedra,Piso,249000,3,240
Galicia,Pontevedra,Piso,195000,3,67
Galicia,Pontevedra,Chalet,275000,4,101
Galicia,Pontevedra,Piso,520000,4,46
Galicia,Pontevedra,Chalet,220000,3,252
Galicia,Pontevedra,Piso,575000,6,79
Galicia,Pontevedra,Chalet,500000,3,483
Galicia,Pontevedra,Chalet,218000,3,245
Galicia,Pontevedra,Piso,400000,5,57
Galicia,Pontevedra,Piso,180000,3,109
Galicia,Pontevedra,Chalet,650000,4,400
Galicia,Pontevedra,Piso,370000,4,63
Galicia,Pontevedra,Piso,220000,3,390
Galicia,Pontevedra,Piso,94500,1,65
Galicia,Pontevedra,Piso,165000,3,47
Galicia,Pontevedra,Chalet,465000,3,95
Galicia,Pontevedra,Chalet,128000,3,343
Galicia,Pontevedra,Chalet,850000,5,86
Galicia,Pontevedra,Chalet,750000,7,114
Galicia,Pontevedra,Chalet,450000,5,264
Galicia,Pontevedra,Piso,165000,4,87
Galicia,Pontevedra,Chalet,520000,6,78
Galicia,Pontevedra,Piso,339000,3,73
Galicia,Pontevedra,Piso,69900,1,258
Galicia,Pontevedra,Piso,240000,2,296
Galicia,Pontevedra,Piso,105000,3,64
Galicia,Pontevedra,Chalet,600000,3,290
Galicia,Pontevedra,Chalet,580000,5,191
Galicia,Pontevedra,Chalet,110000,3,104
Galicia,Pontevedra,Piso,285000,3,217
Galicia,Pontevedra,Chalet,320000,4,243
Galicia,Pontevedra,Piso,260000,3,84
Galicia,Pontevedra,Chalet,78000,1,79
Galicia,Pontevedra,Piso,110000,4,496
Galicia,Pontevedra,Piso,360000,4,64
Galicia,Pontevedra,Chalet,95000,3,90
Galicia,Pontevedra,Piso,165000,3,112
Galicia,Pontevedra,Chalet,259000,6,115
Galicia,Pontevedra,Ático,139000,2,98
Galicia,Pontevedra,Chalet,570000,5,115
Galicia,Pontevedra,Piso,450000,4,53
Galicia,Pontevedra,Chalet,325000,4,275
Galicia,Pontevedra,Piso,360000,4,143
Galicia,Pontevedra,Chalet,380000,5,98
Galicia,Pontevedra,Piso,170000,3,383
Galicia,Pontevedra,Piso,239000,2,393
Galicia,Pontevedra,Piso,169900,4,98
Galicia,Pontevedra,Chalet,125000,3,93
Galicia,Pontevedra,Chalet,399999,4,98
Galicia,Pontevedra,Chalet,162000,3,306
Galicia,Pontevedra,Piso,116160,2,115
Galicia,Pontevedra,Casa Rural,259000,4,262
Galicia,Pontevedra,Piso,350000,3,65
Galicia,Pontevedra,Piso,179000,3,81
Galicia,Pontevedra,Chalet,220000,3,84
Galicia,Pontevedra,Piso,190000,4,91
Galicia,Pontevedra,Piso,247000,3,395
Galicia,Pontevedra,Piso,255000,3,241
Galicia,Pontevedra,Casa Rural,700000,4,115
Galicia,Pontevedra,Piso,154000,3,189
Galicia,Pontevedra,Piso,260000,3,62
Galicia,Pontevedra,Casa Rural,1400000,7,46
Galicia,Pontevedra,Chalet,365000,5,48
Galicia,Pontevedra,Chalet,375000,4,205
Galicia,Pontevedra,Chalet,498000,6,364
Galicia,Pontevedra,Chalet,590000,4,363
Galicia,Pontevedra,Piso,110000,3,82
Galicia,Pontevedra,Chalet,298000,5,260
Galicia,Pontevedra,Chalet,250000,5,239
Galicia,Pontevedra,Piso,199000,2,195
Galicia,Pontevedra,Chalet,900000,5,48
Galicia,Pontevedra,Duplex,470000,3,288
Galicia,Pontevedra,Chalet,259000,5,93
Galicia,Pontevedra,Chalet,690000,4,328
Galicia,Pontevedra,Chalet,495000,6,61
Galicia,Pontevedra,Chalet,475000,3,90
Galicia,Pontevedra,Piso,195000,2,321
Galicia,Pontevedra,Piso,345000,4,107
Galicia,Pontevedra,Chalet,329900,5,86
Galicia,Pontevedra,Piso,149000,4,386
Galicia,Pontevedra,Chalet,259000,6,110
Galicia,Pontevedra,Chalet,199000,2,200
Galicia,Pontevedra,Piso,223000,4,98
Galicia,Pontevedra,Piso,270000,4,219
Galicia,Pontevedra,Piso,193500,2,91
Galicia,Pontevedra,Duplex,515000,5,87
