Tipo de inmueble,Dirección,Precio,Habitaciones
Piso,Avenida Felipe González Márquez s/n,268400,4
Piso,Avenida Felipe González Márquez s/n,206900,3
Piso,barrio Avenida de las Ciencias,155000,3
Piso,barrio Alcalde L. Uruñuela - Palacio de Congresos,276700,3
Ático,Zona Avenida de Europa,362000,3
Piso,MILETOS,139800,3
Chalet,Calle Carlos Benítez Saurel s/n,395400,4
Piso,Avenida De Las Ciencias 3,242000,4
Piso,Avenida De Las Ciencias 3,154800,2
Piso,barrio Puerta Carmona-Puerta Osario-Amador de los Ríos,299999,3
Chalet,Calle Virgen del Valle 6,245900,3
Chalet,Calle Virgen del Valle 6,253900,3
Chalet,Zona Avenida de Europa,229000,4
Piso,barrio Feria,170000,2
Chalet,La Motilla - Fuente del Rey,299900,4
Piso,Calle Niebla s/n,154000,3
Duplex,Centro - Doña Mercedes,143000,2
Piso,Calle Ruiseñor,380000,2
Chalet,Avenida de España,225000,3
Piso,Calle de León XIII s/n,245000,3
Piso,barrio Pino Montano,141000,3
Piso,barrio Parque Alcosa,190000,3
Piso,Avenida de Palmas Altas,228500,2
Piso,barrio Santa Aurelia,160700,4
Piso,barrio Asunción - Adolfo Suárez,530000,4
Piso,Barrio Alto,215000,3
Duplex,barrio Buhaira - Huerta del Rey,370000,3
Piso,barrio Luis Montoto - Santa Justa,329500,3
Chalet,Espartinas Pueblo,199500,3
Piso,barrio Cruz Roja - Capuchinos,185000,4
Piso,Avenida de Palmas Altas,227000,2
Chalet,Carretera de Sevilla a Utrera,330000,4
Piso,Avenida de Palmas Altas,285500,4
Piso,Vista Azul - Consolación,95000,2
Piso,VIRGEN DE LUJAN,649000,5
Piso,manuel casana,360000,5
Chalet,Estacada del Cura s/n,460000,4
Piso,Calle Lictores,229000,2
Chalet,Calle Sierra Carbonera,165500,3
Piso,Calle Grupo Oscar Carvallo,390000,4
Chalet,Calle Juan Rodríguez Bermejo,715000,8
Piso,Ronda de Capuchinos,910000,5
Chalet,Camino de los Rojas,600000,4
Chalet,Urbanización Fuentequintillo 34,645000,5
Chalet,juan de pineda s/n,260000,2
Piso,Calle Antonio Machado 52,150000,3
Piso,Salado,430000,3
Piso,Calle Asunción,295000,3
Chalet,Calle San Vicente,2500000,4
Piso,Calle Batalla de Lepanto 4,87500,3
Duplex,Calle Tentudía,440000,3
Piso,Calle Azafrán 7,345000,2
Piso,Plaza Aviador Ruiz de Alda,697000,6
Chalet,Calle Ciaurriz,950000,5
Chalet,Calle Salto de Alvarado,1490000,6
Piso,Calle Ciudad de Cullera,110000,3
Piso,Calle Padre Méndez Casariego,210000,3
Chalet,Plaza del Museo,1679000,4
Chalet,barrio Feria,665000,4
Chalet,machuca s/n,220000,4
Piso,mar menor 3,123600,3
Chalet,El Zaudín - Club de Golf,1970000,7
Ático,barrio Encarnación-Las Setas,450000,4
Piso,barrio El Juncal,295000,3
Piso,barrio Los Bermejales,278000,3
Ático,Sol 125,449000,3
Ático,Calle Mariano Benlliure 34,279500,3
Piso,Calle Virgen de la Antigua,485000,4
Piso,Calle Espinosa y Cárcel,375000,3
Chalet,Hojiblanca 13,141750,4
Chalet,Calle Vado del Quema,119000,2
Piso,Calle Virgen de la Antigua,479000,4
Piso,Antonia Díaz,525000,2
Chalet,Avenida DE UTRERA,225000,4
Chalet,Calle Periodista Ramón Resa,1000000,4
Piso,Calle Juan Sebastián Elcano,475000,3
Chalet,Avenida Padre García Tejero,1774220,6
Chalet,Plaza Blas Infantes 15,178500,4
Piso,Calle Cueva de Menga,215000,3
Chalet,Avenida de las Begonias,840000,5
Chalet,Calle cordoba,295000,3
Piso,Avenida EMILIO LEMOS,140000,2
