Tipo de inmueble,Dirección,Precio,Habitaciones
Chalet,Calle de Jesús y María,280000,4
Piso,Calle José Sancho Arroyo,128000,2
Piso,Paseo de Cuéllar,290000,4
Piso,barrio Paseo Independencia,358000,4
Piso,Calle Comercio,129000,3
Chalet,Camino Enmedio Miraflores,249900,6
Piso,Calle de Fray Lamberto de Zaragoza,92000,2
Piso,Calle de José Luis Albareda 6,290000,3
Piso,Calle del Porvenir,128300,1
Chalet,barrio Montecanal-Valdespartera-Rosales del Canal,535000,5
Piso,Calle de Verónica,350000,3
Chalet,Avenida de Montañana,575000,3
Piso,Avenida de César Augusto,350626,4
Piso,Paseo de Echegaray y Caballero,225055,3
Piso,barrio Universidad San Francisco,340000,3
Chalet,Avenida de Movera,160000,4
Piso,Via VÍA UNIVÉRSITAS,190000,3
Piso,barrio Doctor Cerrada,240000,2
Piso,barrio Las Fuentes,96000,3
Piso,barrio La Magdalena,85500,3
Piso,barrio Las Fuentes,129900,3
Piso,Calle del Río Gállego,126500,1
Piso,Calle del Río Gállego,115000,1
Piso,barrio San José,180000,2
Piso,Calle de María Moliner,139900,3
Piso,Calle de Franco y López,110000,3
Piso,barrio La Jota,83000,2
Piso,barrio Bombarda - Monsalud,89000,2
Piso,barrio Parque Delicias - La Bozada,82900,3
Piso,Calle Río Jiloca,175000,3
Chalet,Calle Ángel Hernández,299000,4
Chalet,Calle San Juan,289900,3
Chalet,Calle Aragón,179900,3
Piso,Calle Luces de la Ciudad,174000,3
Duplex,Avenida de Pastriz,167000,4
Piso,Paseo Sixto Celorrio,58000,6
Piso,Avenida de la Constitución 2,198000,3
Chalet,Calle de Jesús Gonzalez Cruz,230000,5
Chalet,Calle Alcubierre,275000,5
Piso,Via Univérsitas,241000,4
Piso,Avenida Galo Ponte,74900,4
Chalet,Camino Puebla,173000,4
Piso,Calle de Valero Julián Ripol Urbano,114900,3
Piso,Calle de los Condes de Aragón,270000,3
Chalet,Calle la Herrería,279900,4
Piso,Calle de los Lagos de Coronas,223200,2
Chalet,Calle Octubre,350000,5
Piso,Calle Poeta Jorge Manrique,160000,3
Piso,Calle de Maurice Ravel,169000,3
Chalet,Avenida cortes de aragon,255000,5
Piso,Calle de Luis Legaz Lacambra,260000,3
Piso,Calle de Salvador Dalí,184900,4
Piso,Paseo Constitución,695000,4
Piso,Calle de San Vicente Mártir,249000,3
Piso,Avenida de César Augusto 1,350600,4
Piso,Calle lago de coronas,220000,2
Piso,Calle del Conde de Aranda,185000,6
Piso,Calle de Virginia Woolf,212000,3
Piso,Juan José Rivas,220000,3
Piso,Residencial Paraíso,585000,6
Piso,Calle del Doctor Cerrada,160000,3
Ático,Calle de Cantín y Gamboa,485000,3
Piso,Santander,130000,3
Piso,Camino de las Torres,163000,3
Chalet,Selva de oza,236000,5
Piso,Calle de Francisco de Vitoria,297000,4
Piso,Calle del Cuatro de Agosto,140000,2
Piso,Calle de Santiago Ramón y Cajal 12,286000,3
Piso,Calle de Santiago Ramón y Cajal 12,223000,2
Piso,Calle de Santiago Ramón y Cajal 12,153000,1
Chalet,justicia 2,310000,4
Piso,Calle del Sepulcro,225055,3
Piso,Avenida Navarra 14,165000,4
Piso,Calle de los Lagos de Coronas 43,198000,3
Ático,Sagasta,240000,1
Chalet,Barrio de las Cruces s/n,249000,2
Piso,Calle Sanclemente 23,550000,4
Piso,Calle del Coso 77,397000,4
Piso,Calle de Bonifacio García Menéndez,150000,2
Duplex,Plaza de Nuestra Señora del Carmen,298000,4
Piso,Calle de Miguel de Cervantes,250000,2
Piso,La Coruña,96500,3
Piso,Calle Santa Barbara 5,173000,2
Piso,Calle del Doctor Ricardo Lozano Monzón,175000,2
Duplex,Calle Toledo,203000,4
Piso,Avenida de Cesáreo Alierta,680000,4
Piso,Calle Tomas Breton,225000,3
Ático,Calle de Edmundo D'Amicis 3,315000,3
Piso,Calle de Simón Sainz de Varanda,239900,3
Piso,Calle de Biarritz,169000,3
Piso,Paseo de Sagasta,320000,2
Piso,barrio Ruiseñores,210000,4
Chalet,Calle Ruiseñores,660000,4
Piso,Isabel La Católica,399000,5
Piso,Calle de Fray Luis Amigó 8,295000,2
Chalet,Pastriz,170000,3
Duplex,Via de la Hispanidad,560000,5
Duplex,Avenida de Juan Pablo II,369000,5
Piso,Calle Caminos del Norte,279900,3
Piso,Paseo de Cuéllar,176000,3
Piso,Calle Tomas Breton,170000,3
Piso,Paseo de las Damas 31,380000,5
Chalet,Calle Zafiro,105000,2
Chalet,Calle Los Fresnos,279000,5
