Tipo de inmueble,Dirección,Precio,Habitaciones
Piso,Calle Veterinaria María Cerrato,134900,3
Piso,Avenida del Brillante 1,185000,2
Piso,Avenida del Brillante 1,340000,4
Piso,Calle Escritor Conde de Zamora s/n,209100,3
Piso,Calle Escritor Conde de Zamora s/n,196500,2
Piso,Calle Escritor Conde de Zamora s/n,150600,1
Piso,Avenida del Brillante 1,196000,2
Piso,Avenida Gran Via Parque,89900,3
Piso,Plaza de Colón,269999,3
Chalet,Avenida del Brillante 158,1400000,6
Piso,Calle Abogado Enríquez Barrios,133999,4
Piso,Avenida de las Ollerías,144999,3
Duplex,Calle Dalmacia,99990,2
Piso,Avenida Vía Augusta 2,257000,3
Chalet,Calle las Antas 15,590000,9
Chalet,Avenida Bellavista,320000,6
Piso,Calle Juan Molina 3,184500,2
Piso,Plaza de Pineda 1,265905,4
Piso,Avenida Virgen de las Angustias 9,244000,3
Piso,Avenida del Gran Capitán s/n s/n,276010,4
Piso,Avenida Virgen de las Angustias 9,220000,2
Piso,Avenida Virgen de las Angustias 9,213000,2
Piso,Calle Al- Birka s/n,448500,4
Piso,Calle Al- Birka s/n,367000,3
Piso,barrio Judería - San Basilio,139999,2
Piso,Calle Al- Birka s/n,367000,3
Piso,Martin Gaite s/n,195000,2
Piso,Calle Académico Gracia Boix 2,270000,4
Piso,Calle Pintora María Blanchard,335000,3
Piso,Calle Platero Bernabé de los Reyes,89900,3
Piso,Calle Platero Bernabé de los Reyes 23,132000,3
Chalet,barrio Casco Histórico - Ollerías - Marrubial,244900,4
Piso,Calle Patricio Furriel,93000,3
Piso,Avenida Gran Vía Parque,99990,2
Piso,Calle Juan Valera,428000,4
Casa Rural,Calle de la Estación,195000,6
Piso,Avenida Guerrita,329700,4
Chalet,Calle Mateo Inurria,69990,3
Chalet,Plaza de las Tazas s/n,299000,5
Piso,barrio Fuensanta - Arcángel - Santuario,114900,3
Chalet,Calle José María Alcaide Cáceres,749000,4
Chalet,Calle Cursillos de Cristiandad s/n,615000,5
Chalet,Calle Cursillos de Cristiandad s/n,595000,5
Piso,barrio Fátima - Campiñuela,124900,3
Piso,barrio Fuensanta - Arcángel - Santuario,89900,3
Piso,Calle Marqués de Guadalcázar,105000,4
Piso,Calle Carmen López Román,144900,4
Chalet,Calle Cursillos de Cristiandad s/n,575000,5
Chalet,segunda romana,205000,4
Casa Rural,CO-8401 9,275000,4
Chalet,Almodovar del Río,180000,6
Chalet,Calle Silencio 5,65000,3
Chalet,Calle los Claveles,240000,4
Chalet,Calle Santo Cristo,75000,4
Chalet,barrio Sector sur - Santa Cruz,84900,3
Piso,Calle José María Valdenebro 5,139900,3
Piso,barrio Ciudad Jardín,160000,5
Piso,barrio Ciudad Jardín,175000,3
Chalet,barrio Ciudad Jardín,315000,5
Piso,barrio Ciudad Jardín,134000,2
Chalet,Vía 61,489000,5
Piso,barrio Ciudad Jardín,139900,3
Chalet,barrio El Higuerón,164900,3
Piso,Calle Teresa de Calcuta,175000,3
Piso,Calle Bailarina Anna Paulova,280000,2
Piso,Calle Teresa de Calcuta,175000,3
Chalet,barrio Paraíso Arenal - La Colina,329900,4
Piso,Avenida de América,206000,2
Piso,Calle El Manantial,433000,4
Piso,Avenida de América,333500,3
Piso,Calle Abogado Enríquez Barrios 9,160000,5
Piso,Avenida de América,163000,1
Piso,Calle El Manantial,300000,3
Piso,Calle Virgen del Perpetuo Socorro,144900,3
Casa Rural,Calle Fuente del Conde 96,330000,5
Piso,Plaza de Vista Alegre,149999,2
Chalet,De las Piedras 5,209900,4
Piso,barrio El Vial - Ronda de Tejares,199000,2
Piso,Isla Graciosa,245000,4
Piso,Calle Diego Serrano,134999,3
Piso,Calle Diego Serrano,244999,7
Piso,Calle Juego de Pelota,64600,2
Piso,Calle Víctor Escribano Ucelay 1,198990,2
Piso,barrio El Vial - Ronda de Tejares,299000,4
Piso,barrio San Cayetano,220000,4
Chalet,Calle Cuevas de la Gran Roma,830000,6
Piso,Calle Diego Serrano,139900,4
Piso,barrio Levante,123000,2
Piso,barrio Fuensanta - Arcángel - Santuario,120000,3
Piso,barrio Ciudad Jardín,182000,2
Chalet,Lugar Palacio de la Galiana 12,596500,5
Chalet,Calle de la Reunión 7,298000,4
Piso,Calle Rosario Vázquez Angulo 1,318957,3
Casa Rural,Baena,1950000,6
Chalet,barrio Alcolea,184000,3
Piso,Calle la Farsalia 16,99987,1
Chalet,Calle Juan de Cervantes,478000,6
Ático,Calle Joaquin Sama Naharro,229999,2
Piso,Calle Pintor Zurbarán,127990,4
Chalet,Calle Manos Unidas,189999,3
Chalet,Calle Federico García Lorca,144900,3
Piso,Calle Muñices,125000,2
Chalet,encinares de alcolea s/n,330000,5
Piso,Avenida Doctor Fleming,159900,4
Piso,Calle Corto Maltés,168990,3
Piso,Calle Pintor Espinosa,139999,4
Piso,Calle Vázquez Aroca,184900,5
Chalet,encinares de alcolea s/n,330000,5
Piso,Calle del Evangelio,179900,4
Piso,Avenida de los Almogávares,144999,3
Chalet,Calle Juan de Cervantes,478000,6
Piso,barrio Ciudad Jardín,164900,3
Chalet,Calle Pintor Alonso Martinez,224990,3
Piso,Calle Maestro Priego López,99900,4
Piso,Calle Marqués de Guadalcázar,109990,2
Piso,Avenida Vallellano,219900,4
Chalet,Urbanización Injertal de las Cuevas,178990,4
Piso,Paseo del Romeral,75000,3
Piso,Calle María Malibrán,240000,4
Piso,Calle Fernando IV,129000,3
Piso,Calle Fray Diego de Cádiz,237000,3
Piso,Calle Noques,115000,3
Piso,Calle Algeciras,32999,2
Piso,Calle Escritora Dulcenombre Chacón,189000,2
Chalet,Calle Cristo,190000,3
Piso,Avenida Cruz de Juárez,70800,4
Piso,Plaza de Colón,259348,3
Piso,Ronda del Marrubial,139995,3
Piso,Calle de Saturno,148900,4
Piso,barrio Levante,175000,4
Piso,barrio San Cayetano,308000,4
Piso,barrio San Cayetano,99000,3
Chalet,Iznajar,18000,3
Chalet,Almodovar del Río,109000,3
Piso,barrio Noreña - Turruñuelos,164500,2
Casa Rural,Carretera TRASSIERRAS s/n,220000,6
Chalet,Iznajar,20000,2
Chalet,Calle Maestre Escuela,549500,6
Chalet,Iznajar,36900,3
Chalet,LOMAS DEL REY s/n,345000,4
Piso,barrio Centro,158528,2
Piso,Avenida Avenida Donantes de Órganos 18,217000,3
Ático,barrio El Vial - Ronda de Tejares,345000,3
Piso,barrio Ciudad Jardín,67000,1
Chalet,A-4,700000,4
Chalet,A-4,700000,4
Piso,Calle Conquistador Ordoño Álvarez s/n,137000,3
Piso,barrio Sector sur - Santa Cruz,74900,2
Piso,barrio Ciudad Jardín,67000,1
Piso,A-4,745000,3
Piso,Avenida BARCELONA,145000,4
Piso,barrio Ciudad Jardín,125000,2
Piso,barrio Ciudad Jardín,135000,3
Piso,barrio Ciudad Jardín,124999,3
Piso,Calle Infanta Doña María,100000,2
Piso,barrio Ciudad Jardín,183000,4
Casa Rural,Bandanas,375000,5
Piso,barrio Centro,250000,4
Chalet,barrio Valdeolleros - Zumbacón - Camping,314995,4
Piso,barrio La Viñuela,99900,3
Piso,barrio San Cayetano,192500,2
Piso,barrio Noreña - Turruñuelos,179900,3
Piso,barrio Fátima - Campiñuela,198000,4
Casa Rural,barrio Trassierra - Las Jaras,2300000,10
Piso,barrio Levante,139900,3
Ático,barrio Casco Histórico - Corredera - Ribera,84500,3
Piso,Urbanización Parque de las Avenidas,179900,4
Piso,Calle Alonso el Sabio,99900,3
Chalet,Calle Pompeya Paulina,89900,3
Chalet,Almodovar del Río,179999,3
Piso,barrio Valdeolleros - Zumbacón - Camping,226700,4
Piso,barrio Ciudad Jardín,154000,2
Piso,barrio Cercadilla - Medina Azahara,172000,2
Piso,Ronda de los Tejares,345000,4
Piso,barrio Zoco - Poniente,183900,3
Chalet,barrio Cañero - Fidiana,220000,5
Piso,barrio Casco Histórico - Ollerías - Marrubial,240000,3
