Tipo de inmueble,Dirección,Precio,Habitaciones
Chalet,Pepino,80000,2
Chalet,El Pilar - La Estación,280000,4
Chalet,Yuncos,219900,3
Chalet,Señorío de Illescas,248900,3
Chalet,Calle Antares 27,245000,3
Piso,Torrijos,72500,3
Chalet,Calle del Quejigo,295000,4
Chalet,Señorío de Illescas,248900,3
Chalet,Señorío de Illescas,308000,4
Piso,Yuncos,133900,3
Chalet,Señorío de Illescas,380000,4
Chalet,Polan,125000,4
Chalet,Yeles,265000,3
Chalet,Centro,379000,4
Chalet,Carranque,373000,3
Chalet,Alameda de la Sagra,149000,5
Piso,Calle Paz,65000,3
Chalet,Yeles,176000,4
Chalet,Olias del Rey,250000,4
Chalet,Novés,165000,4
Piso,Casco Histórico,419000,2
Chalet,El Viso de San Juan,206000,4
Chalet,Cuerva,39990,3
Chalet,Yuncos,416000,4
Chalet,Quismondo,99990,7
Piso,Callejón Cura,79990,3
Piso,Calle Bulas,159900,1
Chalet,Camino Monte 12,150000,3
Piso,Calle de San Marcos,135000,2
Piso,Buenavista-Valparaíso-La Legua,189000,2
Piso,Antequeruela y Covachuelas,135000,3
Piso,Casco Histórico,319000,3
Piso,Cedillo del Condado,115000,2
Piso,Casco Histórico,149900,1
Chalet,Calalberche,212900,4
Chalet,Carranque,205000,4
Piso,Gerindote,65000,2
Ático,Gerindote,54000,1
Piso,Portillo de Toledo,96990,4
Piso,Buenavista-Valparaíso-La Legua,380000,4
Chalet,Carranque,249000,4
Chalet,Señorío de Illescas,455000,5
Chalet,Ugena,245000,4
Duplex,ARENAL,129000,4
Chalet,El Viso de San Juan,135000,3
Duplex,ARENAL,129000,4
Chalet,Bargas,295000,6
Chalet,Yuncos,199000,4
Duplex,Méntrida,138000,3
Casa Rural,Calle Gardenia,300000,6
Piso,Méntrida,125000,2
Chalet,Méntrida,150000,3
Chalet,Méntrida,249990,4
Chalet,Cedillo del Condado,275000,4
Chalet,Méntrida,565000,5
Chalet,Guadamur,199000,4
Piso,Calle Río Valdeyernos,89900,3
Piso,C. Arroyo de San Andres 6,53100,2
Chalet,Calle Venus,249900,4
Chalet,Calypo Fado,230000,4
Chalet,Bº Estación - Cruz Roja,259900,3
Chalet,Señorío de Illescas,437750,4
Chalet,Calle ALAMO 1,120000,4
Chalet,CODORNIZ s/n,195000,3
Piso,Torrijos,118000,4
Piso,GENERAL MOSCARDO,74900,3
Chalet,Palomeque,156050,3
Chalet,Señorío de Illescas,345200,4
Piso,Paseo de la Rosa,103990,2
Chalet,Novés,185000,4
Piso,Bargas,89900,2
Chalet,Carranque,260000,3
Duplex,Calle Recogidas,89900,1
Chalet,Palomeque,194000,6
Chalet,Santa Cruz del Retamar,145000,3
Chalet,CENTRO s/n,99000,3
Chalet,Yuncos,234000,3
Chalet,GARRIGAL s/n,66000,3
Chalet,Plaza Tintes,74900,4
Chalet,centro 1,130000,3
Chalet,soto s/n,59000,4
Piso,ANCHA s/n,75000,3
Chalet,la viña 24,130000,4
Chalet,Seseña Centro,130000,3
Chalet,Avenida Santa Clara,426000,4
Chalet,Seseña Centro,130000,3
Piso,Ronda Buenavista,174990,3
Chalet,Calle Carahorma G,59900,4
Piso,El Pilar - La Estación,45000,3
Duplex,AV ESTACION 10,50700,2
Piso,Calle isaac peral,37900,1
Chalet,Calle sevilla,56900,4
Chalet,Avenida de San Roque,135000,4
Piso,Avenida del príncipe s/n,92000,3
Chalet,Méntrida,111900,3
Piso,El Pilar - La Estación,114300,2
Piso,Torrijos,114500,3
Chalet,Parque - Ctra de Ugena,259000,3
Chalet,Ontigola,171800,4
Chalet,Parque - Ctra de Ugena,176000,4
Duplex,Avenida Félix Arranz s/n,87500,2
Piso,doce de octubre s/n,65000,3
Piso,ERILLAS s/n,62000,2
Chalet,Avenida Rufino Rubio 1542,161000,3
Chalet,Calle Prado 6,245760,5
Chalet,Avenida Ferrocarril 32,186000,5
Chalet,Urbanización Gran Chaparral 2,299000,4
Piso,Yeles,124840,3
Piso,Calle Montesclaros,46500,3
Duplex,val de santo domingo 1,52850,3
Chalet,Méntrida,140000,3
Chalet,Calle Sur 19,144000,3
Piso,Calle Pocilla,169999,3
Casa Rural,Carretera de oropesa a Puente de Arzopispo,670000,2
Chalet,Calle Huertas,165000,3
Casa Rural,Calle Azafran,95000,3
Chalet,Bajada San Jerónimo,1300000,6
Chalet,Nalón 3,149000,4
Chalet,POZANCAS s/n,50000,4
Casa Rural,urbanización Lagunas,175000,5
Chalet,madridejo,7500,4
Piso,comuneros de castilla,33000,2
Chalet,EL PARQUE,287000,6
Piso,Nuestra Señora de la Piedad,29900,3
Casa Rural,polígono 34,370000,2
Chalet,pedro calderon de la barca 99,59000,3
Chalet,EL PARQUE,287000,6
Chalet,centro s/n,107000,3
Casa Rural,Carretera N-403,670000,2
Duplex,CENTRO s/n,61000,2
Piso,Calle San Andrés,49900,2
Duplex,Diego Lopez,118000,3
Piso,San Juan de Dios,57300,3
Chalet,Calle Pielago,123000,3
Piso,pio xii,39900,3
Chalet,rosales,89990,3
Chalet,Méntrida,179900,3
Chalet,Calle Mayor,169900,4
Chalet,Travesía Mina,99900,4
Chalet,Calle EL TEIDE,339000,4
Casa Rural,Ajofrin,259000,6
Chalet,Calle Enebro 2,180000,4
Chalet,Plaza Constitución 9,59900,4
Chalet,MASCARAQUE s/n,187900,4
Chalet,PABLO PICASSO s/n,185000,4
Piso,Ronda Buenavista,290000,4
Chalet,Calle Isla Dragonera,219000,3
Piso,Sta Mª de Benquerencia,118900,3
Chalet,Calle Cetrería,475000,5
Piso,GENERAL MOLA s/n,43833,2
Piso,Calle Cruz Verde,63000,3
Piso,Calle de los Robles,480000,7
Piso,Villaluenga de la Sagra,55000,3
Chalet,Calle de Perejon,75000,5
Duplex,Calle Ancha,120000,3
Chalet,Camino DE HUECAS s/n,185000,3
Duplex,Esquivias,146000,3
Chalet,CABRERA s/n,115000,3
Piso,Plaza DEL SAGRARIO s/n,99000,4
Chalet,Camino Bajo los Nuevos,369900,4
Piso,Calle General Asensio 51,35000,2
Piso,malpica s/n,24000,2
Chalet,Calle Los Caramelos,50000,4
Duplex,RAMON Y CAJAL s/n,88000,3
Chalet,MIGUEL DE CERVANTES s/n,59900,3
Chalet,CLAVEL s/n,150000,3
Chalet,GARGANTILLA s/n,88000,4
Chalet,CABRERA s/n,115000,3
Chalet,Calle Los Caramelos,50000,4
Chalet,Calle Toledo,150000,4
Chalet,Pedro Calderon De La Barca 15,73000,3
Piso,Calle General Asensio 51,35000,2
Estudio,ARROYO ABAJO 10,31000,0
Chalet,PEDRO CALDERON DE LA BARCA s/n,52100,3
Piso,Plaza DEL SAGRARIO s/n,99000,4
Chalet,Calle del Arce 7,259900,3
Piso,VIRGEN LORETO s/n,27800,3
Chalet,MIGUEL DE CERVANTES 63,60000,3
Chalet,CENTRO s/n,120000,3
Duplex,RAMON Y CAJAL s/n,88000,3
Chalet,VEGUILLLA s/n,65000,4
Chalet,albatros s/n,89000,3
Duplex,Esquivias,146000,3
Chalet,MIGUEL DE CERVANTES s/n,59900,3
Chalet,Calle Petunia,199900,3
Piso,Calle TOLEDO,76900,2
Chalet,Avenida RUFINO RUBIO 4,207900,4
Chalet,Parque Manuel de Vega s/n,256000,3
Chalet,El Viso de San Juan,235000,4
Chalet,El Viso de San Juan,239900,4
Ático,Cedillo del Condado,86000,1
Piso,constitución s/n,46300,2
Piso,CENTRO s/n,37000,1
Chalet,Avenida de Ramos,3200000,5
Piso,Bajada San Justo 9,139900,2
Chalet,Calle los Rosales,71000,4
Chalet,Calle el Herradero,74000,3
Chalet,Calle Castillo de Belmonte,87000,3
Piso,Alamillo,100000,3
Piso,Avenida Rufino Rubio 232,106000,3
Piso,bombilla s/n,32300,2
Piso,Cedillo del Condado,120000,2
Piso,Camino DEL MONTE s/n,29000,2
Casa Rural,Calle Ortum Sancho,79000,6
Piso,Calle Concha Espina,55900,2
Chalet,Los Cigarrales-La Bastida,512000,7
Chalet,Calle Toledo,55000,3
Chalet,Las Ventas de Retamosa,207000,4
Duplex,Valmojado,135000,3
Piso,Valmojado,105000,2
Chalet,Cobeja,89998,4
Chalet,Yeles,199900,3
Chalet,Parque - Ctra de Ugena,279620,5
Chalet,Lominchar,169000,4
Chalet,Chozas de Canales,220000,4
Casa Rural,Méntrida,370000,2
Chalet,Yuncler,362705,7
Chalet,SANTANDER,99900,3
Chalet,Señorío de Illescas,282100,3
Chalet,RESIDENCIAL LAS ESTEPAS,84900,4
Chalet,Chozas de Canales,135000,4
Piso,Calle Mar Mediterraneo 27,79900,2
Chalet,Parque - Ctra de Ugena,239000,4
Piso,mahon s/n,68000,2
Chalet,REAL 77,144900,4
Piso,Calle Cava Alta,60000,3
Chalet,Calle Río Vero 4,187000,6
Chalet,sierra cazorla 14,226000,4
Chalet,La Calzada de Oropesa,599000,17
Piso,LEPANTO s/n,48900,2
Chalet,Pepino,329900,4
Chalet,Avenida Rufino Rubio 14,256000,6
Chalet,EL CHOPO 19,149900,3
Piso,Calle San Cipriano 1,99900,3
Piso,RUFINO RUBIO 14,130000,3
Chalet,Rio Duero 2,266000,3
