Tipo de inmueble,Dirección,Precio,Habitaciones
Chalet,Calle San Isidro 37,780000,10
Piso,Cuesta Blanquilla 2,74400,2
Piso,Plaza de la Palmera 10,158000,2
Chalet,Calle Mirlo 17,175000,3
Chalet,Calle Larga 22,98000,4
Chalet,Calle Ramón y Cajal 36,310000,4
Piso,Calle Doctor Ramón y Cajal 42,89000,2
Piso,Calle Mejorana 3,83000,2
Piso,Calle Torre de la Cautiva,359000,3
Chalet,Cotobro,311000,3
Piso,Camino de Ronda,200000,5
Chalet,Calle Belpanorama,650000,4
Piso,Calle Doctor Ramón y Cajal 42,89000,2
Piso,Calle Monachil,185000,3
Piso,Paseo de Velilla,150000,2
Piso,Camino de Ronda,187000,3
Chalet,Urbanización Los Chopos,610000,5
Chalet,Calle Altos de la Zubia,399990,6
Chalet,Calle reconquista,185000,3
Ático,Calle Gran Vía de Colón,229000,2
Chalet,Calle alcazaba,425000,6
Chalet,Calle los Tulipanes,325000,5
Chalet,Avenida de los Almendros,360000,3
Piso,Calle Nueva de San Antón,295000,5
Piso,Calle San Juan Baja,270000,3
Chalet,Calle de la sultana,580000,5
Piso,Calle Aixa,99500,2
Piso,Calle Manolé,176000,4
Piso,Calle Álvarez Pelayo,146000,2
Piso,barrio Carrera de la Virgen - Paseo del Salón,260000,2
Ático,Fray Junípero Serra,120000,2
Piso,Carretera de Málaga,157000,4
Piso,barrio Recogidas,450000,4
Piso,Pensamiento,84900,4
Duplex,Calle Entrala y Durán,129900,3
Duplex,Cajar,175000,3
Chalet,Calle Honda del Pozo,295000,4
Chalet,Calle Tierno Galván,230000,3
Chalet,Calle Catamarán 2,179000,4
Piso,Calle Recogidas,345000,3
Chalet,Calle Zamora,160000,4
Ático,Camino de Ronda,239900,3
Chalet,Carretera de la Sierra,1390000,5
Chalet,Motril pueblo,126500,5
Chalet,Santa Fe,367000,3
Chalet,San Miguel,242900,3
Piso,Zona de San Cayetano,105000,2
Chalet,Albolote,199000,3
Piso,Paseo del Altillo,353000,3
Piso,Almuñecar Centro,155000,3
Piso,Zona Parque de la Ermita,125000,3
Chalet,Albaicín,1150000,8
Chalet,barrio Molinos - Santiago,380000,4
Chalet,Albaicín,498000,5
Chalet,Albaicín,375000,3
Piso,San Miguel,78000,1
Chalet,Otura,310000,3
Chalet,Calle mulhacen,136500,3
Chalet,barrio La Herradura,339900,5
Piso,Almuñecar Centro,149900,3
Chalet,Velilla - Velilla Taramay,590000,4
Chalet,Camino de la Sierra,299500,5
Chalet,Calle F-1,249500,4
Chalet,Cotobro,299900,3
Chalet,Almuñecar Centro,179900,4
Chalet,Paseo de los Barrancones 100,399900,4
Piso,Motril pueblo,119900,3
Piso,Paseo MARITIMO,160000,4
Piso,Calle Maestro Lecuona,165000,2
Chalet,Zaidín,289000,3
Piso,Albolote,129900,1
Chalet,Albolote,189900,3
Piso,PICOS DE EUROPA 4,149000,3
Piso,barrio Plaza de Toros,399000,4
Piso,Maracena,109900,3
Piso,Maracena,99900,4
Chalet,Albolote,189900,3
Chalet,Maracena,179900,3
Piso,Maracena,94900,3
Chalet,Albolote,139900,4
Chalet,Calle Aurora,150000,2
Duplex,Maracena,159900,3
Casa Rural,Cadiar,289900,2
Piso,Calle San Pedro Mártir 38,265000,2
Piso,Avenida Circunvalación 10,138000,2
Chalet,Maracena,189900,3
Chalet,Atarfe,64900,2
Piso,Joan Miró,94990,2
Piso,Calle PIZARRO,94990,2
Chalet,Vereda VEDRIL,199000,2
Chalet,Avenida Molino Alto s/n,519000,5
Chalet,Calle Agua Marina 49,170000,3
Piso,angel ganivet 6,498000,3
Piso,Cuesta Blanquilla 2,75900,2
Piso,SAN PEDRO MARTIR 38,265000,2
Piso,BUENSUCESO 24,269000,4
Casa Rural,Santa Fe,84900,1
Piso,Calle Doctor Azpitarte,200000,4
Piso,Calle Sol,205000,3
Chalet,Pitágoras,335000,4
