Tipo de inmueble,Dirección,Precio,Habitaciones
Piso,Calle Adelfas,104900,3
Piso,Calle Angeles,119000,3
Ático,Calle Virgen del Carmen,170000,3
Piso,Calle de la Paz,92000,3
Piso,Calle Murillo,95000,3
Piso,Calle Barcelona,131000,3
Piso,Calle de la Olma,228500,4
Chalet,Calle Alta,99000,2
Chalet,Calle Candelaria,135000,3
Chalet,Calle Santa Teresa,105000,3
Piso,Calle Huesca,45000,2
Piso,Calle Mayor,93000,4
Chalet,Avenida Churra,390000,5
Chalet,Carril Viveros Municipales,390000,6
Piso,Calle Salzillo,115000,3
Chalet,Avenida Churra,390000,5
Piso,barrio Baños y Mendigo,130000,2
Piso,Calle Adelfas,86500,3
Chalet,Calle Trampolin I,249000,4
Piso,Calle Rosalinda,85000,3
Piso,Calle Huesca,45000,2
Chalet,Calle Santa Teresa,105000,3
Chalet,Carril Viveros Municipales,390000,6
Piso,Calle Entierro de la Sardina,125000,3
Chalet,Calle Aire,252000,3
Chalet,barrio Cabezo de Torres,340000,5
Piso,barrio El Carmen,255000,3
Piso,barrio La Flota,180000,4
Chalet,barrio Rincón de Beniscornia,850000,4
Piso,barrio Zona Juan Carlos I,360000,3
Ático,barrio El Palmar,179000,3
Piso,Avenida de Juan Carlos I,300000,5
Piso,mayor 51,91900,2
Piso,Calle Morera 3,485000,4
Piso,Calle Plano de San Francisco,256000,3
Ático,Calle Morera 3,575000,3
Ático,Calle Morera 3,650000,4
Duplex,barrio El Palmar,174900,3
Piso,Calle Escuelas,449430,1
Piso,barrio San Pío X,68000,1
Piso,barrio San Pío X,85000,2
Piso,Avenida Juan Carlos I,110000,3
Piso,barrio San Andrés-San Antolín,99000,4
Piso,Calle Nuestra Señora de los Ángeles 4 -18,72000,2
Piso,Travesía Campillo 10 1,87000,3
Chalet,Avenida de Murcia 27,99000,3
Chalet,EL ESPARRAGAL 5,420000,5
Piso,Torreaguera s/n,75000,2
Piso,La Alberca 4,109000,3
Chalet,La Alberca s/n,210000,4
Casa Rural,Urbanización Pañero Brugarolas 8,314900,5
Piso,Avenida JUAN DE BORBON 80,225000,2
Duplex,Calle Océano Índico 32,180000,4
Duplex,Calle Zeneta 2,143000,4
Piso,CENTROFAMA s/n,423200,4
Casa Rural,Urbanización Pañero Brugarolas 8,314900,5
Piso,Avenida JUAN DE BORBON 80,225000,2
Piso,Avenida Reina Sofia,74900,1
Chalet,Camino torre abril 55,220000,5
Duplex,Senda de Granada,420000,4
Ático,Guadalupe s/n,298000,4
Chalet,Calle José Balsalobre 1,179900,3
Piso,Calle La Palmera 7,249000,2
Ático,Avenida Don Juan de Borbón,330000,4
Piso,Calle Desembojo,190000,2
Duplex,Calle Columbares,104000,3
Duplex,barrio Vistabella,240000,4
Chalet,barrio El Esparragal,470000,5
Piso,barrio Santa Eulalia,249500,3
Piso,barrio El Carmen,320000,4
Chalet,barrio Beniaján,490000,5
Piso,barrio Santa María de Gracia,393900,3
Chalet,barrio Puebla de Soto,195000,3
Piso,barrio Espinardo,260000,4
Piso,barrio El Palmar,720000,4
Piso,barrio Corvera,134000,3
Chalet,barrio Los Dolores,198000,5
Duplex,barrio Espinardo,125000,4
Chalet,barrio El Palmar,590000,4
Piso,barrio Zona Juan Carlos I,340000,3
Duplex,barrio Sangonera la Seca,159000,4
Piso,barrio San Benito-Patiño,149900,3
Casa Rural,barrio Guadalupe,439900,6
Chalet,barrio El Palmar,1100000,6
Chalet,barrio Puente Tocinos,250000,4
Piso,barrio Los Dolores,155000,3
Piso,barrio San Miguel,1290000,6
Piso,barrio Casillas,166000,5
Piso,barrio San Lorenzo,330000,2
Chalet,barrio El Esparragal,550000,6
Piso,barrio El Palmar,290000,4
Piso,barrio Santa Eulalia,125000,3
Piso,barrio Santa Eulalia,295000,5
Piso,barrio Santa María de Gracia,195000,3
Piso,barrio Zona Juan de Borbón,310000,3
Chalet,Calle Juan Nortes,120300,3
Piso,barrio El Puntal,199900,2
Piso,barrio Santa Eulalia,125000,3
Chalet,Carril DE LOS LEALES 25,650000,6
Piso,Calle Conchita Rosa Escribano,92000,3
Chalet,Calle Pintor Pedro Flores,152300,3
Piso,Avenida Ciudad Sanitaria 3,332000,4
Piso,Calle Riquelme,431000,4
Piso,Calle Adelfas,114900,4
Piso,Calle de la Peña 55,96000,3
Piso,Ronda del Golf 65,99900,2
Piso,Calle Minerva,79000,3
Piso,Avenida Ciudad Sanitaria 3,381700,4
Piso,Calle Adelfas,109900,4
Piso,Calle Adelfas,105900,3
Piso,Avenida Francisco Jiménez Ruiz 18,420000,3
Ático,Calle Espinardo,248000,3
Piso,Calle Músico Antonio Rodríguez de Hita,189900,3
Duplex,Avenida Juan Carlos I El puntal,230000,4
Chalet,Calle Junco,154000,4
Chalet,Rosario 39,115000,3
Chalet,Paseo del Malecón,480000,6
Chalet,Calle de Los Caños 3,380000,6
Piso,El Carmen,221500,5
Ático,Calle de La Cruz s/n,345000,5
Duplex,Libertad,205000,3
Chalet,Calle Valle 39,350000,4
Piso,Plaza Juan XXIII,295000,3
Piso,Plaza José Esteve Mora,390000,3
Piso,Calle Seda,150000,3
Piso,Calle Princesa,189000,4
Piso,Plaza Juan XXIII 11,185000,3
Ático,Cobatillas,105000,2
Piso,Calle Torre de Romo,125000,2
Piso,barrio San Miguel,335000,3
Chalet,Diseminado Carretera Beniel 93 A,370000,3
Ático,Monteagudo,125000,3
Chalet,Calle Gilandario,99900,3
Piso,Calle Rosalía de Castro 42,174000,3
Piso,barrio Santiago el Mayor,125000,3
Chalet,Calle Pedáneo Francisco Hernandez s/n,299900,3
Piso,Calle Comunidad - Periodista Julia Otero y Camino Bartolejos s/n,204800,3
Chalet,Calle Pedáneo Francisco Hernandez s/n,360000,3
Piso,Calle Comunidad - Periodista Julia Otero y Camino Bartolejos s/n,193600,3
Piso,barrio La Alberca,105000,2
Piso,Avenida Juan Carlos I 77,226400,3
Chalet,868355367,Calle Marbella s/n,380000
Chalet,868355367,Calle Marbella s/n,345000
Piso,Avenida Río Madera  s/n,326000,3
Chalet,Calle Mariano Rojas,235000,4
Chalet,868355367,Calle Marbella s/n,320000
Piso,Avenida Juan Carlos I 77,273900,3
Piso,Paseo Joaquín Garrigues Walker 18,340000,3
Piso,Calle San Antonio,41000,3
Piso,Calle Nuestra Señora Paso,109000,2
Piso,Calle Escuelas,100000,4
Chalet,Diseminado Carril Romera 64,249900,0
Piso,Calle Alejandro Seiquer 2,415000,5
Piso,Diseminado Camino Viejo Aljucer,94000,3
Piso,Calle San Juan 4,112500,3
Piso,Via gran 12,875000,5
Piso,Calle Adelfas,108900,4
Piso,Calle Santa Rosa,92000,3
Chalet,Calle Peraleja Vial 11,598000,3
Ático,Calle González Adalid,390000,3
Piso,Paseo de Garay,140000,2
Casa Rural,Avenida Santa Catalina,130000,3
Piso,Avenida Miguel Ángel Blanco,149500,2
Piso,barrio Vista Alegre,760000,3
Piso,Calle José Luis Morga,136000,2
Ático,barrio Catedral,920400,4
Piso,barrio La Fama,495000,4
Ático,barrio Zona Juan de Borbón,395000,3
Chalet,paraje valle del Sol 16,350000,4
Ático,barrio Guadalupe,285000,3
Piso,barrio Santa Eulalia,228000,4
Chalet,barrio Santa Cruz,233000,3
Piso,barrio Catedral,600000,4
Piso,barrio Zona Juan Carlos I,223000,2
Piso,Calle de la Iglesia,300000,3
Piso,barrio San Nicolás,350000,3
Piso,barrio Zona Juan Carlos I,385000,3
Piso,Calle Jorge Juan,300000,4
Ático,barrio Guadalupe,285000,3
Chalet,barrio Santa Cruz,233000,3
Piso,barrio Zona Juan Carlos I,223000,2
Piso,barrio Santa María de Gracia,231000,4
Piso,barrio Zona Juan de Borbón,385000,3
Ático,barrio Zona Juan Carlos I,400000,3
Chalet,barrio Sangonera la Seca,169000,3
Piso,barrio Santa Catalina-San Bartolomé,295000,4
Piso,barrio San Antón,199000,3
Piso,barrio Espinardo,215000,3
Chalet,barrio El Esparragal,518000,7
Piso,barrio El Carmen,114000,3
Ático,barrio Zona Juan de Borbón,390000,4
Chalet,barrio El Palmar,750000,6
Piso,barrio Santa Eulalia,295000,4
Piso,barrio San Antón,167000,2
Estudio,barrio El Puntal,198000,0
Piso,barrio Santa Catalina-San Bartolomé,378000,4
Piso,barrio La Fama,399000,3
Piso,barrio El Puntal,245000,3
Piso,barrio Santa Eulalia,228000,4
Piso,barrio El Carmen,198000,2
Piso,barrio Vista Alegre,570000,3
Piso,Calle Doctor Jose Tapia Sanz 2,355000,4
Chalet,Calle sumatra,627000,3
Piso,Calle Sierra de Peñarrubia,199000,3
Ático,barrio Torreagüera,95000,2
Piso,Avenida Juan de Borbón 79,236000,2
Piso,Calle Rocío 2,90000,3
Piso,Calle Sierra de Peñarrubia,159000,2
Chalet,Diseminado Pino Doncel 28,465000,5
Duplex,barrio San José de la Vega,124000,3
Piso,barrio San Miguel,450000,4
Piso,San Antonio 1,75000,2
Piso,Calle San Josemaría Escrivá s/n,241400,3
Piso,Calle Rio Zumeta,279000,3
Piso,Calle San Josemaría Escrivá s/n,241400,3
Piso,Avenida Marina Española  s/n,283266,3
Ático,Calle San Josemaría Escrivá s/n,358050,4
Piso,Avenida Marina Española  s/n,278063,3
Piso,Calle Cronista Carlos Valcárcel,229900,3
Piso,barrio Espinardo,120000,3
Piso,barrio La Alberca,125000,3
Piso,Avenida Juan Carlos I,199990,4
Chalet,Felipe II,159000,5
Casa Rural,Calle Barranquete,179990,3
Piso,Paseo Florencia,182000,3
Piso,barrio Beniaján,75000,2
Piso,barrio San Pedro,165000,2
Piso,Calle Pedro García Villalba,115000,2
Piso,barrio El Puntal,97000,2
Piso,Calle Esperanza,149990,3
Chalet,Calle Abelardo Valero,114500,4
Piso,Avenida Don Juan de Borbón,179000,2
Piso,barrio Los Ramos,380000,5
Piso,Calle Escritor Sánchez Moreno 3,235000,5
Piso,barrio Santa Catalina-San Bartolomé,290000,1
Piso,Calle Atlántico,104900,2
Ático,barrio Sangonera la Verde,93000,2
Piso,barrio El Raal,110000,3
Chalet,Camino de las Casas,340000,6
Piso,barrio San Miguel,276899,3
Chalet,Portón de los Jerónimos,690000,3
Piso,Avenida Juan de Borbón 79,319800,3
Ático,barrio Puente Tocinos,189000,3
Piso,Calle Bando de la Huerta,449000,4
Chalet,Calle Camelias 8,475000,4
Chalet,Urb. Porton de los Jerónimos,1199000,5
Piso,Avenida Marina Española 59,360000,3
Piso,Avenida Marina Española 59,427000,4
Piso,Calle Torre de la Marquesa,195000,3
Ático,Calle Alcacil,88000,3
Piso,Calle Paz,119900,3
Piso,Avenida Constitución,40000,2
Piso,Avenida Marina Española 59,170000,1
Piso,barrio San Miguel,259000,2
Piso,Avenida Juan de Borbón 79,319800,3
Ático,Avenida Juan de Borbón 79,691200,4
Piso,Vereda la Venta 14,89990,5
Duplex,barrio La Alberca,260000,5
Piso,Calle Doctor Jose Tapia Sanz 2,350000,4
Ático,Avenida de la Marina Española s/n,445203,4
Piso,Calle Gabriel Pinazo Núñez,135000,4
Piso,Glorieta de España,330000,1
Chalet,de la Peña 10,320000,3
Ático,Calle la Llana 8,142500,2
Piso,Avenida de la Marina Española s/n,241160,3
Piso,Calle Almirante Gravina,175000,3
Chalet,Calle Conde de Floridablanca 10,560000,4
Chalet,Carril Galvez 21,1100000,4
