Tipo de inmueble,Dirección,Precio,Habitaciones
Piso,Avenida EL FERIAL 24,105000,3.0
Casa Rural,Morales s/n,109000,4.0
Piso,Villalpando 34,160000,3.0
Chalet,Oriente,39000,3.0
Chalet,carrizos 5,140000,8.0
Casa Rural,Diseminado Diseminados,200000,3.0
Piso,Calle Amargura,325000,4.0
Casa Rural,Calle zamora 42,350000,10.0
Chalet,Diseminado Ribadelago fran 1,480000,15.0
Chalet,León Felipe,360000,5.0
Piso,Doctor Fleming,80000,3.0
Duplex,Calle de la hiniesta,110000,3.0
Piso,Calle Parada del Molino,75000,1.0
Chalet,Toro s/n,183900,2.0
Chalet,Mayalde,75000,3.0
Casa Rural,Travesía santiago,127000,8.0
Piso,Cuesta de la morana,75000,4.0
Chalet,Calle Lotero,180000,9.0
Piso,Avenida de Portugal 30,170000,3.0
Piso,Calle Argentina,63000,3.0
Chalet,Calle Lotero,180000,9.0
Piso,Los Bloques,65000,3.0
Casa Rural,Calle Panera,145000,3.0
Piso,Calle Valderrey,100000,1.0
Casa Rural,Calle Plantio,85000,3.0
Chalet,Real,32500,3.0
Ático,Calle de Churruca 50,187500,3.0
Piso,Avenida del Cardenal Cisneros 20,145000,3.0
Ático,Calle Churruca 50,187500,3.0
Piso,Travesía Iglesia 8,51000,4.0
Piso,Churruca 50,126500,2.0
Piso,Calle Bolas 6,91000,3.0
Piso,Calle Amargura 8,325000,4.0
Chalet,Calle Iglesia 2,53000,2.0
Piso,Avenida del Cardenal Cisneros 20,145000,3.0
Piso,Churruca 50,125500,2.0
Ático,Calle de Cabañales 55,99000,2.0
Piso,Regimiento de Toledo 25,167900,4.0
Piso,Calle Peña Trevinca 12,87000,4.0
Piso,Barrio Pinilla,130000,3.0
Piso,Plaza de la Marina,340000,5.0
Piso,Calle Consejo de Europa 2,105000,3.0
Piso,Ronda de Madrid 19,65500,3.0
Piso,Cañaveral s/n,105000,3.0
Chalet,Manganeses de la Polvorosa,45000,5.0
Casa Rural,Calle Teso 65,100000,3.0
Casa Rural,Calle Moral,190000,3.0
Piso,Calle Río Ebro 12,28000,3.0
Chalet,Calle Santa Catalina 21,65000,4.0
Casa Rural,Madridanos,55000,4.0
Chalet,Calle General Franco 19,17500,5.0
Piso,Calle Cortinas San Miguel,260000,3.0
Piso,Avenida de Víctor Gallego 13,81000,3.0
Piso,Benavente,260000,7.0
Piso,Cañada de la Vizana 20,70000,4.0
Piso,La Candelaria,164900,3.0
Piso,Calle de la Libertad 36,55000,3.0
Piso,Calle Amargura 17,95000,4.0
Piso,Calle de los Lagares 3,145000,3.0
Chalet,Camino Vereda 5,59000,4.0
Chalet,Avenida Constitución 5,95000,4.0
Ático,Avenida Donantes de Sangre 36,84000,3.0
Chalet,Calle de Olleros 66,68000,7.0
Chalet,Calle Montamarta,135000,3.0
Chalet,Calle Villaferrueña 11,95000,6.0
Piso,Avenida Libertad 2 -16,58000,3.0
Piso,Calle de Blas de Otero,79000,3.0
Casa Rural,PEDRO TORO 118,80000,3.0
Chalet,Calle el Caño 4,55000,3.0
Piso,Ronda DE MADRID 34,60000,3.0
Chalet,Calle Subida de Cantabranas,119000,3.0
Chalet,Calle Segovia 14,183000,5.0
Chalet,Goya s/n,235000,5.0
Piso,Calle Doctor Villalobos,119500,3.0
Piso,Calle Rosaleda 1,100000,3.0
Chalet,Calle Zamora,195000,5.0
Piso,Avenida de las Tres Cruces,310000,4.0
Chalet,Costanilla de Valladolid 2,35000,3.0
Chalet,Ronda de la Florida 20,65000,3.0
Chalet,Calle soto s/n,118000,5.0
Chalet,Ronda de la Florida 16,59000,3.0
Piso,Avenida de las Tres Cruces,335000,5.0
Piso,Herreros,120000,3.0
Chalet,Carretera Carrascal,200000,3.0
Piso,Travesía san martin 1,115000,2.0
Casa Rural,Calle El Barco 17,60000,3.0
Chalet,Calle la Barca 22,69000,2.0
Chalet,Carracedo 34,29900,3.0
Chalet,Calle el Donante,69000,5.0
Piso,Calle Regimiento de Toledo 8,99000,3.0
Chalet,Villaralbo,125000,3.0
Piso,Avenida Libertad 3,42000,3.0
Piso,Calle de los Herreros 63,68000,2.0
Casa Rural,Muga de Sayago,67000,3.0
Piso,Plaza del Grano 11,40000,3.0
Piso,Calle Astorga 2,78000,3.0
Piso,Calle Miguel Delibes 2,52000,3.0
Piso,Avenida Maragatos 12,100000,3.0
Piso,Calle de los Herreros 41,85000,4.0
Ático,Avenida Federico Silva 13,79000,3.0
Piso,Calle de la Sinoga 6,68000,2.0
Piso,Calle de Zamora 7,70000,5.0
Piso,Calle Navia 10,65000,4.0
Piso,Calle Astorga 11,73000,3.0
Piso,Calle de las Eras 39,38000,3.0
Piso,Via del Canal 63,48000,3.0
Piso,Avenida de Sor Asunción Romo 5,69000,3.0
Chalet,Avenida Maragatos 36,120000,3.0
Piso,Calle Miguel Delibes 2,52000,3.0
Casa Rural,Muga de Sayago,67000,3.0
Piso,Avenida de Sor Asunción Romo 28,56000,3.0
Piso,Calle Astorga 2,78000,3.0
Piso,Plaza del Grano 11,40000,3.0
Piso,Avenida León 8,47000,3.0
Piso,Plaza Santa Clara 3,58000,3.0
Piso,Avenida Libertad 3,42000,3.0
Chalet,Calle Barca 16,45000,4.0
Piso,Calle de los Herreros 63,68000,2.0
Piso,Calle de Francos 31,74000,4.0
Piso,Calle Santa Rafaela 2,43000,4.0
Piso,Calle de los Aguadores 10,50000,3.0
Piso,Calle de los Herreros 63,65000,3.0
Piso,Cañada de la Vizana 90,67000,3.0
Piso,Calle Salamanca 1,79900,3.0
Piso,Avenida Maragatos 4,36000,4.0
Chalet,Calle Zamora s/n,199000,5.0
Piso,Costanilla de Valladolid 1,75000,5.0
Ático,Calle Doctor Francisco Villar 2,125000,4.0
Piso,Calle Sanabria 8,83000,2.0
Casa Rural,BALAS 42,59000,3.0
Piso,Calle Astorga 6,45000,3.0
Casa Rural,Flor,30000,4.0
Piso,Avenida el Ferial 159,50000,3.0
Piso,Avenida Libertad 12,65000,3.0
Piso,Calle Claudio Rodríguez 16,160000,4.0
Piso,Avenida EL FERIAL 42,65000,4.0
Piso,Avenida Cañada de la Vizana 20,60000,3.0
Chalet,Calle San Antón 27,100000,4.0
Piso,Avenida Federico Silva 34,23500,3.0
Piso,Calle la Bañeza 12,75000,4.0
Chalet,Calle Luna 3,180000,4.0
Piso,Ronda de la Florida,50000,4.0
Casa Rural,Calle Tabara,25000,4.0
Piso,Avenida Libertad 12,65000,3.0
Piso,De Renueva 5,60000,2.0
Piso,Calle Sanabria 8,83000,2.0
Piso,Calle Florian Docampo,189612,4.0
Piso,Calle Cartagena de Indias 30,63000,2.0
Chalet,Calle Ancha 34  - 36,40000,5.0
Chalet,Calle San Antón 27,100000,4.0
Piso,Calle Astorga 6,45000,3.0
Piso,portillo san andres 28,108000,3.0
Piso,PORTILLO DE SAN ANDRES 28,99900,3.0
Piso,Avenida Libertad 2 -16,58000,3.0
Piso,Avenida Cañada de la Vizana 20,60000,3.0
Piso,Avenida Libertad 15,57500,3.0
Piso,Calle Dominicas 2,58000,3.0
Piso,Calle Claudio Rodríguez 16,160000,4.0
Piso,Plaza SANTA CLARA 9,78000,3.0
