Tipo de inmueble,Dirección,Precio,Habitaciones
Piso,Torreón - La Almadraba,398000,3
Chalet,Gran Avinguda Jaume I,750000,5
Piso,Calle Barranc del Diablo 2,215000,2
Chalet,montornes,585000,3
Chalet,Montornes - Las Palmas - El Refugio,850000,5
Chalet,barrio Zona Pau Lledó,950000,5
Chalet,Avenida de Francisco José Balada 22 12500 Vinarós Castellón España Zona Boverals 22,745000,6
Chalet,Marcolina,590000,3
Chalet,Heliópolis - Eurosol,339000,4
Chalet,Heliópolis - Eurosol,595000,4
Piso,Torreón - La Almadraba,485000,3
Ático,Calle Botànic Calduch,230000,4
Duplex,Forcall 7,549000,4
Chalet,Calle Regne Unit 25,373500,4
Piso,Calle d'Herrero,89000,4
Chalet,Partida Roquetes,175000,2
Chalet,Camino dels Molins,430000,3
Piso,Avenida del Papa Luna,280000,2
Chalet,Camino de Manyetes 238 D,219000,3
Piso,Calle de Martínez de Tena 16,95000,4
Piso,Paseo Marítimo 13,210000,2
Piso,Calle Amplaries 5,126000,2
Piso,Amplaries 9,183000,2
Chalet,Manuel Sanchiz,534000,3
Chalet,Alcossebre,449000,3
Piso,barrio Zona Estación-Universidad,145000,3
Chalet,barrio Zona Pau Lledó,680000,5
Chalet,SANTA QUITERIA 5,179000,4
Piso,Heliópolis - Eurosol,229900,2
Duplex,Avenida de València 85,139000,3
Chalet,barrio Zona Estadio Castalia,280000,5
Piso,Calle Fondo,220000,3
Chalet,Urbanització Paraje Roquetes 18,210000,3
Chalet,IRLANDA,349000,2
Chalet,Camino CERVERA,299000,5
Chalet,Calle del Palillo,165000,2
Chalet,Avenida de Pau Béjar,420000,3
Duplex,Calle de Tarragona,140000,3
Chalet,Calle de la Navalla,360000,4
Chalet,Paseo de l'Estació,420000,6
Piso,Zona Piscinas,106490,4
Duplex,Llandells Peñiscola s/n,165000,2
Piso,Calle d´Castelló 14,103000,2
Piso,barrio Parque Ribalta-Plaza de Toros,179000,3
Duplex,Calle de Cerç,255000,3
Ático,Pueblo,119000,2
Chalet,Zona Playa,600000,5
Piso,Calle na Violant d'Hongria,120000,2
Ático,Calle Sanahuja,399000,3
Piso,Calle deTarragona,245000,3
Piso,Calle del Riu Palància,138900,3
Chalet,Alcossebre,380000,3
Piso,barrio Ciutat del Transport-La Salera,137000,3
Piso,Calle la Carrasca,240000,3
Ático,Calle na Violant d'Hongria 17,68000,1
Piso,Playa norte,195000,1
Piso,barrio Zona Hospital-Plaza del Real,68900,3
Piso,barrio Zona Hospital-Plaza del Real,145000,2
Chalet,barrio Zona Pau Lledó,430000,4
Piso,barrio Aguamarina,85000,2
Chalet,El Balcó - Jaume I,795000,5
Piso,barrio Zona Av. del Mar,93000,2
Chalet,Torre Bellver - La Renegá - Les Platgete'S,775000,6
Chalet,Montornes - Las Palmas - El Refugio,700000,3
Piso,Calle Riu Támesis,172900,2
Piso,Avenida dels Germans Bou,150000,3
Chalet,Avenida d'Hongria,290000,3
Ático,Noruega,430000,3
Piso,Calle de Lepant,89000,3
Piso,Avenida de Borriana,80000,3
Piso,Calle de l'IIla Baleato,154000,3
Piso,Calle d'Herrero,150000,3
Piso,Calle del Riu Danubi,219000,3
Piso,Calle dels Quatre Termes 111 D,250000,3
Chalet,Calle de la Penya Ventosa 28,263000,3
Chalet,Calle de Dalt,100000,4
Chalet,Zona Playa de la Concha,649000,5
Piso,barrio Acapulco,145000,2
Piso,Calle Regne Unit 10,99000,3
Piso,CATALUÑA,140000,2
Piso,CATALUÑA,140000,2
Chalet,Montornes - Las Palmas - El Refugio,1400000,3
Duplex,Las Atalayas - Urmi - Cerro Mar,380000,4
Chalet,barrio Casco Histórico,55000,4
Chalet,Els Terrers,550000,4
Piso,barrio Zona Ensanche-Parque oeste,87000,4
Chalet,Zona Piscinas,680000,4
Chalet,Casco Antiguo,243500,4
Piso,Parque Sensal,179000,2
Chalet,Casco Urbano,345000,4
Duplex,barrio Costa Marfil,288000,4
Ático,Calle Rey Lobo 1,260000,5
Piso,Calle Castelldefels,95000,3
Piso,Avenida del Papa Luna 147 B,145000,2
Piso,Avenida Papa Luna,395000,2
Chalet,Avenida de Noruega 1,425000,3
Piso,Avenida Hermanos Bou 4,150000,3
Chalet,Calle general aranda,175000,2
Duplex,Avenida papa luna,175000,2
Piso,Calle Doctor Jorge Comin,350000,4
Ático,Urbanización Monte Pichells,125000,2
Piso,realenc,105000,2
Chalet,Calle Haiti,165000,3
Piso,Avenida Ermita San Antonio,153000,2
Duplex,irlanda,189000,2
Ático,Avenida central,288000,4
Chalet,Calle Raïm,260000,3
Chalet,Barranc de Moles,267000,4
Piso,PAPA LUNA,255000,2
Piso,Avenida Papa Luna,360000,2
Duplex,Calle de Vilanova d'Avinyó,183000,2
Piso,Calle Cerç,115000,2
Piso,Calle Remolins,317000,3
Piso,Avenida Ferrandis Salvador,365000,4
Chalet,Las Atalayas - Urmi - Cerro Mar,650000,7
Chalet,Carrera DE LA GAMBA,260000,4
Piso,Avenida Ferrandis Salvador,535000,3
Piso,Calle del Maestrat,106490,4
Piso,barrio Zona Plaza Illes Columbretes,89000,3
Chalet,Calle del Moncaio,299000,5
Chalet,Calle del Moncaio,299000,5
Chalet,Heliópolis - Eurosol,595000,5
Chalet,Calle del Moncaio,294000,5
Piso,Pelayo 6,155000,3
Chalet,Urbanización Mediterráneo 205 43,220000,2
Ático,Avenida Itàlia,190000,4
Piso,Camino de la Plana,95000,2
Duplex,Avenida Camp de Morvedre,430000,4
Chalet,Calle Boverals S,299500,5
Piso,Avenida de Mohino,215000,3
Duplex,Paseo de Ribalta,450000,4
Chalet,Calle Mas del Puro,480000,5
Piso,Avenida FERRANDIS SALVADOR 140,635000,5
Chalet,CASTANYER s/n,630000,5
Duplex,Calle Triador W,155000,3
Duplex,barrio Zona Ensanche-Parque oeste,155000,3
Piso,Avenida de Borriana 20,129000,3
Piso,barrio Avenida de Valencia - Avenida de Casalduch,165000,3
Piso,Paseo de J. Ribera,62000,3
Piso,Calle Llandells 7,153000,2
Piso,Piscinas,193337,5
Piso,Piscinas,135000,4
Chalet,Camino san Antonio Peñiscola s/n,165000,2
Piso,Honori García i Garcia 27,165000,3
Piso,Honori García i García 26,127000,2
Piso,barrio Zona Estación-Universidad,185000,3
Piso,Parque Sensal,180000,2
Duplex,barrio Zona Av. del Mar,287000,3
Chalet,Las Atalayas - Urmi - Cerro Mar,259000,3
Chalet,Calle Cales F,270000,3
Piso,Calle de Centelles,67000,3
Piso,Avenida de Vila Real,164000,3
Chalet,Heliópolis - Eurosol,530000,4
Piso,Calle Amplaries,100000,2
Chalet,Madrigal,60000,4
Piso,Avda. Alemania - Italia,82000,3
Piso,Pueblo,125000,2
Piso,Calle Honori Garcia i Garcia 27,98000,2
Ático,Avenida Ferrandis Salvador,288888,2
Chalet,Calle de Costa i Borràs,170000,4
Piso,Avenida del Papa Luna,135000,1
Chalet,Montornes - Las Palmas - El Refugio,363383,7
Piso,Calle de Oviedo,115000,4
Piso,Zona Playa de la Concha,109000,2
Chalet,Centro,295990,5
Piso,Barrio del Pilar,188161,3
Piso,Calle de Jesús Martí Martín,186000,4
Piso,Barrio del Pilar,129000,3
Piso,Barrio del Pilar,135864,3
Chalet,Madrigal,300000,1
Piso,Zona Centro,120000,3
Chalet,Zona Playa,230000,4
Piso,Zona Playa,67300,3
Piso,Heliópolis - Eurosol,125000,1
Piso,barrio Zona Ensanche-Río Jucar,115500,2
Piso,Calle La Cova 1 s/n,86000,1
Piso,Alcossebre,164000,2
Piso,Zona Llombai,92000,3
Piso,Parque Sensal,179000,2
Piso,Calle Raval del Carme,65000,3
Piso,Zona Playa,76000,2
Piso,barrio Zona Estadio Castalia,135800,1
Chalet,Zona Playa,400000,8
Piso,Zona Playa Morro de Gos,158000,2
Piso,barrio Zona Hospital-Plaza del Real,136000,1
Piso,El Balcó - Jaume I,181000,3
Chalet,Benicassim Golf,387000,3
Chalet,Font de Codina,650000,5
Piso,Avenida Central 19,118000,2
Piso,av de la plana 32,93000,4
Chalet,Camino P 1 57 A,2985000,6
Chalet,Calle Teulains 307,460000,5
Chalet,Mas del Castell,1300000,4
Chalet,Calle Bayer,259900,5
Chalet,1Urbanización Coma Fase 1 A,840000,5
Chalet,Heliópolis - Eurosol,534950,5
Piso,Torreón - La Almadraba,350000,2
Piso,Heliópolis - Eurosol,225000,3
Chalet,Montornes - Las Palmas - El Refugio,480000,5
