"provincia","tipo/lugar","link","precio","caracteristicas","info","otros"
"Navarra","Piso en calle Yanguas y Miranda, 2º Ensanche, Pamplona/Iruña","https://www.idealista.com/venta-viviendas/navarra//inmueble/102125781/","695,000 €","5 hab. 193 m² Planta 7ª exterior con ascensor","Esta vivienda situada en la Calle Yanguas y Miranda, una de las direcciones más prestigiosas de Pamplona, ostenta un espléndido espacio de 193 metros cuadrados construidos. El entorno no podría ser má",""
"Navarra","Piso en plaza del Castillo, Casco Antiguo, Pamplona/Iruña","https://www.idealista.com/venta-viviendas/navarra//inmueble/102187907/","380,000 €","1 hab. 95 m² Planta 2ª exterior con ascensor","Vivienda en venta situada en Plaza del Castillo, en la plaza más emblemática del Casco Antiguo de Pamplona. La vivienda posee doble orientación, con un amplio mirador a Plaza del Castillo y un segundo",""
"Navarra","Piso en calle Paulino Caballero, 2º Ensanche, Pamplona/Iruña","https://www.idealista.com/venta-viviendas/navarra//inmueble/99916853/","560,000 €","6 hab. 248 m² Planta 5ª exterior con ascensor","La preciosa vivienda que aquí les presentamos se encuentra en el último tramo de Paulino Caballero con Plaza de la Libertad; ubicada en una quinta altura con orientación sur-oeste distribuye sus 220 m",""
"Navarra","Piso en avenida de Zaragoza, 2º Ensanche, Pamplona/Iruña","https://www.idealista.com/venta-viviendas/navarra//inmueble/100537482/","350,000 €","3 hab. 159 m² Planta 4ª exterior con ascensor","URBANTIA vende magnífico piso para reformar en el centro. Muy bien ubicado, entre la Plaza de Los Fueros y la Plaza Príncipe de Viana. Actualmente, la vivienda consta de vestíbulo, salón-comedor, coci",""
"Navarra","Piso en Monasterio de Zilbeti, San Juan, Pamplona/Iruña","https://www.idealista.com/venta-viviendas/navarra//inmueble/93982378/","345,000 €","3 hab. 131 m² Planta 6ª exterior con ascensor","A & P inmobiliaria vende excelente vivienda en zona principal del Barrio de San Juan. La casa tiene 118 metros útiles y se distribuye en salón doble, habitación principal con baño y vestidor, dos habi",""
"Navarra","Piso en calle de Tudela, 2º Ensanche, Pamplona/Iruña","https://www.idealista.com/venta-viviendas/navarra//inmueble/101625113/","318,000 €","3 hab. 130 m² Planta 5ª exterior con ascensor","Llevas tiempo buscando la oportunidad para vivir en el centro, pero son muy pocas las opciones que se ajustan a tus necesidades cuando lo quieres todo. Unas veces encuentras la ubicación ideal pero no",""
"Navarra","Piso en calle Monasterio de Aberin, San Juan, Pamplona/Iruña","https://www.idealista.com/venta-viviendas/navarra//inmueble/99823571/","380,000 €","4 hab. 145 m² Planta 3ª exterior con ascensor","A&P inmobiliaria vende en Pamplona, barrio de San Juan, una interesante vivienda para actualizar en una de las zonas mas comerciales. Dispone de cuatro habitaciones, 2 baños, salón con terraza y ampli",""
"Navarra","Piso en avenida del Conde Oliveto, 2º Ensanche, Pamplona/Iruña","https://www.idealista.com/venta-viviendas/navarra//inmueble/101074572/","370,000 €","2 hab. 118 m² Planta 1ª exterior con ascensor","Te interesa un lujoso y exclusivo piso de obra nueva, en un edificio completamente rehabilitado, en el primer ensanche de Pamplona? URBANTIA VENDE PISO DE OBRA NUEVA, DE 118 M2, EN EL CORAZÓN DE PAMPL",""
"Navarra","Piso en Olite, 2º Ensanche, Pamplona/Iruña","https://www.idealista.com/venta-viviendas/navarra//inmueble/99509638/","450,000 €","4 hab. 206 m² Planta 6ª exterior con ascensor","La vivienda que le presentamos se encuentra en el último tramo de la calle Olite: calle tranquila pero muy próxima, sin embargo, a todo: Colegios, Clubes deportivos, Centro Salud, Comercios, Supermerc",""
"Navarra","Piso en calle Yanguas y Miranda, 2º Ensanche, Pamplona/Iruña","https://www.idealista.com/venta-viviendas/navarra//inmueble/99277571/","845,000 €","5 hab. 282 m² Planta 8ª exterior con ascensor","Magnífica vivienda de 250 m2 y garaje en el centro y con las mejores vistas de Pamplona ¿Estás pensando en vivir en el centro, sin depender del coche y, al mismo tiempo, disfrutar de las mejores vista",""
"Navarra","Piso en calle de Francisco Bergamin Kalea, 45, 2º Ensanche, Pamplona/Iruña","https://www.idealista.com/venta-viviendas/navarra//inmueble/101404213/","440,000 €","4 hab. 183 m² Planta 7ª exterior con ascensor","Queremos presentarles un inmueble excepcional, situado en una de la zona más exclusivas de Pamplona-Iruña, la zona del 2 Ensanche. Este piso, ubicado en la séptima planta de un edificio construido en",""
"Navarra","Piso en avenida de Sancho el Fuerte, 61, Iturrama, Pamplona/Iruña","https://www.idealista.com/venta-viviendas/navarra//inmueble/101649923/","398,000 €","4 hab. 141 m² Planta 5ª exterior con ascensor","Os presentamos esta vivienda en la mejor zona de Iturrama, en la avenida de Sancho el fuerte, totalmente exterior.   Hace esquina, con orientación sur-oeste, norte-oeste. Lo que implica que tenga much",""
"Navarra","Piso en calle de Santa Engracia, 1, Buztintxuri, Pamplona/Iruña","https://www.idealista.com/venta-viviendas/navarra//inmueble/99930048/","126,000 €","2 hab. 64 m² Planta 2ª exterior sin ascensor","Si busca un piso en la Rochapea que esté recién reformado y listo para mudarse, no busque más.   La vivienda cuenta con una cocina  - salón  luminosos, una cocina totalmente equipada con electrodomést",""
"Navarra","Piso en plaza de La Libertad, 10, 2º Ensanche, Pamplona/Iruña","https://www.idealista.com/venta-viviendas/navarra//inmueble/101762691/","780,000 €","4 hab. 205 m² Planta 4ª exterior con ascensor","Sacamos a la venta esta amplia vivienda, totalmente reformada en Plaza de la Libertad. Sus 205 m2 construidos, se encuentran distribuidos en 4 dormitorios, todos ellos con armarios empotrados y el pri",""
"Navarra","Piso en calle Pedro Fernández Serrano, Lezkairu, Pamplona/Iruña","https://www.idealista.com/venta-viviendas/navarra//inmueble/100713301/","760,000 €","4 hab. 209 m² Planta 4ª exterior con ascensor","¿Cansado de buscar una vivienda lo suficientemente amplia y cómoda para toda la familia, en una ubicación privilegiada, una vivienda con materiales de máxima calidad que no tengas que reformar puesto",""
"Navarra","Piso en calle Estella, 1º Ensanche, Pamplona/Iruña","https://www.idealista.com/venta-viviendas/navarra/pagina-2.htm/inmueble/98004890/","425,000 €","3 hab. 110 m² Planta 5ª exterior con ascensor","Si buscas una vivienda especial en una buena zona. Si valoras los espacios amplios, la altura y tener mucha luz. Si para tí es importante la atención a los detalles. Si quieres algo reformado con las","Reformado"
"Navarra","Piso en calle Paulino Caballero, 42, 2º Ensanche, Pamplona/Iruña","https://www.idealista.com/venta-viviendas/navarra/pagina-2.htm/inmueble/98821951/","290,000 €","3 hab. 115 m² Planta 3ª exterior con ascensor","Estupendo piso de en el II ensanche,  para reformar con muchas posibilidades.","Con vistas"
"Navarra","Piso en calle de Irunlarrea, Mendebaldea, Pamplona/Iruña","https://www.idealista.com/venta-viviendas/navarra/pagina-2.htm/inmueble/101513221/","179,800 €","1 hab. 69 m² Planta 1ª exterior con ascensor","Bonito piso de un dormitorio en Mendebaldea, en la calle Irunlarrea. Barrio consolidado, con todos los servicios (supermercados, colegios, centros de salud, transporte público... ). Próximo al Complej",""
"Navarra","Ático en calle Felipe Gorriti, 35, 2º Ensanche, Pamplona/Iruña","https://www.idealista.com/venta-viviendas/navarra/pagina-2.htm/inmueble/102283267/","350,000 €","3 hab. 109 m² Planta 5ª exterior con ascensor","Este encantador ático con terraza en la calle Felipe Gorriti 35 de Pamplona ofrece una oportunidad única para vivir en un espacio luminoso y acogedor con comodidades modernas y una ubicación convenien",""
"Navarra","Dúplex en calle Ferrocarril, Buztintxuri, Pamplona/Iruña","https://www.idealista.com/venta-viviendas/navarra/pagina-2.htm/inmueble/102205329/","287,000 €","3 hab. 107 m² Planta 5ª con ascensor","ÁTICO DUPLEX.  Sumérgete en el lujo y la comodidad con este ático dúplex espectacularmente diseñado. Desde el momento en que entras, la vivienda te invita a relajarte y disfrutar de sus maravillosos e",""
"Navarra","Piso en avenida del Conde Oliveto, 1º Ensanche, Pamplona/Iruña","https://www.idealista.com/venta-viviendas/navarra/pagina-2.htm/inmueble/101078448/","370,000 €","2 hab. 119 m² Planta 1ª exterior con ascensor","Espectacular piso DE OBRA NUEVA A ESTRENAR en el 1º Ensanche junto a Príncipe de Viana, Corte Inglés y Vuelta del Castillo. ¡MÁGNIFICA TERRAZA de 25m2 PARA DISFRUTAR DE LOS DÍAS DE VERANO CON ORIENTAC",""
"Navarra","Piso en calle Sandoval, 3, 1º Ensanche, Pamplona/Iruña","https://www.idealista.com/venta-viviendas/navarra/pagina-2.htm/inmueble/100848289/","340,000 €","4 hab. 115 m² Planta 5ª con ascensor","¡Bienvenido a  este maravilloso piso en venta en el primer ensanche de Pamplona! Este inmueble cuenta con una ubicación privilegiada, ya que se encuentra junto a la Ciudadela de Pamplona, Baluarte y T",""
