"provincia","tipo/lugar","link","precio","caracteristicas","info","otros"
"Huesca","Piso en avenida Regimiento de Galicia, 15, Universidad, Jaca","https://www.idealista.com/venta-viviendas/huesca-provincia//inmueble/100781922/","160,000 €","2 hab. 62 m² Planta 1ª exterior con ascensor","¿Buscas independizarte? ¿o tal vez una segunda residencia muy cómoda? ¡la tenemos! Este precioso apartamento reformado y al detalle, en pleno centro de Jaca, en una de sus principales avenidas, junto","Apartamento"
"Huesca","Piso en calle Sarsa, 1, Casco Antiguo - Ciudadela, Jaca","https://www.idealista.com/venta-viviendas/huesca-provincia//inmueble/99543824/","185,000 €","3 hab. 79 m² Planta 1ª exterior con ascensor","En pleno centro de Jaca, en el más que conocido y famoso Paseo de Invierno de la ciudad de Jaca, ponemos a su disposición de esta fabulosa vivienda en uno de los mejores edificios de Jaca. 79 m2, en p","Villa"
"Huesca","Ático en Carmen, 22, Centro - Llano Samper, Jaca","https://www.idealista.com/venta-viviendas/huesca-provincia//inmueble/102178926/","315,000 €","2 hab. 99 m² Planta 4ª exterior con ascensor","¿Buscas una vivienda a estrenar en Jaca? estas de suerte. Ponemos a vuestra disposición este espectacular piso en pleno casco antiguo de Jaca, en uno de los edificios mas bonitos y con historia de la","Apartamento"
"Huesca","Piso en avenida Zaragoza, Centro - Llano Samper, Jaca","https://www.idealista.com/venta-viviendas/huesca-provincia//inmueble/98964951/","129,000 €","3 hab. 94 m² Planta 3ª exterior sin ascensor","Amplio piso céntrico en Jaca. Aire de Montaña inmobiliaria presenta en exclusiva este piso reformado en el centro de Jaca. El piso tiene orientación NORTE-SUR- con un balcón al norte. En buen estado d",""
"Huesca","Piso en calle Teruel, Centro - Llano Samper, Jaca","https://www.idealista.com/venta-viviendas/huesca-provincia//inmueble/102078385/","149,000 €","3 hab. 79 m² Planta 2ª exterior con ascensor","Piso céntrico recién reformado con muy buenas calidades listo para entrar a vivir y a un paso del casco antiguo de Jaca. El inmueble consta de 3 dormitorios, dos de ellos dobles y con armarios empotra",""
"Huesca","Dúplex en calle Baja, 1, El Pueyo de Jaca","https://www.idealista.com/venta-viviendas/huesca-provincia//inmueble/99914623/","200,000 €","3 hab. 69 m² Bajo exterior sin ascensor","En el idílico pueblo de El Pueyo de Jaca, en pleno Valle de Tena, a un paso de las estaciones de esquí de Aramon Formigal/Panticosa, disponemos de una de las viviendas más bonitas y especiales del val",""
"Huesca","Piso en Urbanizacion Santiago, 24, Villanúa","https://www.idealista.com/venta-viviendas/huesca-provincia//inmueble/101439150/","120,000 €","2 hab. 66 m² Planta 2ª exterior sin ascensor","Precioso apartamento a reestrenar en la zona de Altos de Santiago, a 1,5 km de Villanua, una zona residencial muy tranquila e idílica entre pinares, ideal para la desconexión los fines de semana, cone",""
"Huesca","Ático en infazones, 14, Villanúa","https://www.idealista.com/venta-viviendas/huesca-provincia//inmueble/39993978/","200,000 €","2 hab. 77 m² Planta 2ª exterior sin ascensor","En pleno centro de Villanua, una de las poquitas viviendas en venta en el pueblo, disponemos de este precioso apartamento semi nuevo en estado de reestreno, ya que tan apenas ha tenido uso en verano.",""
"Huesca","Dúplex en carretera Graus-Viella, 1, Isabena","https://www.idealista.com/venta-viviendas/huesca-provincia//inmueble/97978165/","110,000 €","2 hab. 78 m² Bajo exterior sin ascensor","Vivienda tipo triplex con terraza a la venta en el valle de Isabena con vista al río. La propiedad se distribuye en salón-comedor con chimenea, terraza de unos 12 m2, cocina independiente, dos dormito",""
"Huesca","Dúplex en paseo de los Ayerbes, 5, Canfranc","https://www.idealista.com/venta-viviendas/huesca-provincia//inmueble/102112917/","119,000 €","1 hab. 52 m² Planta 4ª exterior con ascensor","Junto a la majestuosa estación de Canfranc, se encuentra el ""Residencial Los Arañones"", la mejor urbanización de Canfranc, por sus buenos acabados y sus zonas comunes, ya que es la única comunidad con",""
"Huesca","Casa o chalet independiente en calle nueva, s/n, Albalatillo","https://www.idealista.com/venta-viviendas/huesca-provincia//inmueble/98339888/","295,000 €","7 hab. 600 m²","SE ESCUCHAN OFERTAS Inmobiliaria Bienes Raíces presenta esta fantástico chalet, en el pintoresco pueblo de Albalatillo, en la Hoya de Huesca. Les presentamos este magnifico y señorial chalet, al que n",""
"Huesca","Casa o chalet independiente en calle unica, s/n, Poblaciones norte, Jaca","https://www.idealista.com/venta-viviendas/huesca-provincia//inmueble/99234698/","275,000 €","4 hab. 160 m²","¡ Inmobiliaria Bienes Raíces Presenta esta fantástica casa de pueblo con mucho encanto! - En el pintoresco pueblo de Villanovilla, en el pirineo aragonés, nos encontramos esta fantástica casa, totalme",""
"Huesca","Chalet pareado en calle santo grial, s/n, Centro - Llano Samper, Jaca","https://www.idealista.com/venta-viviendas/huesca-provincia//inmueble/99428172/","178,000 €","3 hab. 100 m²","Inmobiliaria Bienes Raíces presenta este fantástico adosado en pleno centro de Jaca. - Increíble inmueble de 100m2 divido en dos plantas y con una fantástica orientación sur-este y oeste. - Primera pl",""
"Huesca","Ático en calle Río Gas, s/n, Palacio de Hielo, Jaca","https://www.idealista.com/venta-viviendas/huesca-provincia//inmueble/101360294/","300,000 €","4 hab. 115 m² Planta 6ª exterior con ascensor","Inmobiliaria Bienes Raíces presenta este fantástico, luminoso y exclusivo ático. Magnífico ático exterior de 4 dormitorios, 3 baños, estancia para almacenaje y tres fabulosas terrazas. Incluye una pla",""
"Huesca","Chalet adosado en alto de Bescansa, s/n, Poblaciones norte, Jaca","https://www.idealista.com/venta-viviendas/huesca-provincia//inmueble/101248460/","257,000 €","4 hab. 160 m²","Inmobiliaria Bienes Raíces presenta esta exclusiva y fantástica propiedad en la privilegiada urbanización Lomas de Badaguas. Esta espectacular propiedad está construida con las mejores calidades y dis",""
"Huesca","Ático en calle Mayor, Casco Antiguo - Ciudadela, Jaca","https://www.idealista.com/venta-viviendas/huesca-provincia//inmueble/94962364/","570,000 €","3 hab. 130 m² Planta 4ª exterior sin ascensor","JACETANIA 2000 Inmobiliaria les presenta la que seguramente es la propiedad más espectacular y única del Pirineo Aragonés, completamente rehabilitada manteniendo su originalidad del Siglo XIX al igual",""
"Huesca","Chalet adosado en calle de Fondabós, Centro - Llano Samper, Jaca","https://www.idealista.com/venta-viviendas/huesca-provincia//inmueble/98887350/","270,000 €","3 hab. 170 m²","Estupendo chalet adosado en venta en Fondabós, a pocos minutos del centro de Jaca y todos los servicios. El inmueble consta de cuatro plantas distribuidas de la siguiente manera: Planta baja, un espac",""
"Huesca","Piso en Mayor, Casco Antiguo - Ciudadela, Jaca","https://www.idealista.com/venta-viviendas/huesca-provincia//inmueble/95636144/","190,000 €","4 hab. 107 m² Planta 1ª exterior con ascensor","Estupenda vivienda esquinera en plena calle mayor de jaca, para entrar a vivir. Se trata de una primera planta con ascensor, con unas vistas envidiables de la calle mayor y la famosa peña de oroel, co",""
"Huesca","Casa o chalet independiente en calle Estiras, Poblaciones sur, Jaca","https://www.idealista.com/venta-viviendas/huesca-provincia//inmueble/36330621/","790,000 €","5 hab. 268 m²","¡El mejor chalet de Jaca! Una casa única con un montón de lujos: Una pequeña piscina climatizada particular que te permite llegar de esquiar y bañarte con toda tu familia en tu propio spa (y refrescar",""
"Huesca","Chalet adosado en calle Tejería, Tejería - Rapitán, Jaca","https://www.idealista.com/venta-viviendas/huesca-provincia//inmueble/92058651/","329,000 €","4 hab. 232 m²","Precioso chalet adosado en una de las mejores zonas residenciales de Jaca, donde se respira tranquilidad, parques, zona verde alrededor y una panadería-cafetería para el día a día. Muy cuidado y bien",""
"Huesca","Ático en av pirineos, Formigal","https://www.idealista.com/venta-viviendas/huesca-provincia//inmueble/100351906/","335,000 €","3 hab. 100 m² Planta 4ª exterior con ascensor","En el edificio Crestas, uno de los mejores edificios de Formigal, ofrecemos este espectacular dúplex de tres dormitorios y dos baños. En la planta baja tenemos un amplio dormitorio, un cuarto de baño",""
"Huesca","Piso en calle Huesca, Centro - Llano Samper, Jaca","https://www.idealista.com/venta-viviendas/huesca-provincia//inmueble/100302024/","185,000 €","2 hab. 70 m² Planta 5ª exterior con ascensor","Aire de Montaña pone a la venta en el centro de Jaca este coqueto apartamento con vistas. En el centro de Jaca, en una 5 planta se encuentra este coqueto apartamento de 63 m2 que consta de un amplio s",""
"Huesca","Ático en calle de la Tejería, Tejería - Rapitán, Jaca","https://www.idealista.com/venta-viviendas/huesca-provincia//inmueble/101112760/","259,000 €","4 hab. 120 m² Planta 3ª exterior con ascensor","Fantástico ático en la urbanización Residencial Carlomagno. Una increíble vivienda de 103 m2 útiles consta de un amplio pasillo el cual nos lleva a las distintas estancias. Un amplio salón comedor, co",""
"Huesca","Chalet adosado en calle la fuente, Poblaciones norte, Jaca","https://www.idealista.com/venta-viviendas/huesca-provincia//inmueble/92810992/","185,000 €","3 hab. 230 m²","En Aragüás del Solano, casa rústica de piedra preciosa rodeada de naturaleza y paisajes en el Pirineo Aragones. A tan solo 15 minutos de Jaca. Desde ahí, se contempla la “Val Ancha”, Peña Oroel y los",""
"Huesca","Casa de pueblo en calle baja, Poblaciones norte, Jaca","https://www.idealista.com/venta-viviendas/huesca-provincia//inmueble/90277654/","127,000 €","3 hab. 180 m²","En Aragüás del Solano, casa rústica de piedra preciosa rodeada de naturaleza y paisajes en el Pirineo Aragones, a tan solo 15 minutos de Jaca. Desde ahí, se contempla la “Val Ancha”, Peña Oroel y los",""
"Huesca","Dúplex en plaza Mayor, 32, Ainsa-Sobrarbe","https://www.idealista.com/venta-viviendas/huesca-provincia//inmueble/98341707/","250,000 €","2 hab. 62 m² Planta 1ª exterior sin ascensor","En la plaza Mayor de la antigua villa medieval de Aínsa se ubica El Palacete de Aínsa, un edificio restaurado en el que encontramos una mezcla de la arquitectura tradicional de piedra y vigas de mader",""
"Huesca","Casa de pueblo en Borau","https://www.idealista.com/venta-viviendas/huesca-provincia//inmueble/98939848/","399,000 €","6 hab. 350 m²","En Borau, un bonito pueblo de la Jacetania que está situado a 1.008 metros de altitud y lo atraviesa el río Lubierre, afluente del Aragón, se encuentra esta preciosa casa rural, con mucho encanto tota",""
"Huesca","Piso en avenida Huesca, Formigal","https://www.idealista.com/venta-viviendas/huesca-provincia//inmueble/32217018/","233,000 €","2 hab. 65 m² Planta 3ª exterior con ascensor","Amplio apartamento en el centro de Formigal, en muy buen estado de conservación. Al entrar tenemos a mano derecha un dormitorio bastante grande con armario empotrado. A continuación encontramos el dor",""
"Huesca","Ático en calle San Sebastian, Ag. Formiga, Formigal","https://www.idealista.com/venta-viviendas/huesca-provincia//inmueble/99590800/","350,000 €","3 hab. 90 m² Planta 3ª exterior con ascensor","Espectacular apartamento situado en el centro de Formigal. La vivienda se compone de un gran salón comedor con grandes ventanales, de tres amplios dormitorios, dos cuartos de baño completos y de un al",""
"Huesca","Piso en calle única, Aísa","https://www.idealista.com/venta-viviendas/huesca-provincia//inmueble/101482051/","130,000 €","1 hab. 30 m² Planta 2ª exterior sin ascensor","Aire de Montaña pone a la venta este coqueto apartamento en la emblemática estación de esquí de Candanchú. Un apartamento con buenas vistas, bien ubicado, ideal para los amantes del esquí y la montaña",""
"Huesca","Piso en carretera de Pamplona, 14, Puente la Reina de Jaca","https://www.idealista.com/venta-viviendas/huesca-provincia/pagina-2.htm/inmueble/102259979/","57,000 €","1 hab. 48 m² Bajo exterior sin ascensor","¡Gran oportunidad a 15 minutos de Jaca! Agradable apartamento con jardín privado, garaje y trastero incluidos. La vivienda consta de salón con sofá cama, cocina comedor, 1 habitación doble y 1 baño co","Apartamento"
"Huesca","Piso en calle Peña Telera, Las Margas Golf-Latas, Sabiñanigo","https://www.idealista.com/venta-viviendas/huesca-provincia/pagina-2.htm/inmueble/101639840/","158,000 €","3 hab. 96 m² Planta 2ª sin ascensor","Vivienda para entrar a vivir en Urbanización Las Margas Golf, con 3 habitaciones, dos cuartos de baño, uno de ellos integrado en el dormitorios principal, cocina, salón con chimenea y terraza de unos","Lujo"
"Huesca","Casa o chalet independiente en Vía, 76, Nueno","https://www.idealista.com/venta-viviendas/huesca-provincia/pagina-2.htm/inmueble/101046687/","575,000 €","4 hab. 195 m²","A quince minutos de Huesca, donde comienza el Pirineo, una de las poblaciones del Parque Natural de la Sierra y Cañones de Guara, precioso chalet de alto standing en la localidad de Nueno, Urbanizació",""
"Huesca","Piso en calle Director Ferraz, 38, Benasque","https://www.idealista.com/venta-viviendas/huesca-provincia/pagina-2.htm/inmueble/102330512/","270,000 €","4 hab. 167 m² Planta 2ª exterior sin ascensor","En la pintoresca e histórica Villa de Benasque, rodeada de tresmiles míticos, de praderas sin fin, de agua que adquiere todas sus posibles formas: Lagos, ibones, cascadas rios, riachuelos y barrancos",""
"Huesca","Piso en calle Domingo Miral, Casco Antiguo - Ciudadela, Jaca","https://www.idealista.com/venta-viviendas/huesca-provincia/pagina-2.htm/inmueble/99327573/","144,500 €","3 hab. 90 m² Planta 3ª exterior con ascensor","Cliente comprador exento de honorarios adicionales. Espectacular vivienda de 80 m2 útiles situada en la mejor zona de Jaca y a 30 kilómetros de las estaciones de esquí. El inmueble está distribuido en",""
"Huesca","Chalet en calle Pilar, Castejon de Monegros","https://www.idealista.com/venta-viviendas/huesca-provincia/pagina-2.htm/inmueble/100017562/","106,000 €","5 hab. 168 m²","De particular a particular. Sin comisiones. Llámanos y visita esta vivienda. Amplia Casa de 168 m² en Castejón de Monegros, provincia de Huesca. La amplitud de esta vivienda proporciona a una familia",""
