Id del anuncio;Título;Tipo de inmueble;Descripción;Teléfono;Dirección;Precio;Habitaciones
96446872;Piso en Calle Derecha, 1;Piso;"Casa en Campanario ( Badajoz ) Conocido por su playa de agua dulce, ubicada en el margen izquierdo del embalse de Orellana, calidad de sus aguas, seguridad y por situarse en un paraje natural único.  También conocido por el Embalse de Paredón, la presa incluida en el inventario de Patrimonio Histórico y Cultural de Extremadura, se localiza a unos 3km del pueblo. También podemos encontrar diferentes parques y jardines, Ermitas, Monumentos, Convento etc.. . Un pueblo muy completo para su desconexión y disfrutar.  La casa esta compuesta por 166m2 de los cuales están distribuidos en la primera planta por un hall recibidor amplio, salón comedor, 3 habitaciones amplias, cocina, y baño.  Salimos a un patio muy luminoso que cuenta con un pozo de agua y por el cual accedemos a la parte superior de la casa que cuenta con 2 doblados de grandes dimensiones. ¡NO PIERDA LA OPORTUNIDAD DE VISITARLO! La fidelidad con nuestros clientes y la excelencia en nuestro trabajo es la garantía de tu éxito.";915344831;Calle DERECHA, 1;22000;3
95327970;Chalet adosado en Calle Guillermo Soto,, 29;Chalet;"Quinta Fase a la venta de nuestras magníficas y espaciosas casas de 4 dormitorios, con 2 baños y aseo, garaje, bodega, y amplio solárium, en una urbanización privada totalmente cerrada, con piscina y zonas verdes, todo ello con unas calidades y condiciones inmejorables. En Jardines del Mitreo, ubicada en la Avenida Luis Ramallo, nuevo eje de comunicación de la ciudad, junto a la Consejería de Agricultura y al Hospital de Mérida, encontrará todos los servicios a su alcance, tales como centros de Enseñanza (guarderías, colegios e institutos), centros comerciales y de ocio, farmacias, entidades financieras, hostelería, zonas verdes y deportivas, etc... , así como acceso directo a la A-5 y a la A-66. Ofertas sujetas a disponibilidad. iva no incluido en los precios.";824800322;Calle Guillermo Soto,, 29;205000;3
95327997;Chalet adosado en Calle Guillermo Soto,, 29;Chalet;"Quinta Fase a la venta de nuestras magníficas y espaciosas casas de 4 dormitorios, con 2 baños y aseo, garaje, bodega, y amplio solárium, en una urbanización privada totalmente cerrada, con piscina y zonas verdes, todo ello con unas calidades y condiciones inmejorables. En Jardines del Mitreo, ubicada en la Avenida Luis Ramallo, nuevo eje de comunicación de la ciudad, junto a la Consejería de Agricultura y al Hospital de Mérida, encontrará todos los servicios a su alcance, tales como centros de Enseñanza (guarderías, colegios e institutos), centros comerciales y de ocio, farmacias, entidades financieras, hostelería, zonas verdes y deportivas, etc... , así como acceso directo a la A-5 y a la A-66. Ofertas sujetas a disponibilidad. iva no incluido en los precios.";824800322;Calle Guillermo Soto,, 29;208000;3
95328004;Chalet adosado en Calle Guillermo Soto,, 29;Chalet;"Quinta Fase a la venta de nuestras magníficas y espaciosas casas de 4 dormitorios, con 2 baños y aseo, garaje, bodega, y amplio solárium, en una urbanización privada totalmente cerrada, con piscina y zonas verdes, todo ello con unas calidades y condiciones inmejorables. En Jardines del Mitreo, ubicada en la Avenida Luis Ramallo, nuevo eje de comunicación de la ciudad, junto a la Consejería de Agricultura y al Hospital de Mérida, encontrará todos los servicios a su alcance, tales como centros de Enseñanza (guarderías, colegios e institutos), centros comerciales y de ocio, farmacias, entidades financieras, hostelería, zonas verdes y deportivas, etc... , así como acceso directo a la A-5 y a la A-66. Ofertas sujetas a disponibilidad. iva no incluido en los precios.";824800322;Calle Guillermo Soto,, 29;205000;3
102036984;Piso en Avenida del Perú, 29;Piso;"Piso a estrenar de 101 m2 construidos en 2ª planta, con 3 dormitorios, armarios empotrados, 2 baños, vestíbulo, salón-comedor, cocina independiente con lavadero y terraza. Incluye plaza de garaje y trastero. Vivienda situada en Edificio Santa Fe, una magnífica promoción de obra nueva en el distrito de Valdepasillas. En un entorno para disfrutar. Edificio Santa Fe está situado entre las calles Avenida del Perú y Ángel Quintanilla Ulla, en Valdepasillas. Un entorno que lo tiene todo. Todo lo que necesitas para sentir, para disfrutar, para vivir. Parques, amplios espacios, zonas de ocio, centros educativos, edificios de servicios públicos, grandes superficies, supermercados, más parques, áreas deportivas, hospitales y centros de salud, etc. Y además, gracias a sus amplias avenidas y a las conexiones de autobús la comunicación con el centro y otros barrios de la ciudad es inmejorable. Nota. - Vivienda de obra nueva. IVA 10% no incluido. Fotografías de interiores correspondientes a vivienda tipo del edificio.";924255311;Avenida del Perú, 29;225000;3
96601366;Chalet;Chalet;"Espectacular casa de 380 m² en Don Benito, provincia de Badajoz. La amplitud de esta vivienda proporciona a una familia con niños todo el espacio que necesita. Está edificada sobre un terreno ajardinado de 1.200 m² y consta de 3 plantas: semisótano, primera y segunda. En el semisótano se encuentra el garaje con espacio para cuatro coches, una bodeguilla, un trastero, la sala de caldera y un funcional aseo. En la primera planta encontramos la cocina-comedor amueblada, despensa, cuarto lavadero, un amplio salón con salida al porche del jardín, una sala de estar, un despacho y un baño. Todo muy luminoso. En la segunda planta se ubican dos baños, cinco dormitorios y una gran terraza a la que tienen salida dos de ellos. Esta magnífica terraza te permitirá disfrutar del buen tiempo y de unas excelentes vistas además de aportar gran luminosidad a todas las estancias. El inmueble es todo exterior y dispone de piscina privada en la que disfrutar y refrescarse en los días de calor. Dispone también de una zona de parking techado con portón automático y espacio para varios coches. El riego y el llenado de la piscina se realiza con agua procedente de un pozo propio. El arbolado lo componen tanto árboles ornamentales como frutales.   La vivienda se vende sin amueblar y en perfecto estado, lista para entrar a vivir. En cuanto a las calidades, este chalet cuenta con carpintería exterior de aluminio, suelos de cerámica, muy resistentes, aire acondicionado de bomba frío-calor y calefacción de gasoil ( con posibilidad de cambiarla a gas ciudad ya que dispone de la instalación necesaria) Tiene armarios empotrados en habitaciones y pasillos.   Esta casa está situada en una zona tranquila y bien comunicada, muy cerca de la parada de autobús. Para mayor comodidad la vivienda se encuentra próxima a un centro médico (hospital) y todos los servicios necesarios. De particular a particular. Sin comisiones. Llámanos y visita esta vivienda. h1o2u3s4e4l9l.";919389411;Don Benito;450000;5
98582351;Chalet;Chalet;"De particular a particular. Sin comisiones. Llámanos y visita esta vivienda. Edifico histórico del año 1650: -En 1650 fue la casa del Arcipreste de Medellín, D. Luis Zapata Dávalos. -En el S XVII, de D. Alonso Flórez Rangel, familia de conquistadores. -S XVIII-XIX. Casa de Marqueses de Torres Cabrera. -1809. El Mariscal Víctor del Imperio francés, durante la Batalla de Medellín, residió 45 días. -1820. Convento de la Purísima Concepción. -1850. Casa de la familia. Tiene 1300 m² de superficie con una parcela de 1244 m², en Medellín, provincia de Badajoz. La amplitud de esta vivienda es ideal para inversores, ya que se puede convertir en hotel. Esta casa tiene dos plantas de altura y cuenta con dos salones, cocina, ocho dormitorios, dos cuartos de baño completos, dos bodegas de 250 m² y 180 m² y ático. Además, el chalet cuenta con dos patios de 150 m² cada uno, con pozo propio, para que puedas desayunar al aire libre y una práctica galería para aumentar el espacio. El inmueble es todo exterior, por su orientación oeste, disfrutarás del sol por las tardes, el momento en el que la casa resulta especialmente acogedora. La vivienda necesita reforma. En cuanto a las calidades, este chalet cuenta con carpintería de madera, techos abovedados, suelos de cerámica y resistente y fácil de limpiar. Esta casa está situada en pleno centro de Medellín, a 500 metros del Teatro Romano, 9 km de Don Benito y 40 km de Mérida, una zona bien comunicada, muy cerca de la parada de autobús. Para mayor comodidad, la vivienda se encuentra muy cerca de un centro médico, un colegio y todos los servicios necesarios. Si quieres saber más sobre la historia de esta casa de Medellín, entra en el siguiente enlace: h1o3u2s2e3l6l.";919389411;Medellin;180000;8
97413837;Piso;Piso;"ZONA AUTOPISTA: Piso de unos 95 m² útiles que de origen constaba de 4 dormitorios y se reformó para dejarlo en 3. Cocina independiente, equipada y con acceso a lavadero amplio. El pasillo que lleva al salón es amplio y tiene un armario empotrado, ideal para abrigos, bolsos, etc. El salón también es espacioso y muy alegre por la orientación que tiene (esta estancia tiene los suelos en gres porcelánico imitando madera) y porque además, desde él, se accede a una buena terraza de recreo orientada a la Plaza del Dragón, lo que hace que la vivienda en general, no sea nada ruidosa. El piso consta igualmente de dos baños completos, uno de ellos con plato de ducha y otro con bañera y ventana. Los 3 dormitorios son muy amplios y tienen armarios empotrados, lo que les confiere mayor sensación de espacio. Los suelos son en terrazo, las puertas acabadas en sapelly y las ventanas en aluminio anodizado e hierro. El edificio tiene dos ascensores nuevos, un portal de entrada recién actualizado con diseño moderno y sótano con parking. Se incluye en el precio una plaza de garaje muy cómoda y completamente necesaria en la zona. Si busca una buena inversión, no lo dude! ( El PVP indicado no incluye impuestos ni gastos de Escritura ).  PARA PROPIETARIOS:  ¿Necesitas vender para comprar? te ayudamos coordinándolo todo y con hipoteca cambio de casa. ¿Tienes prisa en vender? te ofrecemos una venta rápida con todas las garantías. ¿Necesitas una hipoteca? en donpiso la encuentras y en condiciones preferentes. ¿Herencias? , ¿Divorcios? , te ayudamos y coordinamos todo. Infórmate: 924 26 79 89 -.";924267989;Maria Auxiliadora - Barriada LLera;180000;4
101231370;Ático;Ático;"Ático duplex en San fernando - la estación de trenes Badajoz, muy proximo a la Avenida Carrolina Coronado y a pocos metros del margen derecho del río Guadiana. La propiedad con una superficie construida de 123 m2 consta en planat baja con recibidor, cocina con despensa, salón (incluido en el salón un dormitorio), un baño completo y dormitorio principal, subiendo por unas comodas y amplias escaleras dos dormitorios, un baño completo y terraza (se adjunta plano). Destacar las vistas despejadas por ambos lados de la propiedad, bomba de frío y calor en todas las estancias y las buenas calidades de la vivienda. Incluido en el precio plaza de garaje en el mismo edificio. No dudes en poderse en contacto con Neo Asesoría Inmobiliaria y solicitarnos una visita, estamos a su entera disposición.";824800557;La Estación;140000;4
99543728;Casa rural en Calle nueva;Casa Rural;"***HOTEL RURAL EN VENTA EN ALANGE FRENTE AL BALNEARIO, CON LICENCIA DE HOTEL RURAL + RESTAURACIÓN, 587 M2 DISTRIBUIDOS EN 10 HABITACIONES CON BAÑO EN SUITE, COCINA PROFESIONAL Y AMPLIO COMEDOR Y PATIO DE 80 M2, Y ABSOLUTAMENTE EQUIPADO PARA CONTINUAR CON LA ACTIVIDAD DE FORMA INMEDIATA* HOTEL RURAL que consta de dos plantas. Obra nueva con altas calidades en 2006. Habilitado para personas con discapacidad motriz. Totalmente equipado y funcionando. A 18 km de Mérida y frente al balneario de Alange. Tranquilidad, paseos, buena comida, historia, balneario… este hotel rural te ofrece todo lo que se necesita para unos días de descanso perfectos. Cuenta con licencias de hotel rural y de restauración, tanto interior como para una terraza exterior. 9 dormitorios dobles con balcón + una sala de estar/dormitorio todos con baño en suite con ventana. Planta baja distribuida en dos pasillos. A la entrada dos dormitorios, uno de ellos con baño habilitado para silla de ruedas. Cuarto de trastero/luces, salón de estar/dormitorio con baño completo, recepción y 2 aseos, salida a patio central, cafetería y restaurante con salida a patio, cuarto de caldera, despensa. Todo ello ocupa una superficie de 272 m². Planta alta con doble acceso, bien por el restaurante, bien desde la recepción. En total siete dormitorios dobles todos con baño completo en suite, dos habitaciones más habilitadas como almacén, gran distribuidor central con terraza. En total 228 m². Patio de 80 m² con canalones de cobre y con mobiliario de restauración. Todas las ventanas, terrazas y puertas climalit pvc simulando madera con salida a patio con puertas correderas para conseguir la unión del exterior con el interior. Persianas de aluminio en toda la propiedad. Puertas del restaurante con posibilidad de apertura total para abrirse al patio central. Paredes lisas o estucadas en toda la propiedad. Decoración rústica, cuidada y de calidad, donde se ha cuidado el detalle, los techos artesonados o en bóveda o los suelos de barro nos dan una idea de cuáles han sido las prioridades que se ha mantenido en la renovación de esta propiedad en la que siempre ha primado la comodidad del viajero sin dejar de recrear el interior de una casa rural típica de la zona. Aire acondicionado frio/calor en todas las estancias. Cocina y barra de bar totalmente equipadas con electrodomésticos de alta gama. Sistema de cámaras de vigilancia. Wi-fi y televisión en todas las habitaciones. Completamente equipado y funcionando.";915344831;Calle nueva;590000;10
